,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,18687.0,77.0,15.0,7.0,25.0,13.0,4.0,11.0,77.0,31.0,83.0,479.0,552.0,1892.0,502.0,10.0,13.0,26.0,2.0,42.0,33.0,17.0,104.0,328.0,46.0,50.0,184.0,320.0,198.0,91.0,43.0,47.0,34.0,113.0,193.0,295.0,54.0,59.0,80.0,108.0,4736.0,1979.0,1257.0,502.0,188.0,209.0,159.0,56.0,3043.0,77.0,75.0,3658.0,82.0,497.0,886.0,682.0,301.0,9030.0,56.0,2024,12,1867106,参考第2表(12月),佐賀県,133.3603,34.1375
1,2024-11-01,14589.0,153.0,14.0,20.0,23.0,16.0,25.0,6.0,85.0,28.0,133.0,423.0,496.0,1624.0,435.0,13.0,26.0,11.0,6.0,60.0,36.0,33.0,63.0,181.0,33.0,51.0,106.0,526.0,178.0,49.0,25.0,41.0,12.0,158.0,174.0,242.0,97.0,22.0,153.0,109.0,2720.0,1911.0,678.0,384.0,327.0,113.0,138.0,168.0,1941.0,153.0,104.0,3284.0,86.0,316.0,935.0,627.0,381.0,6271.0,168.0,2024,11,1860296,参考第2表(11月),佐賀県,133.8284,34.2544
2,2024-10-01,19033.0,195.0,26.0,86.0,59.0,105.0,79.0,128.0,228.0,308.0,255.0,664.0,416.0,1661.0,608.0,76.0,37.0,85.0,35.0,98.0,61.0,275.0,113.0,446.0,220.0,150.0,168.0,531.0,379.0,103.0,69.0,81.0,214.0,114.0,403.0,199.0,66.0,127.0,137.0,51.0,3110.0,2754.0,777.0,322.0,248.0,160.0,196.0,67.0,2050.0,195.0,483.0,4238.0,259.0,1089.0,1400.0,1011.0,381.0,7567.0,67.0,2024,10,1853929,参考第2表(10月),佐賀県,134.2798,34.5626
3,2024-09-01,13246.0,75.0,255.0,16.0,117.0,214.0,33.0,104.0,170.0,69.0,155.0,513.0,238.0,750.0,645.0,151.0,20.0,75.0,140.0,23.0,113.0,50.0,131.0,110.0,27.0,42.0,150.0,209.0,166.0,68.0,42.0,135.0,9.0,57.0,136.0,174.0,56.0,155.0,69.0,111.0,2562.0,1826.0,454.0,563.0,248.0,85.0,279.0,24.0,1165.0,75.0,739.0,2563.0,359.0,458.0,677.0,511.0,391.0,6017.0,24.0,2024,9,1845514,参考第2表(9月),佐賀県,134.0560,34.5961
4,2024-08-01,22113.0,93.0,12.0,9.0,9.0,11.0,10.0,5.0,91.0,39.0,43.0,328.0,715.0,1995.0,854.0,28.0,12.0,39.0,10.0,27.0,17.0,48.0,101.0,453.0,58.0,106.0,205.0,616.0,346.0,63.0,31.0,66.0,31.0,93.0,369.0,424.0,71.0,140.0,81.0,109.0,7063.0,2122.0,1168.0,841.0,320.0,164.0,144.0,101.0,2055.0,93.0,56.0,4092.0,96.0,670.0,1367.0,983.0,401.0,11822.0,101.0,2024,8,1840259,参考第2表(8月),佐賀県,133.1484,34.0960
5,2024-07-01,14543.0,92.0,3.0,0.0,9.0,11.0,23.0,15.0,60.0,22.0,28.0,215.0,252.0,1353.0,393.0,10.0,11.0,12.0,17.0,18.0,94.0,66.0,91.0,129.0,19.0,50.0,94.0,445.0,201.0,29.0,43.0,7.0,22.0,71.0,142.0,118.0,6.0,93.0,19.0,4.0,4551.0,1760.0,710.0,545.0,212.0,142.0,136.0,75.0,1903.0,92.0,61.0,2341.0,127.0,322.0,862.0,360.0,122.0,8056.0,75.0,2024,7,1765039,参考第2表(7月),佐賀県,132.9305,34.0463
6,2024-06-01,11848.0,99.0,9.0,18.0,25.0,8.0,12.0,32.0,39.0,43.0,18.0,211.0,443.0,723.0,542.0,3.0,15.0,3.0,21.0,18.0,24.0,25.0,59.0,143.0,14.0,17.0,84.0,283.0,110.0,23.0,26.0,32.0,10.0,31.0,123.0,284.0,8.0,198.0,60.0,49.0,2740.0,1362.0,754.0,300.0,172.0,137.0,165.0,39.0,2114.0,99.0,104.0,2037.0,45.0,262.0,543.0,480.0,315.0,5630.0,39.0,2024,6,1760851,参考第2表(6月),佐賀県,133.2534,34.1354
7,2024-05-01,17989.0,104.0,48.0,24.0,31.0,19.0,29.0,59.0,187.0,34.0,41.0,558.0,411.0,1680.0,801.0,26.0,24.0,18.0,11.0,33.0,36.0,32.0,97.0,315.0,30.0,38.0,127.0,787.0,239.0,68.0,50.0,32.0,77.0,70.0,258.0,396.0,104.0,144.0,131.0,74.0,3856.0,1807.0,801.0,464.0,336.0,201.0,262.0,28.0,2724.0,104.0,210.0,3745.0,104.0,485.0,1309.0,833.0,453.0,7727.0,28.0,2024,5,1757460,参考第2表(5月),佐賀県,133.8205,34.3051
8,2024-04-01,16774.0,94.0,20.0,14.0,34.0,14.0,12.0,12.0,79.0,49.0,78.0,547.0,380.0,1693.0,472.0,18.0,17.0,20.0,6.0,28.0,31.0,32.0,68.0,233.0,33.0,65.0,112.0,599.0,249.0,62.0,29.0,32.0,27.0,51.0,209.0,310.0,78.0,165.0,106.0,20.0,3530.0,1857.0,985.0,373.0,257.0,104.0,187.0,98.0,3017.0,94.0,106.0,3326.0,86.0,372.0,1116.0,629.0,369.0,7293.0,98.0,2024,4,1750677,参考第2表(4月),佐賀県,133.5980,34.2066
9,2024-03-01,13945.0,117.0,4.0,5.0,180.0,9.0,7.0,11.0,29.0,38.0,66.0,197.0,287.0,1327.0,680.0,14.0,26.0,13.0,9.0,24.0,27.0,24.0,127.0,275.0,42.0,35.0,166.0,395.0,134.0,65.0,54.0,14.0,33.0,41.0,187.0,247.0,30.0,105.0,45.0,57.0,3181.0,1699.0,713.0,329.0,229.0,167.0,113.0,55.0,1957.0,117.0,216.0,2648.0,80.0,477.0,849.0,522.0,237.0,6431.0,55.0,2024,3,1745072,参考第2表(3月),佐賀県,133.6055,34.2569
10,2024-02-01,15327.0,106.0,9.0,10.0,15.0,1.0,11.0,9.0,66.0,37.0,194.0,376.0,231.0,1779.0,702.0,29.0,12.0,8.0,14.0,7.0,23.0,28.0,69.0,293.0,33.0,102.0,117.0,296.0,181.0,42.0,32.0,10.0,52.0,45.0,169.0,157.0,86.0,35.0,40.0,52.0,3062.0,1496.0,787.0,371.0,171.0,81.0,104.0,62.0,3455.0,106.0,55.0,3392.0,72.0,437.0,770.0,433.0,213.0,6072.0,62.0,2024,2,1740006,参考第2表(2月),佐賀県,133.9500,34.3249
11,2024-01-01,24704.0,92.0,5.0,6.0,16.0,6.0,5.0,36.0,88.0,67.0,97.0,300.0,258.0,3704.0,505.0,18.0,95.0,11.0,5.0,31.0,38.0,29.0,52.0,223.0,36.0,51.0,132.0,479.0,267.0,87.0,26.0,8.0,14.0,77.0,250.0,333.0,107.0,80.0,59.0,35.0,5224.0,2200.0,1518.0,726.0,471.0,136.0,139.0,117.0,5667.0,92.0,74.0,5050.0,162.0,345.0,1042.0,682.0,281.0,10414.0,117.0,2024,1,1732631,参考第2表(1月),佐賀県,133.5933,34.1792
