,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,779199.0,9691.0,1612.0,2291.0,8059.0,2452.0,3418.0,6248.0,11748.0,8357.0,8395.0,30519.0,51950.0,93442.0,40267.0,6553.0,3568.0,3289.0,2238.0,2997.0,7549.0,5740.0,15771.0,35503.0,5582.0,5386.0,8171.0,29645.0,17161.0,3683.0,1815.0,671.0,884.0,6283.0,6494.0,4666.0,1232.0,1999.0,2338.0,1071.0,12400.0,1039.0,2710.0,9311.0,4325.0,4430.0,7211.0,8436.0,153388.0,9691.0,24080.0,247675.0,20959.0,64834.0,65861.0,18998.0,6640.0,41426.0,8436.0,2024,12,1867106,参考第2表(12月),千葉県,137.5532,35.3936
1,2024-11-01,794570.0,15760.0,2072.0,2430.0,7237.0,1654.0,2786.0,5362.0,11755.0,8498.0,8607.0,29894.0,43475.0,91185.0,39338.0,7799.0,3875.0,4839.0,2413.0,3834.0,9279.0,6973.0,18714.0,42821.0,6981.0,6071.0,9719.0,36979.0,20981.0,4641.0,2244.0,813.0,931.0,5343.0,7086.0,2291.0,1597.0,2304.0,2124.0,1560.0,15400.0,1109.0,1850.0,3003.0,2285.0,2315.0,3265.0,3422.0,143387.0,15760.0,21541.0,236586.0,25792.0,77902.0,80635.0,16464.0,7585.0,29227.0,3422.0,2024,11,1860296,参考第2表(11月),千葉県,137.7483,35.6258
2,2024-10-01,821077.0,18458.0,2600.0,2949.0,10935.0,2529.0,2446.0,6095.0,12389.0,10880.0,10096.0,29036.0,51603.0,93576.0,40512.0,8045.0,3504.0,4062.0,2777.0,3612.0,9824.0,8016.0,18974.0,33467.0,5948.0,4806.0,7422.0,28322.0,15179.0,4907.0,3461.0,763.0,1037.0,6035.0,15604.0,2034.0,1351.0,2196.0,3724.0,1960.0,14179.0,1075.0,1673.0,3396.0,2322.0,2105.0,3742.0,4336.0,175308.0,18458.0,27554.0,251704.0,25435.0,69182.0,64097.0,25473.0,9231.0,28492.0,4336.0,2024,10,1853929,参考第2表(10月),千葉県,137.8362,35.7004
3,2024-09-01,683072.0,13415.0,3222.0,5613.0,10084.0,2216.0,3631.0,7594.0,10343.0,8176.0,7666.0,27569.0,51414.0,96362.0,39508.0,7298.0,3539.0,3893.0,2283.0,3024.0,8987.0,7437.0,11305.0,27591.0,4638.0,4145.0,6838.0,24107.0,14341.0,3005.0,1631.0,818.0,909.0,3775.0,5483.0,2166.0,1156.0,3103.0,2411.0,970.0,9044.0,901.0,1401.0,2548.0,1636.0,2150.0,2633.0,3475.0,136444.0,13415.0,32360.0,244062.0,23717.0,53254.0,54067.0,13151.0,7640.0,20313.0,3475.0,2024,9,1845514,参考第2表(9月),千葉県,138.1677,35.7857
4,2024-08-01,881091.0,9254.0,2978.0,2849.0,9454.0,2667.0,4306.0,7812.0,15441.0,11754.0,11821.0,46379.0,70358.0,143259.0,55530.0,8981.0,5091.0,4837.0,2997.0,4046.0,7524.0,6366.0,14423.0,28906.0,5776.0,5265.0,7750.0,25096.0,17272.0,4123.0,1582.0,999.0,1087.0,3556.0,5925.0,2611.0,1404.0,2261.0,2903.0,1079.0,10623.0,931.0,1820.0,3236.0,1734.0,1886.0,3867.0,3513.0,190634.0,9254.0,30066.0,358588.0,26433.0,58468.0,61088.0,14178.0,7647.0,24097.0,3513.0,2024,8,1840259,参考第2表(8月),千葉県,138.3393,35.6782
5,2024-07-01,767955.0,9412.0,2685.0,2237.0,8872.0,2128.0,2585.0,6440.0,11994.0,8658.0,8697.0,32584.0,54011.0,101893.0,42027.0,6554.0,3339.0,3077.0,1957.0,3345.0,6463.0,5426.0,11184.0,25062.0,4491.0,3808.0,6169.0,22368.0,13909.0,3060.0,1398.0,661.0,967.0,3577.0,4607.0,1882.0,1133.0,1498.0,1770.0,952.0,8316.0,801.0,1531.0,2468.0,1872.0,1630.0,2741.0,2755.0,229216.0,9412.0,24947.0,263209.0,19433.0,48120.0,50712.0,11694.0,5353.0,19359.0,2755.0,2024,7,1765039,参考第2表(7月),千葉県,138.2794,35.7056
6,2024-06-01,732247.0,11072.0,1894.0,2025.0,7691.0,1677.0,2162.0,4964.0,12009.0,8580.0,8535.0,27782.0,46674.0,93034.0,40726.0,5726.0,2843.0,3102.0,1953.0,2942.0,7459.0,6494.0,10882.0,47129.0,4808.0,3864.0,5936.0,22825.0,12575.0,2461.0,1488.0,573.0,635.0,7260.0,4083.0,1374.0,809.0,1162.0,1435.0,614.0,8262.0,600.0,1201.0,1955.0,1198.0,1600.0,1553.0,1990.0,193619.0,11072.0,20413.0,240282.0,19130.0,71266.0,49149.0,13925.0,4020.0,16369.0,1990.0,2024,6,1760851,参考第2表(6月),千葉県,138.1955,35.7144
7,2024-05-01,761175.0,17972.0,2383.0,2135.0,14242.0,3513.0,3944.0,6233.0,12236.0,9145.0,8677.0,31213.0,49165.0,100555.0,39230.0,7502.0,3747.0,3625.0,5775.0,4108.0,7793.0,7800.0,13511.0,52120.0,9298.0,4773.0,7108.0,29197.0,18330.0,4017.0,3560.0,865.0,910.0,3159.0,5415.0,1976.0,1388.0,2431.0,1649.0,908.0,10465.0,935.0,1307.0,2463.0,1606.0,1715.0,2342.0,3066.0,150003.0,17972.0,32450.0,254329.0,22667.0,88504.0,66985.0,12325.0,6376.0,20833.0,3066.0,2024,5,1757460,参考第2表(5月),千葉県,138.0831,35.7912
8,2024-04-01,747342.0,13556.0,3223.0,5131.0,10044.0,1831.0,2840.0,10206.0,10262.0,8319.0,7856.0,24483.0,45459.0,103260.0,37064.0,6684.0,3351.0,3626.0,4067.0,3221.0,7398.0,5965.0,11460.0,30741.0,6742.0,5147.0,7189.0,28623.0,15805.0,3700.0,1848.0,1099.0,1139.0,3285.0,5161.0,2006.0,1174.0,1865.0,1718.0,936.0,11462.0,1051.0,1406.0,2910.0,1561.0,1725.0,2560.0,3132.0,187992.0,13556.0,33275.0,239924.0,21059.0,58975.0,62312.0,12690.0,5693.0,22675.0,3132.0,2024,4,1750677,参考第2表(4月),千葉県,138.0816,35.7644
9,2024-03-01,842661.0,17633.0,3116.0,3978.0,10538.0,3448.0,4788.0,6919.0,10615.0,8779.0,7765.0,29003.0,48895.0,101202.0,37996.0,8339.0,4356.0,6104.0,3336.0,3126.0,10357.0,7940.0,15786.0,40929.0,6835.0,7901.0,10642.0,40127.0,22962.0,5100.0,2374.0,1230.0,1721.0,6044.0,8808.0,3422.0,1798.0,2815.0,2757.0,1143.0,23348.0,1679.0,2509.0,4591.0,3090.0,2839.0,4088.0,4143.0,140285.0,17633.0,32787.0,247381.0,29156.0,74826.0,89106.0,21225.0,8513.0,42144.0,4143.0,2024,3,1745072,参考第2表(3月),千葉県,137.5845,35.6363
