,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,65964.0,136.0,5.0,23.0,125.0,14.0,6.0,79.0,152.0,84.0,58.0,445.0,436.0,2746.0,941.0,72.0,43.0,104.0,102.0,48.0,326.0,345.0,378.0,2484.0,1062.0,712.0,1816.0,11936.0,3203.0,1618.0,5348.0,25.0,32.0,332.0,274.0,32.0,188.0,170.0,126.0,31.0,292.0,28.0,10.0,30.0,25.0,21.0,302.0,38.0,12764.0,136.0,252.0,4910.0,545.0,4371.0,24633.0,695.0,515.0,708.0,38.0,2024,12,1867106,参考第2表(12月),和歌山県,136.1046,34.8537
1,2024-11-01,75306.0,536.0,71.0,39.0,306.0,34.0,39.0,161.0,205.0,175.0,123.0,787.0,585.0,3963.0,1120.0,115.0,93.0,71.0,170.0,66.0,244.0,529.0,459.0,2767.0,1270.0,844.0,1788.0,12070.0,3254.0,1750.0,5089.0,65.0,86.0,475.0,450.0,88.0,293.0,220.0,193.0,74.0,562.0,30.0,45.0,75.0,43.0,54.0,486.0,95.0,16148.0,536.0,650.0,7024.0,523.0,5195.0,24795.0,1164.0,780.0,1295.0,95.0,2024,11,1860296,参考第2表(11月),和歌山県,136.2446,34.9750
2,2024-10-01,69321.0,396.0,51.0,31.0,743.0,30.0,42.0,113.0,261.0,149.0,115.0,595.0,658.0,3764.0,1083.0,212.0,70.0,106.0,139.0,66.0,269.0,602.0,370.0,2201.0,938.0,905.0,1520.0,10205.0,2735.0,1377.0,4446.0,77.0,47.0,398.0,389.0,108.0,272.0,208.0,217.0,109.0,452.0,30.0,226.0,59.0,81.0,70.0,416.0,198.0,13869.0,396.0,1010.0,6691.0,657.0,4250.0,21188.0,1019.0,806.0,1334.0,198.0,2024,10,1853929,参考第2表(10月),和歌山県,136.2851,34.9831
3,2024-09-01,38700.0,139.0,10.0,35.0,192.0,12.0,23.0,25.0,49.0,40.0,68.0,328.0,413.0,1586.0,671.0,29.0,44.0,62.0,61.0,24.0,57.0,208.0,200.0,901.0,357.0,490.0,1125.0,8043.0,1890.0,923.0,2186.0,36.0,29.0,220.0,155.0,78.0,156.0,111.0,68.0,53.0,121.0,21.0,36.0,25.0,14.0,12.0,40.0,39.0,10265.0,139.0,297.0,3179.0,192.0,1727.0,14657.0,518.0,388.0,269.0,39.0,2024,9,1845514,参考第2表(9月),和歌山県,136.1753,34.9241
4,2024-08-01,84035.0,125.0,7.0,42.0,61.0,37.0,14.0,41.0,181.0,109.0,101.0,884.0,661.0,3837.0,1452.0,94.0,87.0,81.0,88.0,90.0,175.0,778.0,462.0,3254.0,1288.0,1420.0,2633.0,15312.0,4507.0,2318.0,5214.0,80.0,25.0,386.0,302.0,77.0,227.0,221.0,198.0,108.0,361.0,16.0,35.0,30.0,18.0,24.0,189.0,33.0,9942.0,125.0,202.0,7315.0,437.0,5870.0,31404.0,870.0,754.0,673.0,33.0,2024,8,1840259,参考第2表(8月),和歌山県,136.2015,34.8873
5,2024-07-01,74538.0,222.0,9.0,14.0,142.0,16.0,19.0,62.0,203.0,74.0,73.0,607.0,518.0,3015.0,950.0,116.0,60.0,80.0,141.0,84.0,219.0,509.0,317.0,2186.0,969.0,949.0,2258.0,15226.0,3793.0,2108.0,4574.0,56.0,28.0,395.0,228.0,67.0,254.0,240.0,132.0,109.0,247.0,49.0,18.0,24.0,33.0,22.0,228.0,91.0,14034.0,222.0,262.0,5524.0,475.0,4122.0,28908.0,774.0,735.0,621.0,91.0,2024,7,1765039,参考第2表(7月),和歌山県,136.0930,34.8717
6,2024-06-01,50995.0,260.0,10.0,31.0,301.0,5.0,14.0,91.0,233.0,134.0,46.0,392.0,402.0,2136.0,653.0,109.0,61.0,105.0,125.0,68.0,151.0,374.0,385.0,1527.0,726.0,765.0,1492.0,10650.0,2341.0,1388.0,4147.0,58.0,61.0,247.0,230.0,62.0,145.0,146.0,117.0,68.0,188.0,13.0,48.0,38.0,21.0,41.0,415.0,33.0,8787.0,260.0,452.0,4064.0,426.0,3137.0,20783.0,658.0,476.0,764.0,33.0,2024,6,1760851,参考第2表(6月),和歌山県,136.1082,34.9051
7,2024-05-01,57091.0,410.0,53.0,20.0,270.0,30.0,32.0,34.0,212.0,123.0,124.0,567.0,505.0,3486.0,927.0,131.0,103.0,159.0,111.0,66.0,277.0,436.0,449.0,2154.0,884.0,799.0,1273.0,12107.0,3927.0,1777.0,5274.0,32.0,56.0,406.0,414.0,108.0,316.0,262.0,221.0,45.0,372.0,36.0,15.0,38.0,34.0,52.0,374.0,126.0,9552.0,410.0,439.0,6010.0,670.0,4034.0,25157.0,1016.0,844.0,921.0,126.0,2024,5,1757460,参考第2表(5月),和歌山県,136.1457,34.9186
8,2024-04-01,61257.0,488.0,35.0,17.0,245.0,48.0,103.0,45.0,237.0,135.0,99.0,573.0,633.0,3010.0,1069.0,112.0,72.0,183.0,109.0,43.0,137.0,485.0,437.0,2265.0,1082.0,924.0,1810.0,12198.0,4359.0,1714.0,4806.0,36.0,64.0,422.0,280.0,109.0,287.0,226.0,159.0,85.0,453.0,14.0,29.0,23.0,37.0,18.0,390.0,110.0,12156.0,488.0,493.0,5799.0,504.0,4378.0,25811.0,911.0,757.0,964.0,110.0,2024,4,1750677,参考第2表(4月),和歌山県,136.1459,34.9389
9,2024-03-01,66088.0,209.0,37.0,28.0,158.0,13.0,22.0,76.0,179.0,100.0,86.0,712.0,628.0,3436.0,1176.0,141.0,69.0,158.0,209.0,46.0,202.0,697.0,565.0,3498.0,1574.0,1371.0,4294.0,14271.0,4373.0,2162.0,5670.0,101.0,71.0,546.0,421.0,100.0,339.0,317.0,172.0,71.0,448.0,34.0,33.0,50.0,35.0,20.0,294.0,54.0,6728.0,209.0,334.0,6363.0,570.0,6543.0,32141.0,1239.0,899.0,914.0,54.0,2024,3,1745072,参考第2表(3月),和歌山県,136.1038,34.8901
