,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,75728.0,290.0,15.0,25.0,191.0,26.0,54.0,105.0,237.0,116.0,90.0,685.0,897.0,4644.0,1413.0,75.0,42.0,63.0,32.0,47.0,66.0,176.0,206.0,1052.0,166.0,256.0,514.0,2268.0,1056.0,247.0,74.0,32.0,119.0,438.0,1959.0,2319.0,108.0,213.0,945.0,164.0,16605.0,1381.0,1445.0,2361.0,8602.0,2118.0,1039.0,414.0,14878.0,290.0,416.0,8129.0,246.0,1632.0,4415.0,4867.0,1430.0,33551.0,414.0,2023,12,1725251,参考第2表(12月),大分県,132.9314,33.9402
1,2023-11-01,90975.0,828.0,48.0,33.0,224.0,45.0,46.0,156.0,398.0,143.0,185.0,1047.0,1100.0,5108.0,1866.0,261.0,122.0,188.0,112.0,62.0,246.0,341.0,727.0,1548.0,398.0,273.0,615.0,3160.0,1382.0,327.0,177.0,52.0,254.0,725.0,1871.0,2522.0,227.0,331.0,1315.0,255.0,16518.0,1830.0,2115.0,2862.0,7903.0,2385.0,1261.0,690.0,21095.0,828.0,552.0,9909.0,817.0,3126.0,5934.0,5424.0,2128.0,34874.0,690.0,2023,11,810002999,参考第2表(11月),大分県,133.3132,34.0891
2,2023-10-01,91645.0,554.0,88.0,41.0,203.0,90.0,28.0,86.0,240.0,143.0,115.0,984.0,1107.0,4528.0,1856.0,186.0,141.0,171.0,122.0,113.0,136.0,299.0,357.0,1323.0,284.0,233.0,441.0,2828.0,1232.0,425.0,130.0,81.0,172.0,399.0,2187.0,2854.0,135.0,230.0,1558.0,191.0,18779.0,1710.0,2561.0,3466.0,7915.0,2535.0,1776.0,669.0,20648.0,554.0,536.0,9086.0,634.0,2385.0,5289.0,5693.0,2114.0,38742.0,669.0,2023,10,810003002,参考第2表(10月),大分県,132.9315,33.9446
3,2023-09-01,89307.0,496.0,30.0,14.0,237.0,17.0,32.0,60.0,207.0,105.0,101.0,635.0,825.0,4189.0,1537.0,110.0,65.0,127.0,52.0,61.0,78.0,169.0,206.0,688.0,123.0,222.0,413.0,2268.0,866.0,227.0,99.0,40.0,95.0,405.0,2329.0,2903.0,119.0,205.0,1233.0,205.0,18801.0,1942.0,1880.0,3903.0,5774.0,2747.0,1304.0,288.0,15801.0,496.0,390.0,7660.0,380.0,1238.0,4095.0,5772.0,1762.0,36351.0,288.0,2023,9,810003005,参考第2表(9月),大分県,132.6989,33.9135
4,2023-08-01,112785.0,218.0,15.0,32.0,133.0,11.0,12.0,52.0,439.0,113.0,106.0,1966.0,1091.0,5292.0,1956.0,71.0,64.0,79.0,58.0,56.0,76.0,212.0,370.0,1600.0,272.0,364.0,798.0,2844.0,1518.0,311.0,107.0,44.0,224.0,809.0,4604.0,5179.0,148.0,604.0,2414.0,429.0,24380.0,2498.0,3520.0,6210.0,5489.0,3722.0,2999.0,294.0,10619.0,218.0,255.0,11019.0,290.0,2512.0,5942.0,10860.0,3595.0,48818.0,294.0,2023,8,810003007,参考第2表(8月),大分県,132.7004,33.8631
5,2023-07-01,97690.0,209.0,79.0,40.0,145.0,22.0,85.0,93.0,253.0,113.0,109.0,853.0,855.0,4707.0,1350.0,74.0,68.0,67.0,49.0,70.0,95.0,246.0,299.0,1091.0,169.0,225.0,463.0,2511.0,1256.0,285.0,143.0,43.0,175.0,653.0,2873.0,4250.0,163.0,226.0,1819.0,278.0,25641.0,2625.0,3199.0,5653.0,10028.0,3933.0,1766.0,315.0,12363.0,209.0,464.0,8310.0,304.0,1854.0,4883.0,7994.0,2486.0,52845.0,315.0,2023,7,810003009,参考第2表(7月),大分県,132.3736,33.7695
6,2023-06-01,78981.0,572.0,90.0,33.0,221.0,44.0,29.0,117.0,361.0,128.0,101.0,923.0,1066.0,4738.0,1439.0,232.0,68.0,115.0,109.0,136.0,109.0,180.0,260.0,905.0,200.0,220.0,433.0,2831.0,977.0,293.0,76.0,55.0,122.0,330.0,1463.0,2447.0,118.0,198.0,822.0,113.0,17626.0,1646.0,1475.0,2821.0,9495.0,2554.0,1100.0,470.0,14437.0,572.0,534.0,8892.0,524.0,1654.0,4830.0,4417.0,1251.0,36717.0,470.0,2023,6,810003011,参考第2表(6月),大分県,132.9960,33.9847
7,2023-05-01,86475.0,696.0,37.0,36.0,305.0,45.0,60.0,74.0,367.0,208.0,100.0,1140.0,1129.0,5575.0,1915.0,151.0,83.0,143.0,101.0,44.0,223.0,232.0,388.0,1493.0,407.0,347.0,755.0,2923.0,1535.0,284.0,84.0,82.0,159.0,503.0,2872.0,2910.0,190.0,263.0,1344.0,231.0,17072.0,1742.0,1939.0,3267.0,7331.0,2944.0,1295.0,463.0,14324.0,696.0,557.0,10478.0,600.0,2621.0,5928.0,6526.0,2028.0,35590.0,463.0,2023,5,810003013,参考第2表(5月),大分県,133.2694,34.0776
8,2023-04-01,81381.0,483.0,27.0,97.0,169.0,19.0,7.0,79.0,349.0,100.0,91.0,811.0,737.0,4462.0,1260.0,147.0,54.0,106.0,52.0,40.0,149.0,158.0,204.0,866.0,176.0,193.0,473.0,2030.0,1032.0,256.0,83.0,80.0,142.0,334.0,1775.0,2868.0,112.0,255.0,1301.0,208.0,18622.0,1782.0,1631.0,3696.0,8094.0,2652.0,1019.0,264.0,15761.0,483.0,398.0,7850.0,456.0,1456.0,4067.0,5199.0,1876.0,37496.0,264.0,2023,4,1616669,参考第2表(4月),大分県,132.7508,33.9308
9,2023-03-01,73492.0,580.0,35.0,33.0,128.0,38.0,52.0,96.0,330.0,168.0,111.0,850.0,1146.0,3451.0,1727.0,105.0,103.0,149.0,137.0,65.0,117.0,263.0,306.0,1561.0,208.0,298.0,480.0,2385.0,1309.0,301.0,98.0,51.0,158.0,574.0,2379.0,3162.0,154.0,334.0,1121.0,181.0,19649.0,2012.0,1694.0,3418.0,8353.0,2183.0,1102.0,303.0,3915.0,580.0,382.0,7848.0,474.0,2475.0,4871.0,6324.0,1790.0,38411.0,303.0,2023,3,1611685,参考第2表(3月),大分県,132.8170,33.9820
