,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,609224.0,6661.0,2397.0,3075.0,7325.0,1125.0,1962.0,1320.0,3529.0,2043.0,1850.0,12256.0,11062.0,57056.0,17515.0,3988.0,1845.0,3166.0,2488.0,812.0,2247.0,3428.0,7560.0,17446.0,3813.0,4252.0,7248.0,71460.0,15870.0,3513.0,2599.0,1592.0,1489.0,4420.0,6691.0,2210.0,2204.0,2562.0,2730.0,1480.0,10632.0,1483.0,2190.0,3902.0,1553.0,1974.0,3676.0,5438.0,215685.0,6661.0,17204.0,106123.0,11246.0,34735.0,104942.0,16402.0,8976.0,25410.0,5438.0,2023,12,1725251,参考第2表(12月),大阪府,136.7361,35.2398
1,2023-11-01,544948.0,9435.0,1058.0,1327.0,4084.0,1586.0,1919.0,2126.0,3893.0,3948.0,2516.0,13747.0,13884.0,53139.0,17864.0,1371.0,2229.0,2347.0,2009.0,826.0,2919.0,4137.0,5296.0,20976.0,4235.0,2787.0,6009.0,64096.0,12105.0,2471.0,2354.0,1542.0,1566.0,3296.0,5910.0,1734.0,1970.0,2276.0,2518.0,2002.0,11397.0,1368.0,1760.0,2429.0,1606.0,1171.0,2323.0,4098.0,175618.0,9435.0,12100.0,109817.0,8866.0,36653.0,89822.0,14048.0,8766.0,22054.0,4098.0,2023,11,810002999,参考第2表(11月),大阪府,136.9181,35.3364
2,2023-10-01,554046.0,17360.0,1294.0,645.0,2830.0,2277.0,966.0,1723.0,4509.0,3911.0,1688.0,11222.0,13875.0,55289.0,18813.0,2887.0,2250.0,2595.0,3490.0,730.0,2958.0,4838.0,4496.0,19641.0,3336.0,3333.0,6009.0,66775.0,9883.0,2692.0,2357.0,1610.0,2272.0,3564.0,6915.0,1912.0,1515.0,2077.0,3665.0,2296.0,13198.0,1218.0,1893.0,2506.0,1854.0,1828.0,2324.0,4228.0,167781.0,17360.0,9735.0,110037.0,10690.0,35801.0,91049.0,16273.0,9553.0,24821.0,4228.0,2023,10,810003002,参考第2表(10月),大阪府,136.8944,35.4887
3,2023-09-01,502891.0,7354.0,944.0,614.0,3696.0,1163.0,968.0,2267.0,2997.0,1645.0,1830.0,12247.0,12216.0,56663.0,19581.0,2385.0,2420.0,3593.0,2355.0,776.0,1884.0,5034.0,4493.0,14583.0,4000.0,3077.0,5814.0,63784.0,11985.0,2550.0,2945.0,1750.0,2592.0,3736.0,6575.0,2054.0,1626.0,2518.0,3090.0,1602.0,11078.0,1089.0,2156.0,2425.0,1472.0,1646.0,2226.0,3884.0,142705.0,7354.0,9652.0,107955.0,10282.0,30465.0,90155.0,16707.0,8836.0,22092.0,3884.0,2023,9,810003005,参考第2表(9月),大阪府,136.8064,35.2546
4,2023-08-01,625857.0,5847.0,748.0,817.0,2856.0,634.0,1228.0,1659.0,4805.0,2786.0,3604.0,15947.0,15661.0,66457.0,25784.0,2368.0,3137.0,3652.0,2396.0,1300.0,2261.0,3902.0,6699.0,18418.0,3980.0,3889.0,6798.0,76701.0,15796.0,3420.0,2629.0,1839.0,2424.0,4297.0,7019.0,2792.0,1974.0,3508.0,4148.0,2340.0,11322.0,1201.0,2965.0,3144.0,1742.0,1834.0,3627.0,3673.0,172685.0,5847.0,7942.0,136344.0,11418.0,35395.0,109233.0,18371.0,11970.0,25835.0,3673.0,2023,8,810003007,参考第2表(8月),大阪府,136.8338,35.1809
5,2023-07-01,540760.0,4899.0,1058.0,1077.0,2140.0,634.0,885.0,1296.0,2774.0,1659.0,1634.0,11284.0,10225.0,50301.0,15540.0,1575.0,1640.0,2468.0,1950.0,883.0,1863.0,2874.0,4424.0,12467.0,2908.0,2992.0,5878.0,64023.0,12284.0,2910.0,2398.0,1382.0,1511.0,3481.0,5141.0,2129.0,1534.0,2065.0,2529.0,1756.0,8959.0,931.0,1693.0,2272.0,1477.0,1398.0,2287.0,2979.0,209106.0,4899.0,7090.0,94300.0,7546.0,24623.0,90485.0,13644.0,7884.0,19017.0,2979.0,2023,7,810003009,参考第2表(7月),大阪府,136.7450,35.1816
6,2023-06-01,468833.0,4759.0,739.0,422.0,1779.0,412.0,384.0,979.0,1756.0,1024.0,819.0,7104.0,8147.0,48247.0,14449.0,1204.0,1239.0,1963.0,1582.0,699.0,1218.0,3562.0,2953.0,12075.0,2584.0,3638.0,4837.0,70736.0,10880.0,2241.0,2048.0,954.0,981.0,2630.0,3604.0,1310.0,1023.0,1821.0,1867.0,1018.0,8555.0,729.0,907.0,1974.0,1202.0,1220.0,1401.0,3487.0,174828.0,4759.0,4715.0,82245.0,5624.0,22756.0,94380.0,9479.0,5729.0,15988.0,3487.0,2023,6,810003011,参考第2表(6月),大阪府,136.6797,35.1215
7,2023-05-01,555987.0,7034.0,681.0,642.0,2188.0,580.0,809.0,1270.0,2522.0,1934.0,1696.0,11865.0,10805.0,57091.0,16229.0,2179.0,6123.0,3995.0,2354.0,797.0,1793.0,3898.0,6137.0,20604.0,4621.0,2970.0,6506.0,85473.0,13683.0,2815.0,2372.0,1866.0,1514.0,4541.0,7734.0,2795.0,2571.0,2190.0,2880.0,2623.0,13249.0,1005.0,1317.0,2069.0,1483.0,1790.0,2485.0,3665.0,162308.0,7034.0,6170.0,102939.0,14090.0,37614.0,113819.0,18450.0,10264.0,23398.0,3665.0,2023,5,810003013,参考第2表(5月),大阪府,136.5900,35.1680
8,2023-04-01,538926.0,5990.0,537.0,430.0,2508.0,409.0,496.0,1203.0,2106.0,1279.0,1166.0,9622.0,8725.0,50815.0,13801.0,1272.0,2317.0,5242.0,1773.0,563.0,1216.0,2641.0,3158.0,12635.0,3014.0,2827.0,6634.0,95237.0,11610.0,3191.0,2606.0,1587.0,1330.0,3251.0,4661.0,1659.0,1385.0,2618.0,3327.0,1228.0,9157.0,1773.0,1109.0,1838.0,1359.0,1172.0,1746.0,2536.0,177961.0,5990.0,5583.0,88077.0,10047.0,23221.0,122105.0,12488.0,8558.0,18154.0,2536.0,2023,4,1616669,参考第2表(4月),大阪府,136.5786,35.1578
9,2023-03-01,585682.0,9661.0,934.0,878.0,4092.0,1003.0,1265.0,1431.0,3993.0,2817.0,2866.0,15509.0,16528.0,70902.0,26275.0,2553.0,2832.0,4313.0,2753.0,1360.0,2957.0,4037.0,6411.0,19405.0,3562.0,3384.0,6978.0,101618.0,13492.0,2944.0,2353.0,2401.0,2078.0,4373.0,8242.0,3737.0,1668.0,2919.0,3020.0,1947.0,18539.0,2173.0,3021.0,4657.0,2381.0,2224.0,3557.0,5506.0,118426.0,9661.0,9603.0,140250.0,12655.0,36168.0,130769.0,20831.0,9554.0,36552.0,5506.0,2023,3,1611685,参考第2表(3月),大阪府,136.6294,35.1676
