,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,40077.0,362.0,76.0,15.0,94.0,36.0,40.0,49.0,443.0,151.0,168.0,849.0,879.0,7387.0,2001.0,91.0,126.0,142.0,114.0,87.0,199.0,259.0,1067.0,1641.0,765.0,472.0,1864.0,5338.0,2329.0,3577.0,323.0,62.0,51.0,182.0,497.0,68.0,118.0,164.0,117.0,56.0,663.0,62.0,45.0,72.0,73.0,52.0,60.0,41.0,6645.0,362.0,310.0,11965.0,558.0,3846.0,13903.0,860.0,455.0,1027.0,41.0,2024,12,1867106,参考第2表(12月),奈良県,137.1176,35.2158
1,2024-11-01,42679.0,567.0,538.0,50.0,143.0,26.0,175.0,168.0,538.0,248.0,181.0,1457.0,1537.0,10174.0,2362.0,155.0,154.0,180.0,145.0,112.0,346.0,512.0,700.0,1767.0,331.0,352.0,1441.0,3459.0,1629.0,2997.0,193.0,73.0,43.0,416.0,343.0,100.0,105.0,133.0,161.0,72.0,734.0,71.0,50.0,169.0,108.0,75.0,103.0,137.0,6912.0,567.0,1100.0,16609.0,835.0,3455.0,10071.0,975.0,471.0,1310.0,137.0,2024,11,1860296,参考第2表(11月),奈良県,137.6381,35.4580
2,2024-10-01,40556.0,1463.0,57.0,32.0,126.0,59.0,85.0,68.0,271.0,135.0,738.0,924.0,949.0,8210.0,2193.0,573.0,138.0,198.0,114.0,115.0,174.0,355.0,515.0,2580.0,434.0,376.0,1304.0,3150.0,1643.0,2931.0,255.0,54.0,180.0,789.0,383.0,95.0,103.0,93.0,108.0,82.0,743.0,54.0,87.0,111.0,55.0,39.0,102.0,170.0,6935.0,1463.0,427.0,13535.0,1083.0,3998.0,9659.0,1501.0,386.0,1191.0,170.0,2024,10,1853929,参考第2表(10月),奈良県,137.4335,35.5726
3,2024-09-01,32396.0,537.0,47.0,24.0,179.0,48.0,51.0,83.0,346.0,99.0,94.0,688.0,621.0,5612.0,1395.0,493.0,141.0,101.0,105.0,66.0,132.0,305.0,389.0,1332.0,447.0,397.0,1649.0,4450.0,1727.0,3105.0,317.0,65.0,50.0,378.0,346.0,53.0,103.0,215.0,92.0,50.0,446.0,50.0,36.0,61.0,48.0,51.0,83.0,57.0,5058.0,537.0,432.0,8921.0,867.0,2578.0,11645.0,892.0,460.0,775.0,57.0,2024,9,1845514,参考第2表(9月),奈良県,137.0661,35.3224
4,2024-08-01,42059.0,194.0,29.0,23.0,110.0,9.0,41.0,67.0,230.0,121.0,105.0,873.0,756.0,6398.0,1727.0,110.0,114.0,178.0,96.0,96.0,176.0,306.0,510.0,2458.0,653.0,803.0,1681.0,8036.0,3513.0,2529.0,510.0,51.0,38.0,269.0,319.0,80.0,129.0,125.0,113.0,73.0,382.0,23.0,49.0,66.0,36.0,41.0,67.0,79.0,7473.0,194.0,279.0,10306.0,578.0,4023.0,17072.0,757.0,440.0,664.0,79.0,2024,8,1840259,参考第2表(8月),奈良県,136.8526,35.1099
5,2024-07-01,32552.0,263.0,19.0,33.0,84.0,13.0,22.0,58.0,174.0,96.0,102.0,474.0,723.0,4642.0,1118.0,97.0,76.0,118.0,80.0,64.0,174.0,204.0,372.0,1749.0,343.0,821.0,1218.0,5065.0,1595.0,1851.0,392.0,42.0,32.0,152.0,212.0,68.0,70.0,110.0,68.0,104.0,505.0,49.0,33.0,83.0,55.0,44.0,58.0,92.0,8564.0,263.0,229.0,7393.0,465.0,2748.0,10942.0,506.0,352.0,827.0,92.0,2024,7,1765039,参考第2表(7月),奈良県,136.8683,35.1487
6,2024-06-01,31125.0,329.0,21.0,33.0,93.0,21.0,57.0,75.0,127.0,84.0,89.0,586.0,695.0,5977.0,1840.0,161.0,98.0,161.0,87.0,59.0,165.0,313.0,334.0,1522.0,372.0,487.0,745.0,3833.0,1551.0,2085.0,232.0,58.0,59.0,156.0,372.0,110.0,69.0,96.0,48.0,30.0,688.0,43.0,61.0,63.0,73.0,25.0,57.0,79.0,6657.0,329.0,300.0,9457.0,585.0,2628.0,8933.0,755.0,243.0,1010.0,79.0,2024,6,1760851,参考第2表(6月),奈良県,137.1598,35.2533
7,2024-05-01,37041.0,428.0,46.0,22.0,167.0,70.0,76.0,70.0,184.0,136.0,137.0,932.0,921.0,8046.0,2448.0,477.0,89.0,406.0,119.0,330.0,153.0,199.0,981.0,2242.0,360.0,330.0,1191.0,3877.0,1710.0,2500.0,261.0,57.0,40.0,213.0,343.0,75.0,77.0,86.0,79.0,48.0,793.0,29.0,47.0,100.0,85.0,51.0,84.0,102.0,5642.0,428.0,451.0,13134.0,1125.0,3901.0,9869.0,728.0,290.0,1189.0,102.0,2024,5,1757460,参考第2表(5月),奈良県,137.4214,35.3417
8,2024-04-01,37045.0,500.0,86.0,18.0,93.0,42.0,62.0,39.0,238.0,149.0,137.0,952.0,1151.0,6972.0,2189.0,180.0,97.0,139.0,97.0,100.0,225.0,195.0,858.0,1915.0,331.0,480.0,791.0,2982.0,1040.0,5109.0,163.0,60.0,58.0,214.0,269.0,73.0,69.0,100.0,67.0,46.0,589.0,30.0,95.0,50.0,44.0,40.0,79.0,78.0,7422.0,500.0,340.0,11888.0,641.0,3396.0,10565.0,674.0,282.0,927.0,78.0,2024,4,1750677,参考第2表(4月),奈良県,137.4036,35.3207
9,2024-03-01,29948.0,288.0,31.0,27.0,90.0,52.0,104.0,78.0,193.0,150.0,114.0,825.0,1000.0,7081.0,1941.0,139.0,69.0,118.0,91.0,102.0,170.0,200.0,440.0,1589.0,300.0,319.0,746.0,2894.0,1188.0,1311.0,245.0,49.0,38.0,167.0,215.0,107.0,96.0,138.0,84.0,40.0,521.0,35.0,73.0,62.0,62.0,31.0,50.0,30.0,5964.0,288.0,382.0,11406.0,496.0,2620.0,6703.0,576.0,358.0,834.0,30.0,2024,3,1745072,参考第2表(3月),奈良県,137.6222,35.3676
