,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,139704.0,1632.0,2266.0,4425.0,39128.0,3655.0,4739.0,6175.0,1947.0,1690.0,630.0,4355.0,3674.0,15825.0,5281.0,839.0,98.0,138.0,68.0,135.0,307.0,148.0,764.0,1502.0,214.0,162.0,460.0,2135.0,828.0,178.0,76.0,36.0,19.0,167.0,303.0,92.0,56.0,30.0,78.0,37.0,551.0,31.0,90.0,95.0,32.0,32.0,49.0,212.0,25184.0,1632.0,60388.0,33537.0,1382.0,2696.0,3839.0,617.0,201.0,880.0,212.0,2024,12,1867106,参考第2表(12月),宮城県,139.9412,37.3610
1,2024-11-01,156895.0,2313.0,2970.0,4419.0,35110.0,3406.0,6273.0,6288.0,3198.0,2461.0,1551.0,6254.0,4822.0,20923.0,6344.0,2139.0,230.0,914.0,108.0,272.0,500.0,418.0,752.0,2560.0,490.0,279.0,715.0,3102.0,1172.0,275.0,101.0,21.0,21.0,237.0,401.0,98.0,69.0,106.0,207.0,54.0,656.0,46.0,124.0,159.0,78.0,61.0,62.0,347.0,22648.0,2313.0,58466.0,45825.0,3783.0,4328.0,5644.0,778.0,436.0,1186.0,347.0,2024,11,1860296,参考第2表(11月),宮城県,139.7004,37.1377
2,2024-10-01,161950.0,2896.0,2546.0,3495.0,28186.0,2996.0,4483.0,5002.0,3479.0,2344.0,1311.0,6218.0,5934.0,20759.0,7238.0,1816.0,282.0,290.0,277.0,351.0,690.0,706.0,1166.0,2947.0,317.0,484.0,706.0,3432.0,1653.0,337.0,155.0,55.0,83.0,390.0,839.0,92.0,221.0,93.0,154.0,60.0,992.0,118.0,162.0,141.0,82.0,114.0,131.0,247.0,21785.0,2896.0,46708.0,47634.0,3078.0,5413.0,6767.0,1459.0,528.0,1740.0,247.0,2024,10,1853929,参考第2表(10月),宮城県,139.4829,36.9406
3,2024-09-01,130326.0,2685.0,2398.0,3963.0,25558.0,3117.0,4113.0,5089.0,2649.0,1910.0,1191.0,6156.0,4914.0,19272.0,6851.0,1691.0,169.0,409.0,130.0,259.0,569.0,320.0,628.0,1993.0,231.0,220.0,809.0,2663.0,1371.0,251.0,125.0,42.0,32.0,138.0,457.0,113.0,79.0,136.0,102.0,84.0,1011.0,52.0,87.0,126.0,55.0,53.0,100.0,237.0,14346.0,2685.0,44238.0,43202.0,2838.0,3302.0,5439.0,782.0,401.0,1484.0,237.0,2024,9,1845514,参考第2表(9月),宮城県,139.6049,37.0389
4,2024-08-01,164764.0,2231.0,3027.0,3741.0,32971.0,2908.0,4115.0,5548.0,4266.0,3220.0,2032.0,9802.0,7266.0,26142.0,9540.0,1782.0,197.0,250.0,85.0,365.0,662.0,265.0,1170.0,2718.0,335.0,303.0,693.0,3133.0,1207.0,265.0,110.0,36.0,38.0,226.0,454.0,116.0,71.0,106.0,83.0,39.0,857.0,30.0,77.0,228.0,50.0,83.0,134.0,138.0,17118.0,2231.0,52310.0,62633.0,2891.0,4573.0,5711.0,870.0,299.0,1459.0,138.0,2024,8,1840259,参考第2表(8月),宮城県,139.6846,36.9055
5,2024-07-01,118119.0,1784.0,2674.0,3457.0,26365.0,2732.0,3581.0,4835.0,2430.0,2055.0,1173.0,5144.0,3801.0,17280.0,5313.0,1482.0,204.0,141.0,68.0,206.0,684.0,267.0,723.0,2095.0,191.0,254.0,563.0,2613.0,1015.0,228.0,103.0,36.0,37.0,236.0,373.0,80.0,57.0,68.0,68.0,42.0,427.0,60.0,64.0,72.0,57.0,35.0,113.0,107.0,13724.0,1784.0,43644.0,37402.0,2511.0,3344.0,4776.0,762.0,235.0,828.0,107.0,2024,7,1765039,参考第2表(7月),宮城県,139.7136,37.1128
6,2024-06-01,126039.0,2160.0,1915.0,4470.0,28324.0,4199.0,3437.0,4563.0,2583.0,1727.0,791.0,5198.0,3509.0,17151.0,4922.0,1484.0,135.0,147.0,94.0,233.0,727.0,265.0,1011.0,2788.0,331.0,255.0,655.0,2645.0,1047.0,228.0,105.0,56.0,27.0,467.0,1129.0,102.0,51.0,127.0,110.0,36.0,691.0,35.0,53.0,126.0,41.0,76.0,158.0,139.0,11670.0,2160.0,46908.0,36114.0,2493.0,4489.0,4935.0,1781.0,324.0,1180.0,139.0,2024,6,1760851,参考第2表(6月),宮城県,139.6012,37.1319
7,2024-05-01,113320.0,2598.0,1963.0,3047.0,26419.0,2315.0,2965.0,4164.0,2579.0,1904.0,814.0,4678.0,3972.0,17934.0,5473.0,1163.0,165.0,183.0,74.0,254.0,502.0,492.0,722.0,2050.0,248.0,196.0,411.0,2482.0,955.0,217.0,94.0,19.0,19.0,249.0,752.0,123.0,69.0,64.0,106.0,25.0,749.0,38.0,45.0,135.0,48.0,33.0,172.0,78.0,11429.0,2598.0,40873.0,37608.0,2013.0,3586.0,4355.0,1162.0,264.0,1220.0,78.0,2024,5,1757460,参考第2表(5月),宮城県,139.6508,37.0724
8,2024-04-01,121707.0,2345.0,2110.0,2649.0,20725.0,2175.0,2982.0,3879.0,2097.0,1767.0,813.0,4943.0,3647.0,16808.0,5317.0,1196.0,107.0,259.0,62.0,217.0,407.0,230.0,677.0,2006.0,223.0,170.0,676.0,2268.0,1041.0,181.0,87.0,44.0,57.0,464.0,673.0,110.0,17.0,102.0,86.0,44.0,1593.0,37.0,45.0,80.0,46.0,60.0,44.0,107.0,22170.0,2345.0,34520.0,35609.0,1969.0,3198.0,4423.0,1348.0,249.0,1905.0,107.0,2024,4,1750677,参考第2表(4月),宮城県,139.4696,36.9672
9,2024-03-01,134181.0,1975.0,2640.0,3851.0,33066.0,3046.0,4581.0,4457.0,2214.0,1794.0,1024.0,5366.0,4241.0,16892.0,5578.0,1790.0,166.0,204.0,45.0,234.0,513.0,231.0,737.0,1996.0,241.0,211.0,700.0,2345.0,1035.0,248.0,116.0,44.0,20.0,227.0,754.0,178.0,56.0,88.0,62.0,72.0,880.0,45.0,62.0,106.0,107.0,47.0,92.0,241.0,12620.0,1975.0,51641.0,37343.0,2673.0,3250.0,4655.0,1223.0,278.0,1339.0,241.0,2024,3,1745072,参考第2表(3月),宮城県,139.7059,37.1806
