,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,26706.0,74.0,28.0,2.0,51.0,2.0,31.0,19.0,117.0,108.0,101.0,287.0,365.0,2699.0,630.0,15.0,34.0,44.0,31.0,26.0,65.0,109.0,151.0,594.0,77.0,127.0,295.0,1863.0,802.0,136.0,59.0,73.0,260.0,552.0,2905.0,5552.0,113.0,154.0,315.0,43.0,4035.0,260.0,234.0,486.0,410.0,104.0,161.0,255.0,1577.0,74.0,133.0,4333.0,158.0,962.0,3282.0,9342.0,625.0,5690.0,255.0,2024,12,1867106,参考第2表(12月),山口県,133.7229,34.4071
1,2024-11-01,34614.0,474.0,66.0,11.0,100.0,15.0,60.0,95.0,139.0,82.0,111.0,483.0,657.0,3793.0,935.0,489.0,178.0,39.0,30.0,66.0,92.0,340.0,254.0,1413.0,237.0,233.0,427.0,2879.0,1322.0,233.0,81.0,109.0,381.0,834.0,3209.0,4385.0,83.0,254.0,383.0,93.0,4268.0,630.0,496.0,836.0,511.0,160.0,475.0,482.0,1463.0,474.0,347.0,6266.0,798.0,2274.0,5175.0,8918.0,813.0,7376.0,482.0,2024,11,1860296,参考第2表(11月),山口県,134.3674,34.5949
2,2024-10-01,32050.0,287.0,150.0,135.0,97.0,21.0,33.0,74.0,109.0,184.0,76.0,532.0,546.0,3044.0,849.0,126.0,147.0,75.0,49.0,103.0,176.0,155.0,364.0,1232.0,252.0,159.0,639.0,2630.0,1205.0,243.0,135.0,193.0,376.0,593.0,3588.0,4212.0,145.0,283.0,330.0,80.0,3872.0,334.0,645.0,436.0,355.0,236.0,242.0,289.0,1561.0,287.0,510.0,5443.0,524.0,2052.0,5011.0,8962.0,838.0,6120.0,289.0,2024,10,1853929,参考第2表(10月),山口県,134.3585,34.6298
3,2024-09-01,27985.0,128.0,11.0,16.0,50.0,9.0,63.0,26.0,117.0,50.0,56.0,444.0,534.0,2796.0,973.0,48.0,61.0,73.0,20.0,25.0,114.0,99.0,302.0,650.0,130.0,170.0,449.0,2269.0,1278.0,191.0,70.0,104.0,406.0,715.0,3339.0,3944.0,216.0,237.0,206.0,222.0,3715.0,318.0,427.0,430.0,419.0,155.0,207.0,140.0,1239.0,128.0,175.0,4995.0,296.0,1201.0,4427.0,8508.0,881.0,5671.0,140.0,2024,9,1845514,参考第2表(9月),山口県,134.1792,34.5298
4,2024-08-01,36341.0,453.0,9.0,10.0,57.0,1.0,14.0,30.0,134.0,145.0,73.0,706.0,760.0,3443.0,1380.0,39.0,26.0,62.0,37.0,46.0,75.0,124.0,197.0,710.0,146.0,145.0,525.0,2283.0,2051.0,222.0,90.0,120.0,416.0,1274.0,4389.0,6286.0,141.0,266.0,354.0,82.0,4859.0,503.0,400.0,805.0,367.0,97.0,248.0,33.0,938.0,453.0,121.0,6687.0,202.0,1214.0,5316.0,12485.0,843.0,7279.0,33.0,2024,8,1840259,参考第2表(8月),山口県,134.1109,34.6115
5,2024-07-01,25467.0,88.0,6.0,9.0,30.0,17.0,20.0,45.0,68.0,50.0,86.0,451.0,343.0,2404.0,1059.0,33.0,22.0,46.0,39.0,23.0,107.0,93.0,97.0,593.0,58.0,165.0,316.0,1548.0,894.0,183.0,52.0,103.0,273.0,692.0,2812.0,4277.0,62.0,234.0,280.0,69.0,3450.0,346.0,260.0,411.0,370.0,237.0,194.0,92.0,1044.0,88.0,127.0,4484.0,208.0,880.0,3158.0,8157.0,645.0,5268.0,92.0,2024,7,1765039,参考第2表(7月),山口県,133.9880,34.4914
6,2024-06-01,23944.0,61.0,43.0,6.0,57.0,17.0,40.0,137.0,105.0,30.0,157.0,345.0,378.0,2753.0,472.0,57.0,17.0,43.0,42.0,21.0,90.0,62.0,256.0,494.0,41.0,137.0,239.0,1594.0,721.0,79.0,45.0,316.0,349.0,535.0,2615.0,3579.0,72.0,112.0,358.0,55.0,3139.0,266.0,333.0,353.0,385.0,174.0,151.0,725.0,1151.0,61.0,300.0,4261.0,207.0,895.0,2815.0,7394.0,597.0,4801.0,725.0,2024,6,1760851,参考第2表(6月),山口県,133.9275,34.3160
7,2024-05-01,25876.0,154.0,41.0,4.0,61.0,15.0,69.0,48.0,121.0,50.0,74.0,478.0,501.0,2508.0,1002.0,182.0,136.0,58.0,47.0,43.0,88.0,212.0,239.0,757.0,136.0,166.0,368.0,1918.0,1081.0,224.0,80.0,117.0,345.0,683.0,2589.0,3363.0,126.0,155.0,676.0,200.0,3200.0,372.0,381.0,418.0,374.0,190.0,167.0,272.0,839.0,154.0,238.0,4777.0,464.0,1391.0,3837.0,7097.0,1157.0,5102.0,272.0,2024,5,1757460,参考第2表(5月),山口県,134.3080,34.5447
8,2024-04-01,26492.0,211.0,35.0,11.0,46.0,17.0,43.0,49.0,146.0,144.0,107.0,366.0,367.0,2068.0,724.0,61.0,19.0,16.0,26.0,20.0,128.0,106.0,271.0,675.0,126.0,179.0,252.0,1588.0,1034.0,151.0,92.0,104.0,779.0,740.0,2721.0,4183.0,67.0,151.0,385.0,65.0,3560.0,381.0,284.0,421.0,426.0,126.0,156.0,168.0,2329.0,211.0,201.0,3942.0,224.0,1204.0,3296.0,8527.0,668.0,5354.0,168.0,2024,4,1750677,参考第2表(4月),山口県,133.9301,34.5406
9,2024-03-01,28098.0,292.0,22.0,12.0,17.0,35.0,32.0,14.0,282.0,24.0,44.0,377.0,453.0,2304.0,699.0,62.0,15.0,48.0,27.0,29.0,92.0,151.0,141.0,834.0,83.0,187.0,363.0,1637.0,1031.0,175.0,66.0,99.0,335.0,654.0,3381.0,4557.0,71.0,236.0,292.0,82.0,3820.0,383.0,404.0,578.0,368.0,133.0,159.0,118.0,2234.0,292.0,132.0,4212.0,217.0,1236.0,3459.0,9026.0,681.0,5845.0,118.0,2024,3,1745072,参考第2表(3月),山口県,133.8912,34.5380
10,2024-02-01,22145.0,220.0,5.0,9.0,38.0,5.0,15.0,4.0,73.0,39.0,11.0,302.0,366.0,1807.0,642.0,19.0,26.0,23.0,26.0,16.0,59.0,37.0,81.0,444.0,37.0,101.0,232.0,1080.0,726.0,103.0,41.0,38.0,266.0,614.0,2455.0,4305.0,88.0,198.0,159.0,56.0,3584.0,317.0,282.0,308.0,332.0,108.0,55.0,55.0,1941.0,220.0,76.0,3256.0,127.0,625.0,2283.0,7678.0,501.0,4986.0,55.0,2024,2,1740006,参考第2表(2月),山口県,133.6368,34.4947
11,2024-01-01,24196.0,114.0,2.0,14.0,33.0,4.0,11.0,15.0,57.0,18.0,37.0,283.0,294.0,2011.0,562.0,19.0,26.0,15.0,17.0,36.0,58.0,34.0,69.0,365.0,33.0,62.0,208.0,1316.0,681.0,166.0,33.0,48.0,334.0,494.0,2814.0,5497.0,108.0,145.0,135.0,25.0,3671.0,283.0,150.0,315.0,299.0,75.0,58.0,50.0,2568.0,114.0,79.0,3298.0,118.0,518.0,2466.0,9187.0,413.0,4851.0,50.0,2024,1,1732631,参考第2表(1月),山口県,133.4884,34.4529
