,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,44897.0,249.0,2397.0,11556.0,3864.0,1882.0,262.0,333.0,164.0,154.0,119.0,834.0,801.0,5493.0,1673.0,103.0,16.0,40.0,30.0,97.0,106.0,78.0,185.0,275.0,43.0,38.0,110.0,511.0,248.0,20.0,12.0,8.0,1.0,19.0,91.0,22.0,10.0,4.0,29.0,41.0,173.0,16.0,9.0,22.0,17.0,19.0,13.0,57.0,9451.0,249.0,20294.0,9335.0,265.0,611.0,939.0,141.0,84.0,269.0,57.0,2024,12,1867106,参考第2表(12月),岩手県,140.1319,38.0792
1,2024-11-01,43638.0,307.0,2180.0,8215.0,2622.0,1864.0,424.0,394.0,222.0,182.0,85.0,1102.0,660.0,8041.0,1072.0,189.0,7.0,232.0,126.0,92.0,77.0,30.0,480.0,508.0,31.0,40.0,64.0,562.0,134.0,20.0,73.0,8.0,0.0,36.0,82.0,0.0,8.0,74.0,16.0,5.0,134.0,7.0,38.0,27.0,15.0,16.0,45.0,47.0,9075.0,307.0,15699.0,11456.0,505.0,1175.0,893.0,126.0,103.0,282.0,47.0,2024,11,1860296,参考第2表(11月),岩手県,139.9019,37.6684
2,2024-10-01,38635.0,523.0,1238.0,4202.0,1802.0,873.0,233.0,340.0,772.0,387.0,130.0,847.0,808.0,3668.0,1361.0,289.0,23.0,429.0,35.0,125.0,193.0,73.0,560.0,1099.0,45.0,136.0,105.0,937.0,421.0,33.0,43.0,31.0,28.0,39.0,964.0,81.0,7.0,65.0,252.0,56.0,269.0,61.0,74.0,158.0,11.0,87.0,45.0,35.0,10810.0,523.0,8688.0,8098.0,934.0,1812.0,1675.0,1143.0,380.0,705.0,35.0,2024,10,1853929,参考第2表(10月),岩手県,138.8434,37.0008
3,2024-09-01,37500.0,637.0,2505.0,9399.0,3904.0,1921.0,690.0,595.0,308.0,126.0,126.0,1325.0,810.0,3931.0,1737.0,262.0,30.0,189.0,66.0,54.0,113.0,204.0,201.0,559.0,69.0,75.0,169.0,540.0,182.0,55.0,10.0,18.0,9.0,40.0,48.0,33.0,7.0,124.0,7.0,6.0,129.0,22.0,6.0,7.0,14.0,14.0,31.0,43.0,2821.0,637.0,19014.0,8417.0,594.0,1099.0,1031.0,148.0,144.0,223.0,43.0,2024,9,1845514,参考第2表(9月),岩手県,140.0240,38.0587
4,2024-08-01,60396.0,1011.0,3925.0,9212.0,7056.0,2445.0,827.0,672.0,761.0,620.0,387.0,2172.0,2068.0,10383.0,2675.0,262.0,104.0,300.0,25.0,78.0,170.0,134.0,651.0,1724.0,95.0,42.0,243.0,1464.0,614.0,62.0,157.0,25.0,16.0,193.0,251.0,39.0,35.0,41.0,29.0,8.0,409.0,63.0,12.0,215.0,14.0,29.0,33.0,62.0,3732.0,1011.0,24137.0,19144.0,836.0,2629.0,2582.0,524.0,113.0,775.0,62.0,2024,8,1840259,参考第2表(8月),岩手県,139.6459,37.4414
5,2024-07-01,37017.0,351.0,2785.0,8167.0,4574.0,1778.0,798.0,802.0,303.0,170.0,176.0,911.0,725.0,2872.0,1304.0,183.0,26.0,151.0,19.0,124.0,89.0,112.0,158.0,1233.0,84.0,49.0,91.0,314.0,197.0,35.0,25.0,32.0,2.0,20.0,75.0,20.0,19.0,36.0,5.0,15.0,104.0,50.0,16.0,21.0,8.0,5.0,29.0,34.0,3812.0,351.0,18904.0,6585.0,449.0,1606.0,711.0,149.0,75.0,233.0,34.0,2024,7,1765039,参考第2表(7月),岩手県,140.0303,38.1122
6,2024-06-01,34220.0,1381.0,2100.0,8333.0,3320.0,1616.0,560.0,743.0,251.0,173.0,86.0,722.0,598.0,2682.0,945.0,209.0,20.0,194.0,101.0,58.0,132.0,74.0,188.0,738.0,72.0,52.0,77.0,286.0,216.0,46.0,6.0,20.0,7.0,26.0,322.0,48.0,43.0,3.0,77.0,8.0,192.0,41.0,18.0,5.0,27.0,63.0,33.0,27.0,2548.0,1381.0,16672.0,5515.0,555.0,1173.0,683.0,423.0,131.0,379.0,27.0,2024,6,1760851,参考第2表(6月),岩手県,139.9401,38.2964
7,2024-05-01,30697.0,3896.0,1840.0,4739.0,2792.0,980.0,377.0,422.0,250.0,129.0,95.0,637.0,540.0,2508.0,1253.0,115.0,28.0,18.0,10.0,102.0,56.0,51.0,71.0,742.0,31.0,9.0,70.0,330.0,132.0,67.0,10.0,15.0,10.0,28.0,123.0,13.0,9.0,1.0,6.0,0.0,240.0,0.0,15.0,12.0,4.0,19.0,15.0,24.0,1165.0,3896.0,11150.0,5514.0,217.0,905.0,618.0,189.0,16.0,305.0,24.0,2024,5,1757460,参考第2表(5月),岩手県,140.0789,38.6841
8,2024-04-01,30648.0,1163.0,1630.0,4352.0,2322.0,968.0,242.0,227.0,390.0,284.0,65.0,622.0,684.0,3719.0,1005.0,238.0,342.0,532.0,122.0,120.0,221.0,55.0,110.0,649.0,71.0,28.0,106.0,300.0,144.0,32.0,155.0,20.0,5.0,25.0,318.0,48.0,2.0,51.0,34.0,88.0,343.0,10.0,193.0,37.0,22.0,29.0,75.0,121.0,5336.0,1163.0,9741.0,6889.0,1333.0,1007.0,765.0,416.0,175.0,709.0,121.0,2024,4,1750677,参考第2表(4月),岩手県,139.3027,37.5800
9,2024-03-01,45356.0,252.0,2871.0,11891.0,4278.0,2140.0,332.0,335.0,229.0,184.0,112.0,868.0,750.0,5660.0,1673.0,131.0,29.0,20.0,38.0,63.0,121.0,38.0,243.0,332.0,42.0,49.0,133.0,483.0,317.0,28.0,11.0,39.0,5.0,9.0,75.0,24.0,19.0,4.0,19.0,7.0,113.0,7.0,33.0,6.0,9.0,6.0,17.0,17.0,4141.0,252.0,21847.0,9539.0,301.0,693.0,1021.0,152.0,49.0,191.0,17.0,2024,3,1745072,参考第2表(3月),岩手県,140.1862,38.1502
10,2024-02-01,39629.0,157.0,1606.0,6529.0,2968.0,1038.0,332.0,252.0,109.0,122.0,80.0,755.0,791.0,6952.0,1560.0,72.0,12.0,4.0,6.0,159.0,50.0,50.0,344.0,301.0,22.0,12.0,298.0,654.0,302.0,37.0,15.0,13.0,0.0,24.0,47.0,37.0,6.0,10.0,11.0,8.0,93.0,37.0,0.0,8.0,5.0,11.0,23.0,61.0,11602.0,157.0,12725.0,10528.0,138.0,723.0,1318.0,121.0,35.0,177.0,61.0,2024,2,1740006,参考第2表(2月),岩手県,139.8609,37.4621
11,2024-01-01,51589.0,191.0,2725.0,11964.0,3814.0,1917.0,245.0,270.0,220.0,165.0,65.0,905.0,975.0,6653.0,3595.0,102.0,38.0,55.0,58.0,182.0,47.0,15.0,478.0,331.0,27.0,6.0,823.0,719.0,351.0,101.0,20.0,27.0,1.0,19.0,81.0,21.0,10.0,6.0,7.0,19.0,110.0,42.0,18.0,20.0,0.0,2.0,49.0,31.0,11644.0,191.0,20935.0,12760.0,242.0,909.0,2020.0,149.0,42.0,241.0,31.0,2024,1,1732631,参考第2表(1月),岩手県,139.9770,37.7843
12,2023-12-01,29692.0,369.0,1510.0,7283.0,2436.0,970.0,191.0,199.0,295.0,160.0,46.0,785.0,648.0,5835.0,1534.0,89.0,19.0,17.0,18.0,69.0,61.0,25.0,355.0,243.0,32.0,38.0,78.0,679.0,353.0,31.0,18.0,43.0,2.0,6.0,70.0,27.0,12.0,51.0,10.0,44.0,157.0,9.0,16.0,11.0,12.0,16.0,40.0,25.0,4737.0,369.0,12589.0,9372.0,186.0,673.0,1197.0,148.0,117.0,261.0,25.0,2023,12,1725251,参考第2表(12月),岩手県,139.8789,37.6269
