,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,124789.0,708.0,192.0,82.0,998.0,64.0,246.0,330.0,861.0,626.0,701.0,2509.0,2076.0,19176.0,4459.0,830.0,185.0,260.0,145.0,213.0,469.0,351.0,2243.0,2986.0,367.0,648.0,1318.0,6504.0,2925.0,542.0,194.0,449.0,1931.0,2379.0,18782.0,1418.0,368.0,587.0,1194.0,395.0,2629.0,212.0,458.0,512.0,332.0,186.0,287.0,427.0,17270.0,708.0,1912.0,30621.0,1744.0,6092.0,12131.0,24959.0,2544.0,4616.0,427.0,2024,12,1867106,参考第2表(12月),広島県,136.1128,35.1024
1,2024-11-01,163124.0,1418.0,473.0,104.0,603.0,129.0,463.0,832.0,1491.0,2316.0,596.0,4461.0,2714.0,21097.0,5118.0,463.0,216.0,346.0,235.0,260.0,795.0,481.0,1841.0,7130.0,537.0,1054.0,1286.0,7134.0,3230.0,1152.0,215.0,408.0,1277.0,1406.0,11095.0,1073.0,411.0,526.0,1172.0,392.0,2054.0,390.0,381.0,478.0,350.0,290.0,362.0,542.0,32294.0,1418.0,2604.0,38053.0,1820.0,10224.0,14071.0,15259.0,2501.0,4305.0,542.0,2024,11,1860296,参考第2表(11月),広島県,136.8838,35.3138
2,2024-10-01,156391.0,3757.0,67.0,112.0,574.0,111.0,123.0,713.0,617.0,2294.0,549.0,2901.0,2222.0,18911.0,4229.0,544.0,188.0,295.0,186.0,119.0,748.0,369.0,1510.0,8719.0,865.0,449.0,1057.0,5747.0,3962.0,628.0,288.0,1089.0,2035.0,1184.0,14324.0,1300.0,202.0,531.0,732.0,212.0,2578.0,201.0,294.0,462.0,279.0,277.0,344.0,200.0,38079.0,3757.0,1700.0,31842.0,1775.0,11649.0,12131.0,19932.0,1677.0,4435.0,200.0,2024,10,1853929,参考第2表(10月),広島県,136.6096,35.4672
3,2024-09-01,124847.0,983.0,117.0,77.0,458.0,69.0,111.0,271.0,414.0,428.0,324.0,2426.0,2245.0,19319.0,5329.0,252.0,177.0,294.0,171.0,194.0,628.0,943.0,700.0,3203.0,1467.0,527.0,1150.0,5774.0,4111.0,596.0,203.0,401.0,2079.0,1249.0,13755.0,2132.0,276.0,457.0,883.0,399.0,2823.0,699.0,313.0,501.0,328.0,280.0,429.0,240.0,24013.0,983.0,1103.0,30679.0,1351.0,6484.0,12361.0,19616.0,2015.0,5373.0,240.0,2024,9,1845514,参考第2表(9月),広島県,136.2327,35.1156
4,2024-08-01,140011.0,1154.0,76.0,86.0,494.0,81.0,100.0,247.0,949.0,455.0,506.0,3563.0,3841.0,22963.0,6549.0,290.0,210.0,376.0,283.0,245.0,535.0,719.0,1338.0,3886.0,831.0,858.0,2278.0,9174.0,5334.0,965.0,517.0,683.0,3179.0,2141.0,18403.0,1692.0,424.0,811.0,2263.0,412.0,3472.0,304.0,439.0,720.0,536.0,267.0,433.0,180.0,21265.0,1154.0,1084.0,39071.0,1411.0,7057.0,19126.0,26098.0,3910.0,6171.0,180.0,2024,8,1840259,参考第2表(8月),広島県,136.1901,35.0986
5,2024-07-01,111798.0,477.0,185.0,62.0,316.0,55.0,124.0,156.0,436.0,305.0,286.0,2529.0,2149.0,16852.0,4243.0,307.0,126.0,287.0,200.0,186.0,343.0,399.0,682.0,2083.0,381.0,638.0,1264.0,6788.0,4066.0,561.0,207.0,548.0,2090.0,1817.0,14157.0,1458.0,344.0,659.0,1015.0,451.0,2554.0,233.0,329.0,433.0,369.0,148.0,358.0,274.0,26288.0,477.0,898.0,26986.0,1063.0,3745.0,13524.0,20070.0,2469.0,4424.0,274.0,2024,7,1765039,参考第2表(7月),広島県,136.0400,35.0392
6,2024-06-01,108329.0,1344.0,63.0,123.0,715.0,106.0,115.0,364.0,362.0,296.0,143.0,1547.0,2254.0,18333.0,4858.0,426.0,136.0,353.0,173.0,109.0,389.0,750.0,786.0,2170.0,725.0,1114.0,1342.0,6791.0,4254.0,621.0,192.0,1048.0,2323.0,1868.0,11991.0,1074.0,304.0,443.0,771.0,284.0,2186.0,154.0,295.0,323.0,259.0,94.0,329.0,395.0,21931.0,1344.0,1486.0,27902.0,1304.0,4604.0,14314.0,18304.0,1802.0,3640.0,395.0,2024,6,1760851,参考第2表(6月),広島県,136.3608,35.2031
7,2024-05-01,134551.0,1302.0,88.0,105.0,1386.0,100.0,295.0,358.0,561.0,425.0,405.0,2340.0,2250.0,20519.0,7614.0,490.0,1240.0,392.0,225.0,166.0,430.0,780.0,1164.0,6565.0,1358.0,539.0,1708.0,7003.0,4064.0,1026.0,294.0,2284.0,1652.0,1572.0,11136.0,882.0,355.0,553.0,1975.0,363.0,2455.0,380.0,344.0,547.0,367.0,375.0,750.0,406.0,30204.0,1302.0,2332.0,34280.0,2552.0,10092.0,14634.0,17526.0,3246.0,5218.0,406.0,2024,5,1757460,参考第2表(5月),広島県,136.5670,35.2198
8,2024-04-01,115292.0,1163.0,79.0,39.0,623.0,87.0,85.0,275.0,313.0,204.0,290.0,1705.0,1804.0,15397.0,3986.0,236.0,152.0,223.0,179.0,119.0,291.0,511.0,1134.0,2708.0,553.0,705.0,1086.0,4993.0,2994.0,620.0,160.0,523.0,879.0,1577.0,10205.0,867.0,264.0,480.0,851.0,267.0,2129.0,209.0,301.0,415.0,378.0,232.0,308.0,196.0,39072.0,1163.0,1188.0,23818.0,902.0,5085.0,10558.0,14051.0,1862.0,3972.0,196.0,2024,4,1750677,参考第2表(4月),広島県,136.3970,35.1852
9,2024-03-01,139318.0,1602.0,79.0,118.0,616.0,85.0,255.0,364.0,703.0,603.0,622.0,2899.0,3221.0,19253.0,6885.0,480.0,256.0,436.0,390.0,181.0,372.0,696.0,1376.0,4653.0,654.0,862.0,1701.0,6144.0,3657.0,802.0,1026.0,601.0,1282.0,1661.0,12851.0,1052.0,309.0,581.0,1015.0,450.0,3186.0,426.0,515.0,637.0,627.0,352.0,711.0,437.0,32333.0,1602.0,1517.0,34367.0,1544.0,7769.0,14192.0,17447.0,2355.0,6454.0,437.0,2024,3,1745072,参考第2表(3月),広島県,136.4593,35.1738
