,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,26621.0,217.0,143.0,42.0,323.0,24.0,12.0,16.0,67.0,56.0,125.0,438.0,420.0,2247.0,707.0,34.0,55.0,20.0,43.0,22.0,64.0,85.0,262.0,486.0,84.0,164.0,451.0,2045.0,1428.0,279.0,165.0,178.0,76.0,336.0,389.0,106.0,1846.0,494.0,420.0,217.0,316.0,30.0,11.0,21.0,37.0,30.0,32.0,91.0,1263.0,217.0,560.0,4082.0,173.0,960.0,4532.0,1085.0,2977.0,477.0,91.0,2023,12,1725251,参考第2表(12月),徳島県,136.3613,35.0847
1,2023-11-01,30689.0,588.0,25.0,30.0,245.0,18.0,60.0,51.0,128.0,59.0,97.0,584.0,516.0,2808.0,865.0,278.0,74.0,104.0,66.0,53.0,244.0,133.0,376.0,998.0,100.0,210.0,420.0,2023.0,1268.0,570.0,329.0,74.0,102.0,309.0,672.0,102.0,1690.0,362.0,461.0,211.0,339.0,34.0,25.0,58.0,54.0,49.0,65.0,71.0,2045.0,588.0,429.0,5110.0,700.0,1673.0,4820.0,1259.0,2724.0,624.0,71.0,2023,11,810002999,参考第2表(11月),徳島県,136.6293,35.2869
2,2023-10-01,24905.0,263.0,22.0,15.0,78.0,14.0,6.0,17.0,85.0,39.0,48.0,413.0,410.0,2524.0,801.0,31.0,30.0,45.0,38.0,39.0,126.0,117.0,585.0,447.0,219.0,179.0,534.0,1905.0,1030.0,144.0,111.0,43.0,23.0,447.0,371.0,75.0,1178.0,342.0,628.0,180.0,493.0,13.0,29.0,57.0,51.0,18.0,27.0,81.0,1893.0,263.0,152.0,4359.0,232.0,1406.0,3903.0,959.0,2328.0,688.0,81.0,2023,10,810003002,参考第2表(10月),徳島県,136.4317,35.0409
3,2023-09-01,28091.0,273.0,49.0,43.0,79.0,45.0,18.0,45.0,73.0,94.0,110.0,528.0,675.0,3417.0,833.0,46.0,63.0,75.0,59.0,67.0,128.0,103.0,441.0,468.0,172.0,265.0,549.0,3018.0,1588.0,357.0,164.0,52.0,79.0,354.0,495.0,93.0,1609.0,455.0,411.0,244.0,248.0,31.0,18.0,174.0,69.0,21.0,54.0,41.0,1195.0,273.0,279.0,5797.0,312.0,1243.0,5941.0,1073.0,2719.0,615.0,41.0,2023,9,810003005,参考第2表(9月),徳島県,136.5905,35.0981
4,2023-08-01,46097.0,244.0,33.0,18.0,60.0,99.0,28.0,68.0,174.0,82.0,86.0,840.0,790.0,4351.0,1313.0,40.0,169.0,77.0,67.0,53.0,62.0,192.0,173.0,1110.0,246.0,372.0,1447.0,4979.0,3359.0,821.0,256.0,85.0,65.0,808.0,777.0,203.0,1067.0,567.0,694.0,318.0,385.0,51.0,35.0,45.0,154.0,19.0,47.0,28.0,1067.0,244.0,306.0,7689.0,348.0,1788.0,11234.0,1938.0,2646.0,736.0,28.0,2023,8,810003007,参考第2表(8月),徳島県,136.4253,35.0505
5,2023-07-01,33393.0,230.0,6.0,19.0,45.0,11.0,22.0,44.0,88.0,64.0,89.0,596.0,670.0,3039.0,955.0,23.0,54.0,37.0,51.0,83.0,108.0,110.0,190.0,591.0,107.0,326.0,1106.0,3835.0,2462.0,617.0,154.0,56.0,44.0,644.0,563.0,89.0,1120.0,769.0,435.0,241.0,247.0,16.0,25.0,20.0,33.0,33.0,67.0,42.0,1257.0,230.0,147.0,5584.0,222.0,1049.0,8500.0,1396.0,2565.0,441.0,42.0,2023,7,810003009,参考第2表(7月),徳島県,136.3696,35.0150
6,2023-06-01,24115.0,335.0,20.0,9.0,28.0,7.0,15.0,26.0,86.0,98.0,49.0,379.0,446.0,2553.0,708.0,33.0,10.0,60.0,20.0,27.0,109.0,610.0,139.0,274.0,225.0,481.0,391.0,1632.0,1074.0,178.0,137.0,40.0,36.0,322.0,930.0,72.0,1591.0,487.0,547.0,181.0,242.0,20.0,29.0,63.0,28.0,12.0,21.0,166.0,1319.0,335.0,105.0,4346.0,212.0,1268.0,3893.0,1400.0,2806.0,415.0,166.0,2023,6,810003011,参考第2表(6月),徳島県,136.2565,35.0122
7,2023-05-01,31227.0,360.0,76.0,12.0,148.0,36.0,21.0,70.0,174.0,73.0,79.0,595.0,766.0,3481.0,1079.0,49.0,25.0,99.0,44.0,37.0,128.0,113.0,407.0,639.0,383.0,386.0,505.0,2452.0,1548.0,998.0,306.0,22.0,44.0,391.0,581.0,79.0,1080.0,363.0,411.0,224.0,477.0,19.0,35.0,161.0,57.0,31.0,181.0,36.0,1310.0,360.0,363.0,6284.0,301.0,1586.0,6195.0,1117.0,2078.0,961.0,36.0,2023,5,810003013,参考第2表(5月),徳島県,136.6574,35.1393
8,2023-04-01,26908.0,590.0,61.0,16.0,96.0,21.0,22.0,30.0,127.0,78.0,76.0,510.0,376.0,2273.0,785.0,24.0,17.0,36.0,63.0,38.0,98.0,86.0,234.0,554.0,128.0,384.0,474.0,2507.0,1692.0,312.0,93.0,42.0,52.0,379.0,420.0,124.0,1382.0,428.0,444.0,156.0,301.0,26.0,34.0,116.0,142.0,24.0,54.0,147.0,2098.0,590.0,246.0,4263.0,175.0,1065.0,5462.0,1017.0,2410.0,697.0,147.0,2023,4,1616669,参考第2表(4月),徳島県,136.3357,35.1508
9,2023-03-01,35723.0,443.0,34.0,16.0,289.0,54.0,62.0,33.0,195.0,158.0,122.0,867.0,902.0,3759.0,1305.0,37.0,25.0,64.0,76.0,114.0,346.0,151.0,310.0,1096.0,196.0,412.0,542.0,2910.0,1518.0,387.0,164.0,90.0,54.0,399.0,492.0,88.0,1472.0,429.0,373.0,223.0,441.0,43.0,20.0,56.0,116.0,20.0,66.0,184.0,2763.0,443.0,488.0,7422.0,472.0,1829.0,5933.0,1123.0,2497.0,762.0,184.0,2023,3,1611685,参考第2表(3月),徳島県,136.8360,35.1998
