,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,35342.0,658.0,31.0,39.0,205.0,13.0,27.0,38.0,184.0,72.0,60.0,713.0,799.0,4828.0,1521.0,24.0,58.0,74.0,85.0,68.0,219.0,171.0,464.0,1053.0,240.0,157.0,747.0,2331.0,1427.0,227.0,52.0,137.0,233.0,1247.0,2268.0,486.0,568.0,1051.0,3917.0,481.0,578.0,40.0,86.0,107.0,130.0,75.0,96.0,96.0,4766.0,658.0,353.0,8245.0,375.0,2013.0,4941.0,4371.0,6017.0,1112.0,96.0,2023,12,1725251,参考第2表(12月),愛媛県,135.9233,35.0155
1,2023-11-01,43387.0,1303.0,44.0,102.0,475.0,58.0,153.0,125.0,225.0,129.0,155.0,1088.0,1194.0,6148.0,1966.0,223.0,83.0,144.0,95.0,125.0,404.0,266.0,495.0,2410.0,415.0,292.0,658.0,3272.0,1526.0,244.0,117.0,138.0,293.0,1020.0,1840.0,350.0,449.0,855.0,3850.0,330.0,868.0,128.0,106.0,175.0,279.0,157.0,227.0,99.0,5585.0,1303.0,957.0,11030.0,854.0,3681.0,6109.0,3641.0,5484.0,1940.0,99.0,2023,11,810002999,参考第2表(11月),愛媛県,136.4263,35.2821
2,2023-10-01,38759.0,958.0,173.0,87.0,516.0,44.0,91.0,125.0,287.0,177.0,155.0,983.0,1042.0,5274.0,1672.0,145.0,247.0,385.0,142.0,121.0,536.0,208.0,461.0,3135.0,320.0,191.0,497.0,2226.0,1416.0,261.0,124.0,108.0,141.0,892.0,1750.0,331.0,366.0,699.0,4493.0,311.0,653.0,57.0,152.0,255.0,131.0,81.0,146.0,180.0,3071.0,958.0,1036.0,9711.0,1313.0,4266.0,4715.0,3222.0,5869.0,1475.0,180.0,2023,10,810003002,参考第2表(10月),愛媛県,136.3533,35.2378
3,2023-09-01,29582.0,814.0,114.0,64.0,264.0,42.0,38.0,97.0,166.0,144.0,163.0,854.0,886.0,4952.0,1510.0,83.0,56.0,66.0,34.0,32.0,207.0,174.0,173.0,832.0,155.0,203.0,458.0,2089.0,1345.0,455.0,65.0,58.0,104.0,759.0,1180.0,157.0,328.0,734.0,3181.0,330.0,852.0,34.0,76.0,123.0,93.0,78.0,88.0,75.0,2352.0,814.0,619.0,8707.0,412.0,1368.0,4615.0,2258.0,4573.0,1344.0,75.0,2023,9,810003005,参考第2表(9月),愛媛県,136.4197,35.2319
4,2023-08-01,44831.0,627.0,103.0,106.0,180.0,122.0,119.0,112.0,416.0,225.0,284.0,1536.0,1570.0,6946.0,2642.0,84.0,128.0,267.0,101.0,116.0,172.0,335.0,484.0,1965.0,443.0,310.0,912.0,3687.0,2563.0,490.0,119.0,136.0,204.0,1111.0,1783.0,385.0,575.0,914.0,4043.0,556.0,1152.0,130.0,176.0,214.0,217.0,138.0,74.0,74.0,3091.0,627.0,742.0,13735.0,651.0,3328.0,8081.0,3619.0,6088.0,2101.0,74.0,2023,8,810003007,参考第2表(8月),愛媛県,136.4164,35.1140
5,2023-07-01,23550.0,190.0,66.0,16.0,265.0,19.0,25.0,51.0,187.0,131.0,78.0,667.0,797.0,3751.0,1378.0,106.0,54.0,52.0,41.0,38.0,89.0,159.0,269.0,923.0,159.0,256.0,385.0,1974.0,1413.0,188.0,119.0,191.0,135.0,684.0,1304.0,349.0,352.0,524.0,2783.0,257.0,505.0,51.0,77.0,100.0,243.0,93.0,56.0,65.0,1911.0,190.0,442.0,7027.0,301.0,1551.0,4335.0,2663.0,3916.0,1125.0,65.0,2023,7,810003009,参考第2表(7月),愛媛県,136.1163,34.9812
6,2023-06-01,32204.0,820.0,60.0,36.0,346.0,45.0,39.0,132.0,297.0,84.0,109.0,845.0,975.0,4523.0,1472.0,89.0,62.0,92.0,63.0,57.0,251.0,164.0,350.0,982.0,160.0,111.0,552.0,2348.0,1501.0,268.0,110.0,80.0,169.0,773.0,1649.0,383.0,348.0,756.0,4189.0,453.0,730.0,77.0,128.0,136.0,175.0,101.0,77.0,91.0,3036.0,820.0,658.0,8362.0,494.0,1719.0,4890.0,3054.0,5746.0,1424.0,91.0,2023,6,810003011,参考第2表(6月),愛媛県,136.0993,35.1246
7,2023-05-01,41820.0,492.0,32.0,38.0,315.0,48.0,99.0,56.0,242.0,113.0,165.0,1198.0,1339.0,6766.0,2133.0,165.0,77.0,221.0,104.0,67.0,279.0,227.0,437.0,2440.0,290.0,270.0,580.0,3006.0,2320.0,682.0,235.0,115.0,220.0,831.0,1852.0,302.0,559.0,940.0,4161.0,561.0,1087.0,113.0,113.0,216.0,188.0,109.0,115.0,214.0,3206.0,492.0,588.0,12023.0,742.0,3498.0,7093.0,3320.0,6221.0,1941.0,214.0,2023,5,810003013,参考第2表(5月),愛媛県,136.2642,35.0162
8,2023-04-01,37633.0,606.0,47.0,52.0,275.0,37.0,69.0,117.0,212.0,161.0,162.0,878.0,913.0,4982.0,1642.0,113.0,74.0,104.0,85.0,45.0,169.0,159.0,277.0,1636.0,541.0,172.0,472.0,2367.0,1937.0,349.0,180.0,119.0,162.0,801.0,1810.0,307.0,615.0,1065.0,4947.0,554.0,666.0,95.0,83.0,179.0,228.0,146.0,116.0,156.0,4204.0,606.0,597.0,8995.0,460.0,2698.0,5477.0,3199.0,7181.0,1513.0,156.0,2023,4,1616669,参考第2表(4月),愛媛県,135.9575,34.9781
9,2023-03-01,43444.0,534.0,70.0,54.0,349.0,62.0,52.0,120.0,384.0,225.0,163.0,1297.0,1464.0,6744.0,2405.0,142.0,83.0,123.0,91.0,114.0,310.0,219.0,339.0,2363.0,284.0,340.0,824.0,3482.0,2198.0,415.0,179.0,144.0,91.0,1102.0,2214.0,371.0,387.0,1039.0,3849.0,445.0,915.0,90.0,118.0,168.0,199.0,91.0,113.0,174.0,3261.0,534.0,707.0,12796.0,658.0,3296.0,7438.0,3922.0,5720.0,1694.0,174.0,2023,3,1611685,参考第2表(3月),愛媛県,136.3799,35.0784
10,2023-02-01,31303.0,311.0,72.0,30.0,195.0,36.0,15.0,81.0,182.0,79.0,101.0,909.0,1005.0,4907.0,2260.0,73.0,46.0,110.0,70.0,78.0,189.0,161.0,218.0,948.0,237.0,228.0,720.0,2138.0,1483.0,264.0,149.0,65.0,84.0,929.0,2359.0,213.0,336.0,833.0,3742.0,367.0,683.0,46.0,66.0,100.0,141.0,49.0,89.0,93.0,1268.0,311.0,429.0,9521.0,418.0,1634.0,4982.0,3650.0,5278.0,1174.0,93.0,2023,2,1602931,参考第2表(2月),愛媛県,136.1448,34.9893
11,2023-01-01,32535.0,419.0,41.0,13.0,98.0,23.0,57.0,35.0,179.0,146.0,71.0,783.0,815.0,4450.0,1621.0,48.0,24.0,53.0,64.0,70.0,114.0,157.0,220.0,915.0,176.0,272.0,741.0,2581.0,1721.0,250.0,173.0,90.0,104.0,1059.0,2368.0,275.0,371.0,995.0,5213.0,636.0,771.0,69.0,79.0,124.0,152.0,60.0,79.0,109.0,1303.0,419.0,267.0,8135.0,239.0,1532.0,5738.0,3896.0,7215.0,1334.0,109.0,2023,1,1596098,参考第2表(1月),愛媛県,135.6639,34.8586
12,2022-12-01,40985.0,334.0,21.0,41.0,452.0,14.0,81.0,349.0,265.0,136.0,64.0,871.0,1336.0,5980.0,1689.0,420.0,46.0,64.0,86.0,410.0,167.0,176.0,779.0,1154.0,164.0,284.0,603.0,3384.0,1867.0,371.0,85.0,111.0,246.0,1335.0,2692.0,409.0,530.0,1194.0,6545.0,593.0,673.0,66.0,56.0,165.0,124.0,74.0,64.0,101.0,919.0,334.0,958.0,10751.0,697.0,2359.0,6594.0,4793.0,8862.0,1222.0,101.0,2022,12,1588919,参考第2表(12月),愛媛県,135.9422,34.9525
13,2022-11-01,40041.0,521.0,35.0,85.0,358.0,54.0,120.0,164.0,205.0,176.0,422.0,1436.0,1534.0,6938.0,1763.0,78.0,101.0,117.0,160.0,96.0,239.0,253.0,506.0,1891.0,378.0,585.0,564.0,2998.0,1694.0,312.0,113.0,144.0,187.0,965.0,1795.0,271.0,677.0,848.0,4455.0,536.0,642.0,70.0,68.0,129.0,187.0,85.0,119.0,131.0,1293.0,521.0,816.0,12570.0,535.0,3188.0,6266.0,3362.0,6516.0,1300.0,131.0,2022,11,1583855,参考第2表(11月),愛媛県,136.4604,35.1034
14,2022-10-01,38541.0,428.0,27.0,57.0,319.0,25.0,84.0,61.0,204.0,141.0,220.0,1038.0,1235.0,6104.0,1830.0,123.0,208.0,159.0,144.0,136.0,276.0,238.0,403.0,2393.0,276.0,251.0,663.0,3164.0,1847.0,631.0,291.0,145.0,171.0,827.0,1991.0,281.0,476.0,870.0,4750.0,501.0,1239.0,82.0,58.0,151.0,260.0,81.0,83.0,147.0,566.0,428.0,573.0,10908.0,766.0,3454.0,6847.0,3415.0,6597.0,1954.0,147.0,2022,10,1578856,参考第2表(10月),愛媛県,136.1105,34.9902
15,2022-09-01,31440.0,371.0,34.0,46.0,247.0,44.0,73.0,109.0,213.0,128.0,118.0,1019.0,1011.0,5329.0,1890.0,92.0,124.0,122.0,113.0,55.0,161.0,208.0,226.0,843.0,231.0,201.0,542.0,2526.0,1492.0,333.0,94.0,64.0,132.0,812.0,1728.0,307.0,361.0,1169.0,4103.0,495.0,712.0,126.0,76.0,93.0,145.0,75.0,78.0,112.0,269.0,371.0,553.0,9763.0,499.0,1621.0,5188.0,3043.0,6128.0,1305.0,112.0,2022,9,1572819,参考第2表(9月),愛媛県,136.1580,35.0028
16,2022-08-01,44393.0,384.0,101.0,83.0,336.0,62.0,173.0,287.0,496.0,392.0,222.0,1413.0,1471.0,7052.0,2756.0,138.0,136.0,243.0,172.0,167.0,160.0,427.0,567.0,1569.0,357.0,621.0,833.0,3781.0,2343.0,502.0,153.0,131.0,198.0,1418.0,2013.0,465.0,464.0,1231.0,5733.0,567.0,948.0,110.0,201.0,428.0,245.0,123.0,102.0,111.0,236.0,384.0,1042.0,13969.0,677.0,3092.0,8233.0,4225.0,7995.0,2157.0,111.0,2022,8,1518809,参考第2表(8月),愛媛県,136.2145,35.0164
17,2022-07-01,33894.0,249.0,45.0,53.0,330.0,33.0,150.0,91.0,358.0,150.0,159.0,1116.0,1107.0,4842.0,1694.0,228.0,86.0,134.0,76.0,143.0,146.0,173.0,321.0,1096.0,235.0,224.0,646.0,3286.0,1732.0,509.0,92.0,105.0,159.0,1193.0,1748.0,279.0,371.0,1104.0,4597.0,429.0,715.0,158.0,75.0,120.0,166.0,78.0,190.0,91.0,311.0,249.0,702.0,9569.0,594.0,1901.0,6489.0,3484.0,6501.0,1502.0,91.0,2022,7,1513787,参考第2表(7月),愛媛県,136.0300,34.9592
18,2022-06-01,31216.0,290.0,41.0,25.0,263.0,31.0,35.0,98.0,195.0,104.0,58.0,583.0,876.0,3893.0,1470.0,123.0,48.0,142.0,26.0,40.0,155.0,136.0,245.0,1355.0,128.0,194.0,341.0,2774.0,1728.0,204.0,166.0,393.0,116.0,924.0,2281.0,271.0,474.0,1372.0,5144.0,714.0,718.0,43.0,93.0,95.0,114.0,95.0,59.0,52.0,351.0,290.0,493.0,7219.0,468.0,1890.0,5407.0,3985.0,7704.0,1217.0,52.0,2022,6,1498879,参考第2表(6月),愛媛県,135.6036,34.8595
19,2022-05-01,35097.0,415.0,34.0,30.0,209.0,36.0,62.0,47.0,267.0,127.0,124.0,1062.0,939.0,5834.0,1649.0,92.0,100.0,142.0,123.0,111.0,176.0,175.0,333.0,1568.0,192.0,238.0,1056.0,3361.0,2475.0,208.0,143.0,79.0,108.0,773.0,1617.0,322.0,695.0,942.0,4751.0,562.0,1097.0,88.0,75.0,148.0,174.0,75.0,161.0,58.0,132.0,415.0,418.0,10113.0,510.0,2391.0,7481.0,2899.0,6950.0,1818.0,58.0,2022,5,1492188,参考第2表(5月),愛媛県,136.0193,34.9559
20,2022-04-01,26479.0,497.0,62.0,4.0,165.0,1.0,22.0,126.0,173.0,240.0,102.0,651.0,631.0,4486.0,1048.0,63.0,78.0,35.0,24.0,52.0,185.0,150.0,241.0,999.0,191.0,208.0,450.0,2763.0,1383.0,203.0,74.0,54.0,53.0,722.0,1641.0,161.0,294.0,738.0,4461.0,426.0,491.0,41.0,93.0,67.0,168.0,96.0,41.0,75.0,80.0,497.0,380.0,7383.0,361.0,1605.0,5081.0,2631.0,5919.0,997.0,75.0,2022,4,1488455,参考第2表(4月),愛媛県,135.9598,34.9901
21,2022-03-01,24661.0,242.0,8.0,157.0,114.0,46.0,24.0,68.0,141.0,71.0,58.0,714.0,808.0,4109.0,1540.0,26.0,90.0,64.0,709.0,47.0,67.0,220.0,221.0,1167.0,196.0,215.0,767.0,2482.0,1639.0,319.0,101.0,110.0,94.0,803.0,1826.0,276.0,291.0,499.0,2844.0,275.0,648.0,50.0,90.0,91.0,89.0,50.0,90.0,71.0,34.0,242.0,417.0,7488.0,247.0,2513.0,5523.0,3109.0,3909.0,1108.0,71.0,2022,3,1593741,参考第2表(3月),愛媛県,136.0834,35.0076
22,2022-02-01,14599.0,157.0,4.0,8.0,96.0,6.0,17.0,19.0,93.0,26.0,27.0,384.0,433.0,2684.0,969.0,12.0,42.0,50.0,24.0,12.0,37.0,95.0,99.0,557.0,83.0,159.0,422.0,1221.0,959.0,192.0,80.0,30.0,34.0,570.0,1103.0,118.0,168.0,476.0,2364.0,227.0,273.0,25.0,50.0,58.0,56.0,23.0,14.0,38.0,5.0,157.0,150.0,4628.0,141.0,858.0,3033.0,1855.0,3235.0,499.0,38.0,2022,2,1479844,参考第2表(2月),愛媛県,135.9706,34.9164
23,2022-01-01,20511.0,189.0,10.0,35.0,154.0,5.0,9.0,9.0,146.0,63.0,37.0,603.0,436.0,3130.0,1122.0,21.0,30.0,56.0,28.0,23.0,57.0,97.0,70.0,625.0,104.0,193.0,473.0,2204.0,1406.0,255.0,114.0,41.0,21.0,850.0,1507.0,166.0,237.0,777.0,3875.0,453.0,461.0,40.0,38.0,59.0,82.0,56.0,78.0,57.0,9.0,189.0,222.0,5560.0,164.0,924.0,4645.0,2585.0,5342.0,814.0,57.0,2022,1,1473828,参考第2表(1月),愛媛県,135.6266,34.8098
