,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,85178.0,185.0,107.0,142.0,1537.0,122.0,480.0,4329.0,7846.0,14584.0,3101.0,15025.0,8032.0,18670.0,5233.0,728.0,15.0,35.0,5.0,120.0,356.0,152.0,275.0,215.0,16.0,16.0,45.0,265.0,90.0,44.0,19.0,8.0,20.0,30.0,35.0,23.0,11.0,13.0,17.0,0.0,77.0,2.0,13.0,27.0,13.0,45.0,16.0,30.0,2577.0,185.0,6717.0,72611.0,1134.0,663.0,479.0,116.0,41.0,193.0,30.0,2023,12,1725251,参考第2表(12月),栃木県,139.7798,36.1504
1,2023-11-01,99258.0,611.0,65.0,165.0,1743.0,104.0,728.0,3286.0,8576.0,15542.0,2600.0,15364.0,9933.0,20434.0,8309.0,817.0,62.0,43.0,51.0,312.0,398.0,27.0,573.0,713.0,26.0,55.0,173.0,1354.0,311.0,27.0,19.0,7.0,18.0,65.0,59.0,54.0,13.0,42.0,23.0,4.0,144.0,11.0,20.0,19.0,15.0,11.0,34.0,203.0,4811.0,611.0,6091.0,81070.0,1320.0,1390.0,1939.0,203.0,82.0,254.0,203.0,2023,11,810002999,参考第2表(11月),栃木県,139.6600,36.0811
2,2023-10-01,112837.0,380.0,130.0,267.0,2866.0,249.0,817.0,3712.0,8284.0,12205.0,2791.0,15394.0,9953.0,20126.0,7190.0,1395.0,112.0,118.0,41.0,396.0,438.0,251.0,955.0,874.0,100.0,75.0,279.0,664.0,311.0,27.0,21.0,42.0,24.0,62.0,136.0,36.0,53.0,27.0,44.0,191.0,459.0,9.0,32.0,85.0,11.0,51.0,41.0,78.0,5669.0,380.0,8041.0,76339.0,2063.0,2221.0,1377.0,300.0,315.0,688.0,78.0,2023,10,810003002,参考第2表(10月),栃木県,139.6141,36.1091
3,2023-09-01,98244.0,351.0,83.0,118.0,1491.0,177.0,918.0,3002.0,6696.0,12074.0,2613.0,12908.0,8949.0,19266.0,6664.0,811.0,26.0,56.0,10.0,137.0,294.0,51.0,377.0,280.0,48.0,56.0,63.0,1065.0,217.0,18.0,21.0,9.0,3.0,31.0,58.0,20.0,13.0,4.0,7.0,0.0,127.0,18.0,2.0,10.0,9.0,13.0,24.0,38.0,3674.0,351.0,5789.0,69307.0,1187.0,766.0,1440.0,121.0,24.0,203.0,38.0,2023,9,810003005,参考第2表(9月),栃木県,139.7115,36.0980
4,2023-08-01,118508.0,93.0,91.0,163.0,2297.0,150.0,596.0,2758.0,10393.0,9865.0,3374.0,21506.0,16695.0,31724.0,12247.0,1003.0,101.0,51.0,23.0,343.0,375.0,51.0,585.0,812.0,107.0,98.0,129.0,390.0,423.0,68.0,9.0,20.0,12.0,46.0,60.0,42.0,46.0,33.0,15.0,4.0,85.0,17.0,10.0,25.0,4.0,20.0,3.0,16.0,1010.0,93.0,6055.0,106147.0,1530.0,1578.0,1117.0,180.0,98.0,164.0,16.0,2023,8,810003007,参考第2表(8月),栃木県,139.7335,35.9661
5,2023-07-01,112896.0,200.0,121.0,155.0,2419.0,204.0,1031.0,4033.0,8991.0,13250.0,3058.0,17652.0,11231.0,22962.0,9259.0,933.0,83.0,51.0,15.0,300.0,421.0,55.0,451.0,453.0,41.0,89.0,95.0,999.0,216.0,38.0,43.0,54.0,29.0,37.0,61.0,14.0,5.0,14.0,52.0,11.0,200.0,83.0,36.0,14.0,10.0,6.0,6.0,29.0,4515.0,200.0,7963.0,86703.0,1488.0,1015.0,1480.0,195.0,82.0,355.0,29.0,2023,7,810003009,参考第2表(7月),栃木県,139.7135,36.0838
6,2023-06-01,60885.0,228.0,129.0,163.0,1360.0,94.0,643.0,2636.0,5635.0,10543.0,2118.0,9619.0,6252.0,11568.0,4263.0,688.0,90.0,61.0,25.0,178.0,250.0,36.0,225.0,294.0,66.0,114.0,50.0,340.0,223.0,25.0,6.0,5.0,18.0,26.0,42.0,9.0,32.0,53.0,33.0,14.0,149.0,4.0,45.0,13.0,12.0,9.0,16.0,95.0,1205.0,228.0,5025.0,50176.0,1089.0,646.0,758.0,100.0,132.0,248.0,95.0,2023,6,810003011,参考第2表(6月),栃木県,139.6985,36.1578
7,2023-05-01,80443.0,250.0,93.0,147.0,1878.0,127.0,716.0,2789.0,6368.0,12563.0,2269.0,11536.0,8163.0,17482.0,6802.0,968.0,45.0,94.0,17.0,155.0,334.0,103.0,443.0,647.0,57.0,77.0,142.0,773.0,320.0,147.0,43.0,6.0,38.0,89.0,84.0,50.0,13.0,18.0,17.0,12.0,128.0,10.0,10.0,88.0,34.0,4.0,25.0,33.0,2947.0,250.0,5750.0,65338.0,1441.0,1267.0,1502.0,267.0,60.0,299.0,33.0,2023,5,810003013,参考第2表(5月),栃木県,139.6577,36.0979
8,2023-04-01,83487.0,331.0,84.0,112.0,1825.0,97.0,673.0,2758.0,6517.0,11877.0,2375.0,13988.0,7461.0,16009.0,6171.0,614.0,32.0,43.0,13.0,128.0,288.0,68.0,333.0,297.0,69.0,19.0,32.0,510.0,193.0,28.0,6.0,14.0,2.0,21.0,28.0,16.0,16.0,8.0,27.0,4.0,55.0,3.0,14.0,19.0,4.0,0.0,47.0,61.0,5231.0,331.0,5549.0,64526.0,977.0,780.0,788.0,81.0,55.0,142.0,61.0,2023,4,1616669,参考第2表(4月),栃木県,139.7464,36.1212
9,2023-03-01,96486.0,101.0,96.0,205.0,2213.0,139.0,770.0,3506.0,8276.0,17365.0,2793.0,15256.0,9701.0,17835.0,6600.0,704.0,48.0,19.0,19.0,183.0,1798.0,94.0,289.0,267.0,71.0,40.0,149.0,1124.0,220.0,16.0,5.0,0.0,39.0,35.0,47.0,16.0,18.0,5.0,37.0,16.0,162.0,9.0,17.0,10.0,13.0,20.0,40.0,29.0,3964.0,101.0,6929.0,78009.0,2569.0,740.0,1554.0,137.0,76.0,271.0,29.0,2023,3,1611685,参考第2表(3月),栃木県,139.7032,36.1362
10,2023-02-01,62519.0,127.0,42.0,68.0,1301.0,42.0,246.0,2345.0,4756.0,13060.0,1530.0,8539.0,5490.0,12242.0,4290.0,327.0,20.0,13.0,6.0,123.0,886.0,29.0,99.0,176.0,51.0,39.0,85.0,902.0,165.0,18.0,36.0,0.0,6.0,10.0,25.0,16.0,2.0,2.0,9.0,2.0,64.0,0.0,4.0,11.0,0.0,30.0,14.0,36.0,4590.0,127.0,4044.0,50030.0,1246.0,361.0,1245.0,57.0,15.0,123.0,36.0,2023,2,1602931,参考第2表(2月),栃木県,139.7014,36.1318
11,2023-01-01,51234.0,63.0,39.0,95.0,1011.0,66.0,389.0,2232.0,5104.0,8643.0,1545.0,8771.0,5144.0,11395.0,3525.0,189.0,23.0,10.0,11.0,98.0,201.0,20.0,153.0,89.0,50.0,10.0,24.0,242.0,63.0,53.0,8.0,4.0,5.0,8.0,42.0,3.0,5.0,10.0,4.0,0.0,92.0,6.0,38.0,8.0,0.0,19.0,0.0,48.0,1641.0,63.0,3832.0,44225.0,423.0,323.0,400.0,62.0,19.0,163.0,48.0,2023,1,1596098,参考第2表(1月),栃木県,139.7686,36.1083
12,2022-12-01,73630.0,56.0,78.0,70.0,1398.0,210.0,395.0,3418.0,7092.0,14372.0,2344.0,12904.0,7046.0,15981.0,4674.0,367.0,46.0,72.0,6.0,173.0,247.0,83.0,235.0,221.0,40.0,46.0,241.0,176.0,93.0,8.0,21.0,4.0,0.0,35.0,66.0,13.0,6.0,31.0,33.0,14.0,85.0,37.0,3.0,6.0,6.0,9.0,6.0,66.0,1005.0,56.0,5569.0,64586.0,732.0,585.0,585.0,118.0,84.0,152.0,66.0,2022,12,1588919,参考第2表(12月),栃木県,139.7618,36.1297
13,2022-11-01,84848.0,225.0,51.0,198.0,1730.0,109.0,519.0,3103.0,8036.0,13237.0,3457.0,15786.0,8959.0,17723.0,5792.0,643.0,45.0,49.0,18.0,185.0,257.0,96.0,943.0,481.0,92.0,92.0,74.0,313.0,140.0,36.0,13.0,22.0,9.0,176.0,61.0,14.0,5.0,28.0,14.0,6.0,451.0,8.0,22.0,24.0,4.0,11.0,14.0,179.0,832.0,225.0,5710.0,73175.0,994.0,1630.0,668.0,282.0,53.0,534.0,179.0,2022,11,1583855,参考第2表(11月),栃木県,139.6649,36.0720
14,2022-10-01,88398.0,320.0,84.0,428.0,2522.0,223.0,675.0,3119.0,7887.0,15897.0,2728.0,13087.0,9885.0,16541.0,5919.0,948.0,59.0,186.0,65.0,170.0,481.0,211.0,685.0,850.0,73.0,114.0,165.0,615.0,277.0,101.0,43.0,46.0,9.0,176.0,162.0,73.0,7.0,128.0,104.0,79.0,303.0,33.0,53.0,64.0,26.0,254.0,63.0,135.0,663.0,320.0,7051.0,72114.0,1674.0,1884.0,1315.0,466.0,318.0,796.0,135.0,2022,10,1578856,参考第2表(10月),栃木県,139.5878,36.1171
15,2022-09-01,73634.0,177.0,148.0,68.0,1182.0,64.0,449.0,2955.0,7911.0,10811.0,2208.0,13928.0,8748.0,14921.0,6777.0,542.0,35.0,55.0,22.0,188.0,486.0,99.0,517.0,175.0,32.0,39.0,79.0,282.0,119.0,17.0,15.0,3.0,16.0,30.0,50.0,16.0,2.0,31.0,6.0,19.0,78.0,5.0,6.0,192.0,33.0,24.0,11.0,25.0,26.0,177.0,4866.0,65492.0,1118.0,845.0,551.0,115.0,58.0,349.0,25.0,2022,9,1572819,参考第2表(9月),栃木県,139.7412,36.0741
16,2022-08-01,112675.0,99.0,60.0,145.0,1827.0,136.0,344.0,2140.0,10062.0,9819.0,2998.0,22984.0,16410.0,30110.0,11992.0,572.0,24.0,27.0,5.0,239.0,180.0,64.0,291.0,577.0,60.0,21.0,166.0,335.0,274.0,52.0,12.0,3.0,2.0,17.0,67.0,26.0,19.0,4.0,19.0,4.0,52.0,0.0,9.0,0.0,0.0,8.0,16.0,50.0,128.0,99.0,4652.0,104614.0,803.0,997.0,860.0,115.0,46.0,85.0,50.0,2022,8,1518809,参考第2表(8月),栃木県,139.7606,35.9402
17,2022-07-01,77332.0,161.0,68.0,101.0,1812.0,74.0,374.0,2658.0,7855.0,10242.0,2523.0,14720.0,9330.0,17278.0,6978.0,608.0,27.0,25.0,10.0,204.0,239.0,83.0,295.0,477.0,40.0,37.0,64.0,297.0,72.0,32.0,0.0,2.0,1.0,11.0,18.0,12.0,4.0,5.0,21.0,2.0,96.0,3.0,8.0,13.0,2.0,8.0,41.0,25.0,175.0,161.0,5087.0,69130.0,899.0,905.0,502.0,44.0,32.0,171.0,25.0,2022,7,1513787,参考第2表(7月),栃木県,139.7734,36.0665
18,2022-06-01,63523.0,88.0,251.0,82.0,1029.0,38.0,264.0,2365.0,7724.0,12088.0,2500.0,10911.0,6718.0,10941.0,4281.0,412.0,32.0,54.0,15.0,167.0,221.0,52.0,199.0,397.0,18.0,57.0,65.0,214.0,162.0,28.0,4.0,2.0,45.0,50.0,19.0,4.0,7.0,10.0,46.0,6.0,28.0,5.0,5.0,3.0,3.0,4.0,10.0,30.0,55.0,88.0,4029.0,55330.0,719.0,681.0,530.0,120.0,69.0,58.0,30.0,2022,6,1498879,参考第2表(6月),栃木県,139.7779,36.1421
19,2022-05-01,64202.0,157.0,60.0,75.0,2833.0,61.0,854.0,1837.0,7326.0,9813.0,2273.0,11855.0,7195.0,12331.0,5433.0,361.0,46.0,31.0,54.0,83.0,196.0,58.0,141.0,311.0,53.0,30.0,51.0,298.0,100.0,13.0,10.0,2.0,5.0,10.0,26.0,19.0,19.0,17.0,13.0,14.0,42.0,0.0,4.0,9.0,2.0,5.0,19.0,32.0,21.0,157.0,5720.0,56309.0,634.0,617.0,502.0,62.0,63.0,81.0,32.0,2022,5,1492188,参考第2表(5月),栃木県,139.8060,36.1550
20,2022-04-01,53851.0,64.0,36.0,114.0,1282.0,18.0,195.0,1249.0,4631.0,10351.0,1274.0,10871.0,5588.0,13030.0,3566.0,181.0,13.0,39.0,2.0,100.0,90.0,9.0,96.0,308.0,48.0,55.0,7.0,151.0,32.0,11.0,3.0,1.0,10.0,1.0,20.0,0.0,6.0,2.0,2.0,1.0,108.0,4.0,9.0,9.0,8.0,6.0,39.0,4.0,90.0,64.0,2894.0,49411.0,323.0,463.0,259.0,32.0,11.0,183.0,4.0,2022,4,1488455,参考第2表(4月),栃木県,139.7739,36.0712
21,2022-03-01,57335.0,62.0,35.0,66.0,1113.0,31.0,177.0,1702.0,5789.0,8089.0,1712.0,10185.0,6687.0,14572.0,4852.0,353.0,26.0,46.0,10.0,132.0,258.0,36.0,210.0,362.0,23.0,29.0,33.0,243.0,149.0,26.0,10.0,0.0,3.0,18.0,70.0,24.0,0.0,12.0,3.0,2.0,54.0,3.0,5.0,27.0,14.0,2.0,3.0,31.0,46.0,62.0,3124.0,52018.0,683.0,641.0,490.0,115.0,17.0,108.0,31.0,2022,3,1593741,参考第2表(3月),栃木県,139.7440,36.0283
22,2022-02-01,24851.0,38.0,14.0,54.0,366.0,12.0,53.0,662.0,2302.0,4112.0,567.0,4643.0,2747.0,6477.0,2082.0,94.0,2.0,0.0,0.0,104.0,80.0,12.0,65.0,71.0,0.0,10.0,30.0,103.0,19.0,4.0,2.0,0.0,6.0,9.0,20.0,0.0,0.0,5.0,12.0,3.0,47.0,2.0,2.0,0.0,4.0,0.0,5.0,11.0,0.0,38.0,1161.0,23034.0,176.0,148.0,168.0,35.0,20.0,60.0,11.0,2022,2,1479844,参考第2表(2月),栃木県,139.7614,36.0247
23,2022-01-01,47465.0,118.0,32.0,59.0,677.0,28.0,153.0,1633.0,4878.0,7717.0,1392.0,9580.0,4247.0,12653.0,2851.0,174.0,9.0,8.0,5.0,96.0,134.0,20.0,81.0,193.0,9.0,28.0,43.0,234.0,55.0,6.0,9.0,0.0,0.0,16.0,11.0,10.0,35.0,12.0,37.0,0.0,48.0,81.0,4.0,6.0,0.0,2.0,4.0,8.0,55.0,118.0,2582.0,43414.0,325.0,308.0,375.0,37.0,84.0,145.0,8.0,2022,1,1473828,参考第2表(1月),栃木県,139.7524,36.0640
24,2021-12-01,69992.0,88.0,49.0,60.0,1497.0,37.0,236.0,1992.0,5724.0,25278.0,1273.0,9742.0,5626.0,12673.0,3729.0,263.0,12.0,5.0,3.0,225.0,183.0,16.0,160.0,277.0,33.0,40.0,87.0,167.0,116.0,18.0,5.0,12.0,0.0,4.0,178.0,10.0,3.0,6.0,13.0,4.0,57.0,4.0,2.0,7.0,7.0,2.0,0.0,8.0,61.0,88.0,3871.0,64270.0,463.0,489.0,433.0,204.0,26.0,79.0,8.0,2021,12,1465508,参考第2表(12月),栃木県,139.8003,36.2103
25,2021-11-01,96578.0,245.0,55.0,123.0,1788.0,61.0,389.0,2306.0,9005.0,21257.0,1929.0,14389.0,8123.0,22921.0,6564.0,386.0,56.0,113.0,31.0,446.0,435.0,52.0,1216.0,481.0,130.0,105.0,127.0,513.0,267.0,60.0,13.0,4.0,5.0,37.0,85.0,21.0,19.0,18.0,84.0,7.0,125.0,7.0,22.0,84.0,11.0,19.0,9.0,46.0,66.0,245.0,4722.0,84634.0,990.0,1910.0,1085.0,152.0,128.0,277.0,46.0,2021,11,1461319,参考第2表(11月),栃木県,139.7084,36.0799
26,2021-10-01,52892.0,56.0,41.0,41.0,1674.0,32.0,118.0,1853.0,4563.0,9631.0,1560.0,9205.0,5634.0,12717.0,4205.0,203.0,37.0,37.0,11.0,108.0,107.0,32.0,220.0,169.0,33.0,38.0,50.0,154.0,108.0,24.0,15.0,2.0,10.0,27.0,12.0,4.0,0.0,4.0,12.0,0.0,56.0,10.0,2.0,10.0,1.0,0.0,8.0,46.0,12.0,56.0,3759.0,47623.0,384.0,465.0,389.0,55.0,16.0,87.0,46.0,2021,10,1446517,参考第2表(10月),栃木県,139.7774,36.0896
27,2021-09-01,44000.0,78.0,23.0,38.0,450.0,40.0,81.0,811.0,3063.0,5444.0,952.0,7204.0,4314.0,16038.0,3873.0,98.0,23.0,28.0,16.0,63.0,74.0,39.0,121.0,224.0,17.0,58.0,34.0,278.0,75.0,39.0,10.0,4.0,0.0,2.0,23.0,13.0,12.0,0.0,4.0,0.0,49.0,0.0,5.0,27.0,3.0,0.0,14.0,27.0,38.0,78.0,1443.0,40951.0,223.0,417.0,494.0,42.0,16.0,98.0,27.0,2021,9,1443179,参考第2表(9月),栃木県,139.6991,35.9277
