,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,39304.0,76.0,20.0,13.0,29.0,23.0,21.0,33.0,62.0,81.0,63.0,420.0,368.0,1947.0,721.0,38.0,14.0,24.0,11.0,28.0,61.0,70.0,143.0,325.0,73.0,609.0,229.0,628.0,306.0,124.0,22.0,22.0,25.0,88.0,662.0,402.0,29.0,45.0,58.0,42.0,4849.0,550.0,735.0,6169.0,841.0,1023.0,1420.0,402.0,9815.0,76.0,139.0,3690.0,137.0,622.0,1918.0,1199.0,174.0,15587.0,402.0,2023,12,1725251,参考第2表(12月),熊本県,132.7516,33.6108
1,2023-11-01,41945.0,284.0,10.0,16.0,190.0,14.0,28.0,516.0,97.0,71.0,64.0,454.0,504.0,1965.0,1478.0,25.0,15.0,19.0,14.0,40.0,92.0,390.0,913.0,682.0,65.0,467.0,463.0,764.0,338.0,96.0,24.0,14.0,84.0,91.0,319.0,739.0,44.0,51.0,88.0,33.0,6642.0,809.0,1153.0,6247.0,1225.0,1268.0,3074.0,777.0,8572.0,284.0,774.0,4673.0,151.0,2064.0,2152.0,1247.0,216.0,20418.0,777.0,2023,11,810002999,参考第2表(11月),熊本県,132.9838,33.6655
2,2023-10-01,38116.0,280.0,37.0,40.0,81.0,16.0,16.0,272.0,146.0,47.0,130.0,549.0,562.0,2580.0,961.0,66.0,34.0,60.0,38.0,48.0,78.0,135.0,217.0,534.0,134.0,78.0,216.0,686.0,548.0,257.0,21.0,20.0,68.0,170.0,428.0,494.0,65.0,64.0,131.0,63.0,6229.0,691.0,1024.0,5829.0,1007.0,1416.0,1429.0,345.0,6722.0,280.0,462.0,5023.0,238.0,1058.0,1806.0,1180.0,323.0,17625.0,345.0,2023,10,810003002,参考第2表(10月),熊本県,133.1342,33.8445
3,2023-09-01,44906.0,157.0,30.0,16.0,81.0,24.0,16.0,21.0,171.0,95.0,46.0,522.0,651.0,3205.0,1246.0,57.0,20.0,62.0,34.0,35.0,108.0,96.0,227.0,620.0,87.0,112.0,246.0,1831.0,635.0,176.0,27.0,23.0,24.0,142.0,357.0,492.0,15.0,85.0,120.0,33.0,7130.0,912.0,1114.0,7327.0,1152.0,1162.0,2369.0,261.0,9188.0,157.0,188.0,5971.0,247.0,1064.0,3027.0,1038.0,253.0,21166.0,261.0,2023,9,810003005,参考第2表(9月),熊本県,133.0606,33.7617
4,2023-08-01,58744.0,140.0,3.0,12.0,72.0,3.0,24.0,17.0,199.0,107.0,68.0,701.0,739.0,4266.0,1702.0,50.0,23.0,30.0,44.0,33.0,72.0,127.0,258.0,954.0,207.0,150.0,404.0,1375.0,802.0,144.0,62.0,43.0,47.0,195.0,672.0,1075.0,48.0,88.0,223.0,59.0,12068.0,1045.0,1601.0,10362.0,1765.0,1855.0,3124.0,159.0,9494.0,140.0,131.0,7815.0,175.0,1590.0,2937.0,2032.0,418.0,31820.0,159.0,2023,8,810003007,参考第2表(8月),熊本県,132.7712,33.7036
5,2023-07-01,34069.0,214.0,16.0,28.0,38.0,4.0,6.0,32.0,79.0,47.0,65.0,390.0,389.0,2428.0,820.0,24.0,10.0,30.0,19.0,15.0,45.0,70.0,195.0,704.0,80.0,87.0,181.0,774.0,421.0,269.0,19.0,13.0,24.0,114.0,226.0,303.0,48.0,44.0,48.0,31.0,5829.0,434.0,723.0,6004.0,903.0,744.0,978.0,117.0,7531.0,214.0,124.0,4233.0,109.0,1068.0,1751.0,680.0,171.0,15615.0,117.0,2023,7,810003009,参考第2表(7月),熊本県,133.0542,33.8515
6,2023-06-01,29937.0,132.0,6.0,20.0,38.0,9.0,18.0,40.0,83.0,48.0,33.0,379.0,407.0,2199.0,931.0,40.0,15.0,49.0,13.0,29.0,69.0,69.0,151.0,767.0,86.0,87.0,148.0,940.0,314.0,58.0,20.0,13.0,58.0,96.0,177.0,238.0,40.0,21.0,63.0,13.0,4561.0,339.0,662.0,5889.0,611.0,617.0,869.0,131.0,6270.0,132.0,131.0,4109.0,173.0,1086.0,1567.0,582.0,137.0,13548.0,131.0,2023,6,810003011,参考第2表(6月),熊本県,133.2141,33.8576
7,2023-05-01,40823.0,349.0,5.0,13.0,86.0,17.0,58.0,45.0,176.0,62.0,93.0,567.0,483.0,2542.0,999.0,46.0,43.0,41.0,33.0,66.0,108.0,473.0,267.0,713.0,112.0,243.0,251.0,857.0,467.0,50.0,44.0,23.0,71.0,83.0,523.0,497.0,48.0,61.0,86.0,54.0,8101.0,938.0,801.0,7392.0,1050.0,975.0,1814.0,111.0,5869.0,349.0,224.0,4988.0,238.0,1598.0,1912.0,1197.0,249.0,21071.0,111.0,2023,5,810003013,参考第2表(5月),熊本県,132.9135,33.8494
8,2023-04-01,38120.0,227.0,10.0,13.0,49.0,10.0,10.0,11.0,90.0,68.0,32.0,424.0,573.0,2364.0,885.0,41.0,47.0,31.0,28.0,35.0,63.0,68.0,174.0,473.0,100.0,53.0,231.0,730.0,538.0,90.0,14.0,29.0,20.0,110.0,296.0,401.0,17.0,309.0,63.0,33.0,6349.0,744.0,856.0,7149.0,894.0,1058.0,1317.0,110.0,9647.0,227.0,103.0,4471.0,182.0,843.0,1656.0,856.0,422.0,18367.0,110.0,2023,4,1616669,参考第2表(4月),熊本県,132.8353,33.7594
9,2023-03-01,57340.0,312.0,29.0,22.0,94.0,40.0,35.0,27.0,237.0,99.0,64.0,836.0,765.0,3514.0,1642.0,91.0,52.0,77.0,76.0,69.0,100.0,223.0,299.0,914.0,146.0,199.0,371.0,1312.0,1043.0,566.0,109.0,26.0,42.0,185.0,911.0,875.0,39.0,122.0,125.0,58.0,11780.0,898.0,1460.0,9793.0,1347.0,1615.0,2180.0,325.0,9873.0,312.0,247.0,7226.0,320.0,1658.0,3600.0,2039.0,344.0,29073.0,325.0,2023,3,1611685,参考第2表(3月),熊本県,132.9008,33.8057
