,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,54919.0,220.0,32.0,46.0,183.0,33.0,33.0,153.0,372.0,238.0,364.0,1568.0,1379.0,11681.0,2530.0,434.0,1344.0,5779.0,916.0,144.0,511.0,527.0,453.0,2317.0,356.0,464.0,814.0,2542.0,1128.0,269.0,72.0,23.0,10.0,158.0,298.0,50.0,64.0,91.0,109.0,37.0,465.0,61.0,39.0,83.0,54.0,69.0,45.0,162.0,11598.0,220.0,480.0,18276.0,8068.0,4569.0,5289.0,539.0,301.0,816.0,162.0,2024,12,1867106,参考第2表(12月),石川県,137.8478,35.6883
1,2024-11-01,77751.0,625.0,123.0,92.0,452.0,80.0,145.0,247.0,678.0,386.0,647.0,2017.0,1699.0,14873.0,2898.0,712.0,774.0,3886.0,616.0,173.0,783.0,683.0,870.0,3471.0,586.0,526.0,984.0,3040.0,1516.0,268.0,174.0,45.0,55.0,445.0,396.0,107.0,65.0,101.0,160.0,58.0,1088.0,67.0,82.0,174.0,69.0,114.0,155.0,279.0,20176.0,625.0,1139.0,23371.0,6155.0,6226.0,6508.0,1048.0,384.0,1749.0,279.0,2024,11,1860296,参考第2表(11月),石川県,137.8623,35.6353
2,2024-10-01,68957.0,815.0,96.0,91.0,419.0,141.0,104.0,199.0,432.0,286.0,392.0,1711.0,1437.0,11393.0,2619.0,633.0,833.0,3347.0,617.0,221.0,675.0,874.0,916.0,2930.0,453.0,582.0,981.0,2884.0,1163.0,311.0,106.0,46.0,41.0,365.0,371.0,171.0,120.0,117.0,130.0,54.0,715.0,67.0,46.0,167.0,90.0,79.0,235.0,693.0,22433.0,815.0,1050.0,18491.0,5488.0,5790.0,6027.0,994.0,421.0,1399.0,693.0,2024,10,1853929,参考第2表(10月),石川県,137.6587,35.5703
3,2024-09-01,56086.0,368.0,105.0,73.0,270.0,95.0,112.0,149.0,336.0,335.0,420.0,1941.0,1356.0,11511.0,2625.0,642.0,762.0,3365.0,643.0,154.0,666.0,772.0,582.0,3665.0,395.0,488.0,964.0,2532.0,1435.0,289.0,163.0,37.0,46.0,281.0,295.0,255.0,61.0,179.0,89.0,59.0,645.0,39.0,78.0,126.0,45.0,49.0,123.0,855.0,11961.0,368.0,804.0,18678.0,5435.0,6057.0,5871.0,914.0,388.0,1105.0,855.0,2024,9,1845514,参考第2表(9月),石川県,137.6164,35.4597
4,2024-08-01,74153.0,348.0,69.0,178.0,298.0,116.0,164.0,346.0,489.0,534.0,709.0,2863.0,2072.0,13034.0,3876.0,1028.0,1417.0,4471.0,907.0,263.0,1080.0,1358.0,993.0,4533.0,632.0,771.0,1350.0,3831.0,1885.0,664.0,183.0,65.0,93.0,236.0,378.0,121.0,92.0,141.0,90.0,66.0,421.0,89.0,46.0,91.0,54.0,44.0,47.0,739.0,10695.0,348.0,1171.0,23840.0,7996.0,8423.0,8684.0,893.0,389.0,792.0,739.0,2024,8,1840259,参考第2表(8月),石川県,137.7620,35.5595
5,2024-07-01,56479.0,324.0,65.0,77.0,168.0,101.0,107.0,164.0,443.0,294.0,451.0,1653.0,1154.0,10365.0,2381.0,613.0,1014.0,4754.0,737.0,157.0,674.0,1195.0,529.0,3271.0,518.0,576.0,824.0,2612.0,1399.0,386.0,132.0,54.0,42.0,166.0,275.0,195.0,91.0,78.0,90.0,32.0,566.0,68.0,74.0,209.0,87.0,60.0,106.0,823.0,10660.0,324.0,682.0,16898.0,7055.0,6250.0,5929.0,732.0,291.0,1170.0,823.0,2024,7,1765039,参考第2表(7月),石川県,137.4918,35.4888
6,2024-06-01,54781.0,363.0,119.0,169.0,187.0,96.0,79.0,174.0,364.0,238.0,662.0,1473.0,2034.0,8937.0,2205.0,609.0,880.0,4424.0,632.0,174.0,629.0,818.0,675.0,2862.0,457.0,466.0,800.0,2314.0,1008.0,379.0,123.0,61.0,37.0,289.0,237.0,184.0,168.0,101.0,79.0,31.0,733.0,92.0,9.0,97.0,78.0,86.0,60.0,133.0,10914.0,363.0,824.0,16087.0,6542.0,5444.0,5090.0,808.0,379.0,1155.0,133.0,2024,6,1760851,参考第2表(6月),石川県,137.7387,35.6883
7,2024-05-01,65750.0,558.0,31.0,196.0,212.0,110.0,115.0,171.0,403.0,264.0,392.0,1570.0,1302.0,9602.0,2271.0,741.0,941.0,4023.0,568.0,129.0,684.0,668.0,693.0,2504.0,434.0,443.0,882.0,2636.0,1396.0,300.0,215.0,55.0,31.0,237.0,288.0,117.0,39.0,227.0,76.0,69.0,547.0,56.0,72.0,191.0,27.0,40.0,37.0,205.0,18744.0,558.0,835.0,15933.0,6389.0,4867.0,5872.0,728.0,411.0,970.0,205.0,2024,5,1757460,参考第2表(5月),石川県,137.7448,35.7007
8,2024-04-01,68793.0,587.0,81.0,149.0,234.0,100.0,112.0,173.0,377.0,313.0,444.0,1611.0,1250.0,10000.0,2612.0,819.0,1173.0,4783.0,878.0,144.0,736.0,781.0,698.0,2966.0,484.0,548.0,1292.0,2797.0,1381.0,368.0,140.0,30.0,37.0,163.0,264.0,72.0,95.0,106.0,70.0,49.0,636.0,36.0,69.0,118.0,44.0,57.0,58.0,263.0,22963.0,587.0,849.0,16751.0,7511.0,5807.0,6526.0,566.0,320.0,1018.0,263.0,2024,4,1750677,参考第2表(4月),石川県,137.7106,35.7102
9,2024-03-01,77531.0,506.0,57.0,152.0,327.0,100.0,149.0,181.0,514.0,322.0,542.0,1855.0,1478.0,12466.0,3452.0,971.0,2091.0,8626.0,1575.0,193.0,932.0,1355.0,850.0,3682.0,641.0,1060.0,1887.0,4216.0,2062.0,535.0,385.0,59.0,31.0,337.0,439.0,151.0,88.0,528.0,130.0,25.0,603.0,45.0,82.0,131.0,85.0,77.0,74.0,414.0,13199.0,506.0,966.0,20822.0,12620.0,8103.0,10145.0,1017.0,771.0,1097.0,414.0,2024,3,1745072,参考第2表(3月),石川県,137.4896,35.6652
