,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,132769.0,2167.0,118.0,86.0,398.0,67.0,80.0,142.0,431.0,291.0,220.0,2486.0,1790.0,17323.0,4017.0,174.0,130.0,233.0,100.0,99.0,242.0,286.0,1006.0,2217.0,379.0,288.0,867.0,3668.0,1900.0,352.0,127.0,93.0,268.0,659.0,2123.0,1507.0,179.0,266.0,404.0,117.0,20765.0,1233.0,2149.0,1814.0,2095.0,1625.0,1381.0,755.0,52338.0,2167.0,891.0,26657.0,779.0,3988.0,7202.0,4650.0,966.0,31062.0,755.0,2024,12,1867106,参考第2表(12月),福岡県,134.9364,34.6927
1,2024-11-01,128740.0,1431.0,127.0,101.0,275.0,88.0,144.0,130.0,452.0,571.0,274.0,2529.0,2146.0,19134.0,4301.0,239.0,148.0,429.0,122.0,166.0,471.0,490.0,1383.0,2437.0,416.0,263.0,975.0,4679.0,2024.0,486.0,165.0,123.0,295.0,807.0,1712.0,1656.0,195.0,250.0,467.0,170.0,17628.0,1241.0,1810.0,2103.0,1916.0,1525.0,2035.0,747.0,46482.0,1431.0,865.0,29573.0,1287.0,4848.0,8592.0,4593.0,1082.0,28258.0,747.0,2024,11,1860296,参考第2表(11月),福岡県,135.2651,34.6979
2,2024-10-01,131143.0,1506.0,268.0,176.0,620.0,236.0,238.0,525.0,613.0,388.0,253.0,2201.0,2427.0,17320.0,4369.0,258.0,210.0,238.0,272.0,218.0,326.0,404.0,1839.0,2909.0,1060.0,272.0,838.0,3839.0,2111.0,334.0,124.0,106.0,370.0,690.0,2092.0,1226.0,151.0,411.0,276.0,207.0,19292.0,865.0,1524.0,1937.0,1738.0,1436.0,1904.0,654.0,48725.0,1506.0,2063.0,27789.0,1032.0,6484.0,7518.0,4484.0,1045.0,28696.0,654.0,2024,10,1853929,参考第2表(10月),福岡県,135.2694,34.7600
3,2024-09-01,120280.0,1193.0,138.0,40.0,345.0,32.0,98.0,229.0,376.0,226.0,290.0,2302.0,1884.0,17292.0,3691.0,224.0,95.0,196.0,253.0,145.0,249.0,678.0,735.0,2120.0,307.0,403.0,1138.0,4425.0,1903.0,332.0,160.0,96.0,581.0,509.0,1890.0,1676.0,203.0,216.0,767.0,136.0,16686.0,1132.0,1932.0,1939.0,1635.0,1788.0,1597.0,680.0,44508.0,1193.0,882.0,26206.0,764.0,4093.0,8361.0,4752.0,1322.0,26709.0,680.0,2024,9,1845514,参考第2表(9月),福岡県,135.0931,34.6471
4,2024-08-01,141883.0,794.0,111.0,74.0,695.0,50.0,118.0,124.0,435.0,262.0,243.0,2265.0,2479.0,17307.0,4689.0,196.0,253.0,327.0,132.0,155.0,298.0,408.0,881.0,2777.0,415.0,423.0,1124.0,4821.0,2871.0,378.0,342.0,113.0,384.0,1002.0,2520.0,2082.0,257.0,528.0,619.0,216.0,22652.0,1803.0,2383.0,3215.0,2460.0,1666.0,1739.0,1133.0,46896.0,794.0,1172.0,27835.0,1074.0,4613.0,9959.0,6101.0,1620.0,35918.0,1133.0,2024,8,1840259,参考第2表(8月),福岡県,134.6435,34.4670
5,2024-07-01,130949.0,886.0,93.0,130.0,602.0,111.0,244.0,103.0,414.0,338.0,196.0,2218.0,2546.0,18729.0,4059.0,302.0,154.0,311.0,162.0,203.0,411.0,360.0,679.0,2081.0,317.0,412.0,1210.0,3837.0,1855.0,438.0,147.0,128.0,271.0,620.0,1993.0,1387.0,170.0,350.0,466.0,139.0,16899.0,1300.0,1874.0,2090.0,2005.0,1714.0,1834.0,694.0,51572.0,886.0,1283.0,28703.0,1178.0,3599.0,7899.0,4399.0,1125.0,27716.0,694.0,2024,7,1765039,参考第2表(7月),福岡県,135.2168,34.6522
6,2024-06-01,120631.0,1359.0,96.0,62.0,365.0,47.0,144.0,150.0,440.0,489.0,161.0,1273.0,1923.0,18642.0,2941.0,191.0,95.0,189.0,314.0,87.0,270.0,335.0,532.0,1863.0,266.0,302.0,893.0,3660.0,1908.0,221.0,123.0,70.0,199.0,785.0,1488.0,1466.0,152.0,191.0,290.0,96.0,17449.0,972.0,1411.0,1735.0,1719.0,1541.0,1213.0,779.0,47626.0,1359.0,864.0,25956.0,745.0,3310.0,7107.0,4008.0,729.0,26040.0,779.0,2024,6,1760851,参考第2表(6月),福岡県,135.1449,34.6849
7,2024-05-01,128816.0,1257.0,73.0,100.0,573.0,115.0,210.0,201.0,510.0,518.0,388.0,2557.0,1985.0,17182.0,4297.0,199.0,104.0,448.0,99.0,133.0,217.0,284.0,576.0,2368.0,324.0,292.0,870.0,4677.0,2094.0,505.0,154.0,172.0,525.0,1210.0,1860.0,1406.0,125.0,250.0,314.0,185.0,20660.0,1047.0,1545.0,1506.0,2135.0,1568.0,3485.0,623.0,46120.0,1257.0,1272.0,27570.0,968.0,3651.0,8592.0,5173.0,874.0,31946.0,623.0,2024,5,1757460,参考第2表(5月),福岡県,134.9172,34.5998
8,2024-04-01,128274.0,1643.0,79.0,50.0,353.0,35.0,107.0,87.0,451.0,401.0,186.0,1537.0,2301.0,15969.0,3591.0,120.0,144.0,171.0,192.0,105.0,262.0,512.0,531.0,2013.0,261.0,290.0,948.0,3379.0,1588.0,563.0,118.0,127.0,536.0,495.0,1491.0,1138.0,156.0,211.0,327.0,111.0,26524.0,1044.0,1274.0,1470.0,1610.0,1195.0,1414.0,796.0,49821.0,1643.0,711.0,24541.0,697.0,3509.0,6886.0,3787.0,805.0,34531.0,796.0,2024,4,1750677,参考第2表(4月),福岡県,134.5582,34.5781
9,2024-03-01,119541.0,1512.0,527.0,62.0,474.0,64.0,146.0,114.0,590.0,357.0,242.0,2438.0,2457.0,16062.0,4251.0,362.0,105.0,744.0,118.0,189.0,443.0,389.0,507.0,2802.0,541.0,557.0,835.0,4554.0,2345.0,313.0,170.0,110.0,228.0,660.0,2315.0,1474.0,287.0,284.0,366.0,112.0,15078.0,1292.0,1696.0,1576.0,1614.0,1444.0,1257.0,952.0,44029.0,1512.0,1387.0,26586.0,1654.0,4357.0,8774.0,4787.0,1049.0,23957.0,952.0,2024,3,1745072,参考第2表(3月),福岡県,135.3623,34.7827
