,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,107609.0,114.0,243.0,687.0,7804.0,411.0,1557.0,25205.0,6554.0,3477.0,2235.0,8260.0,8053.0,19537.0,7028.0,2690.0,125.0,61.0,7.0,178.0,415.0,56.0,416.0,493.0,27.0,23.0,128.0,726.0,191.0,19.0,13.0,1.0,80.0,42.0,423.0,23.0,55.0,18.0,27.0,19.0,287.0,9.0,13.0,29.0,25.0,18.0,20.0,62.0,7429.0,114.0,35907.0,55322.0,3291.0,999.0,1100.0,569.0,119.0,401.0,62.0,2024,12,1867106,参考第2表(12月),福島県,139.8790,36.6388
1,2024-11-01,131274.0,869.0,299.0,1057.0,9480.0,601.0,1971.0,21759.0,7016.0,3421.0,1947.0,13118.0,12035.0,23747.0,9410.0,2863.0,181.0,345.0,126.0,336.0,605.0,75.0,898.0,995.0,180.0,131.0,619.0,1067.0,516.0,84.0,16.0,26.0,113.0,190.0,93.0,27.0,87.0,47.0,137.0,44.0,828.0,37.0,29.0,28.0,24.0,271.0,26.0,386.0,8359.0,869.0,35167.0,71030.0,3994.0,2274.0,2433.0,449.0,315.0,1243.0,386.0,2024,11,1860296,参考第2表(11月),福島県,139.6834,36.4758
2,2024-10-01,133905.0,785.0,623.0,903.0,9246.0,539.0,2330.0,17008.0,7382.0,4419.0,2133.0,10318.0,11973.0,25676.0,10292.0,3373.0,246.0,230.0,120.0,394.0,840.0,422.0,961.0,1548.0,216.0,183.0,386.0,2478.0,753.0,139.0,53.0,18.0,204.0,221.0,1298.0,297.0,201.0,248.0,33.0,14.0,589.0,20.0,35.0,72.0,34.0,125.0,26.0,197.0,7914.0,785.0,30649.0,72587.0,4689.0,3267.0,3992.0,2038.0,496.0,901.0,197.0,2024,10,1853929,参考第2表(10月),福島県,139.5120,36.3908
3,2024-09-01,118935.0,562.0,304.0,801.0,11422.0,502.0,2707.0,17222.0,6379.0,3884.0,2226.0,12909.0,8950.0,22765.0,9580.0,2413.0,228.0,227.0,41.0,261.0,606.0,189.0,761.0,509.0,64.0,96.0,444.0,1377.0,382.0,143.0,31.0,5.0,7.0,59.0,221.0,18.0,13.0,111.0,42.0,12.0,321.0,12.0,12.0,8.0,15.0,283.0,53.0,46.0,4926.0,562.0,32958.0,66954.0,3474.0,1564.0,2473.0,310.0,178.0,704.0,46.0,2024,9,1845514,参考第2表(9月),福島県,139.7762,36.5224
4,2024-08-01,181778.0,445.0,694.0,1112.0,12116.0,572.0,2516.0,23283.0,11434.0,7260.0,3079.0,19421.0,20431.0,40035.0,17037.0,3769.0,247.0,313.0,103.0,263.0,771.0,215.0,1251.0,1246.0,120.0,98.0,278.0,1017.0,451.0,73.0,20.0,7.0,4.0,93.0,163.0,13.0,84.0,23.0,30.0,16.0,286.0,13.0,14.0,32.0,8.0,36.0,62.0,82.0,4499.0,445.0,40293.0,118960.0,5100.0,2935.0,1937.0,280.0,153.0,451.0,82.0,2024,8,1840259,参考第2表(8月),福島県,139.8276,36.3706
5,2024-07-01,127343.0,316.0,593.0,894.0,9807.0,482.0,1795.0,19306.0,7190.0,5636.0,3390.0,12470.0,10733.0,25415.0,9046.0,3834.0,131.0,135.0,56.0,275.0,406.0,145.0,623.0,951.0,66.0,169.0,157.0,1151.0,439.0,56.0,16.0,0.0,20.0,60.0,161.0,24.0,55.0,75.0,25.0,24.0,163.0,5.0,21.0,26.0,74.0,59.0,49.0,46.0,5821.0,316.0,32877.0,74155.0,4506.0,1841.0,1988.0,265.0,179.0,397.0,46.0,2024,7,1765039,参考第2表(7月),福島県,139.8074,36.5100
6,2024-06-01,118221.0,482.0,332.0,688.0,8115.0,3284.0,1856.0,18677.0,7797.0,5602.0,829.0,9906.0,9523.0,24194.0,8374.0,4926.0,239.0,140.0,45.0,241.0,484.0,175.0,478.0,690.0,81.0,132.0,105.0,1177.0,195.0,57.0,44.0,16.0,14.0,58.0,331.0,71.0,42.0,218.0,95.0,28.0,320.0,11.0,2.0,84.0,5.0,49.0,204.0,44.0,3217.0,482.0,32952.0,66466.0,5789.0,1469.0,1710.0,490.0,383.0,675.0,44.0,2024,6,1760851,参考第2表(6月),福島県,139.7721,36.5991
7,2024-05-01,100427.0,838.0,354.0,576.0,6638.0,382.0,1423.0,14285.0,5457.0,3011.0,1159.0,10203.0,10844.0,19805.0,7703.0,2165.0,89.0,202.0,74.0,211.0,787.0,84.0,784.0,1398.0,122.0,63.0,175.0,1527.0,422.0,63.0,29.0,4.0,2.0,65.0,443.0,16.0,54.0,105.0,20.0,50.0,213.0,8.0,19.0,37.0,7.0,7.0,139.0,196.0,4164.0,838.0,23658.0,58393.0,3243.0,2462.0,2279.0,530.0,229.0,430.0,196.0,2024,5,1757460,参考第2表(5月),福島県,139.6764,36.4053
8,2024-04-01,97100.0,590.0,215.0,430.0,6605.0,332.0,1245.0,14395.0,5331.0,2536.0,1610.0,7945.0,8301.0,23140.0,6952.0,2048.0,87.0,124.0,48.0,261.0,624.0,117.0,749.0,709.0,169.0,88.0,127.0,1072.0,314.0,43.0,53.0,4.0,21.0,30.0,143.0,22.0,1.0,37.0,15.0,7.0,141.0,34.0,76.0,22.0,18.0,20.0,39.0,61.0,5594.0,590.0,23222.0,56076.0,2883.0,1792.0,1697.0,220.0,60.0,350.0,61.0,2024,4,1750677,参考第2表(4月),福島県,139.7720,36.4358
9,2024-03-01,112785.0,298.0,349.0,854.0,8722.0,382.0,1999.0,19449.0,6305.0,4406.0,973.0,8968.0,9529.0,20801.0,10421.0,2293.0,98.0,107.0,26.0,355.0,1104.0,144.0,472.0,660.0,80.0,98.0,125.0,623.0,250.0,37.0,23.0,15.0,6.0,143.0,151.0,14.0,5.0,66.0,146.0,10.0,247.0,20.0,26.0,23.0,9.0,72.0,29.0,108.0,8875.0,298.0,31755.0,61758.0,3602.0,1382.0,1156.0,329.0,227.0,426.0,108.0,2024,3,1745072,参考第2表(3月),福島県,139.8405,36.5307
10,2024-02-01,108799.0,265.0,156.0,604.0,5140.0,288.0,1291.0,17568.0,7405.0,2979.0,688.0,6720.0,6570.0,14718.0,5590.0,1449.0,38.0,50.0,19.0,219.0,474.0,50.0,357.0,356.0,299.0,134.0,133.0,647.0,229.0,29.0,8.0,18.0,3.0,19.0,34.0,5.0,28.0,21.0,56.0,15.0,107.0,47.0,21.0,20.0,63.0,11.0,8.0,47.0,13983.0,265.0,25047.0,44889.0,2011.0,1081.0,1180.0,79.0,120.0,277.0,47.0,2024,2,1740006,参考第2表(2月),福島県,139.8967,36.5792
11,2024-01-01,115338.0,168.0,256.0,478.0,7408.0,237.0,1123.0,18410.0,12006.0,3858.0,822.0,8370.0,8112.0,20834.0,8202.0,2553.0,1027.0,524.0,140.0,104.0,171.0,56.0,221.0,311.0,33.0,67.0,544.0,532.0,98.0,35.0,48.0,8.0,7.0,40.0,84.0,5.0,7.0,15.0,22.0,7.0,422.0,13.0,35.0,14.0,4.0,8.0,360.0,211.0,12457.0,168.0,27912.0,62308.0,4275.0,761.0,1324.0,144.0,51.0,856.0,211.0,2024,1,1732631,参考第2表(1月),福島県,139.7999,36.4739
12,2023-12-01,101047.0,184.0,199.0,498.0,6152.0,180.0,1184.0,25649.0,6297.0,3575.0,1066.0,6741.0,8116.0,22302.0,6327.0,1641.0,36.0,107.0,10.0,246.0,415.0,48.0,402.0,337.0,78.0,23.0,96.0,530.0,124.0,38.0,17.0,31.0,4.0,49.0,492.0,6.0,63.0,35.0,18.0,23.0,86.0,6.0,4.0,4.0,6.0,0.0,722.0,38.0,5998.0,184.0,33862.0,54670.0,2199.0,875.0,828.0,582.0,139.0,828.0,38.0,2023,12,1725251,参考第2表(12月),福島県,139.8514,36.5604
13,2023-11-01,113607.0,665.0,425.0,913.0,7682.0,417.0,1752.0,18957.0,4945.0,2162.0,1737.0,9449.0,8908.0,24505.0,9574.0,3175.0,144.0,200.0,45.0,420.0,1163.0,342.0,1237.0,1319.0,443.0,334.0,220.0,1778.0,332.0,61.0,27.0,16.0,13.0,50.0,304.0,40.0,38.0,47.0,60.0,10.0,386.0,95.0,11.0,35.0,18.0,275.0,150.0,226.0,6143.0,665.0,30146.0,61700.0,4682.0,3386.0,2752.0,423.0,155.0,970.0,226.0,2023,11,810002999,参考第2表(11月),福島県,139.6184,36.4378
14,2023-10-01,117964.0,693.0,453.0,726.0,6125.0,467.0,1913.0,16628.0,4574.0,2503.0,1335.0,7989.0,6362.0,24760.0,10805.0,2667.0,183.0,223.0,94.0,312.0,865.0,465.0,1261.0,1939.0,311.0,264.0,304.0,2477.0,1117.0,131.0,100.0,13.0,74.0,403.0,653.0,61.0,48.0,167.0,608.0,22.0,933.0,61.0,81.0,59.0,26.0,18.0,24.0,108.0,5662.0,693.0,26312.0,58640.0,3938.0,4070.0,4393.0,1204.0,845.0,1202.0,108.0,2023,10,810003002,参考第2表(10月),福島県,139.3792,36.3348
15,2023-09-01,107251.0,265.0,400.0,673.0,7083.0,426.0,1717.0,15321.0,4892.0,3356.0,1384.0,11383.0,10212.0,20156.0,9724.0,2314.0,238.0,99.0,57.0,233.0,572.0,91.0,625.0,749.0,261.0,95.0,196.0,1448.0,285.0,59.0,26.0,18.0,9.0,43.0,580.0,61.0,9.0,17.0,147.0,17.0,102.0,5.0,26.0,21.0,11.0,134.0,14.0,34.0,3278.0,265.0,25620.0,61340.0,3223.0,1783.0,2109.0,711.0,190.0,313.0,34.0,2023,9,810003005,参考第2表(9月),福島県,139.7245,36.4093
