,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,13843.0,88.0,3.0,5.0,84.0,17.0,39.0,268.0,5901.0,437.0,132.0,748.0,905.0,2297.0,686.0,161.0,7.0,10.0,83.0,18.0,54.0,15.0,72.0,110.0,19.0,28.0,55.0,111.0,79.0,19.0,7.0,6.0,0.0,23.0,25.0,13.0,5.0,16.0,41.0,10.0,60.0,4.0,1.0,11.0,15.0,13.0,13.0,14.0,1115.0,88.0,416.0,11124.0,232.0,299.0,299.0,67.0,72.0,117.0,14.0,2024,12,1867106,参考第2表(12月),茨城県,139.7474,36.1006
1,2024-11-01,14641.0,113.0,28.0,22.0,136.0,18.0,63.0,238.0,5274.0,286.0,170.0,964.0,1108.0,2116.0,615.0,28.0,10.0,42.0,32.0,64.0,43.0,43.0,131.0,234.0,10.0,29.0,67.0,166.0,78.0,17.0,10.0,5.0,8.0,22.0,50.0,58.0,8.0,11.0,4.0,11.0,57.0,6.0,21.0,12.0,6.0,25.0,22.0,32.0,2128.0,113.0,505.0,10597.0,123.0,450.0,367.0,143.0,34.0,149.0,32.0,2024,11,1860296,参考第2表(11月),茨城県,139.6010,36.0479
2,2024-10-01,14689.0,108.0,9.0,20.0,117.0,16.0,25.0,269.0,4425.0,438.0,171.0,847.0,889.0,2044.0,893.0,49.0,19.0,41.0,16.0,44.0,45.0,26.0,269.0,84.0,21.0,18.0,67.0,125.0,142.0,13.0,6.0,2.0,8.0,10.0,37.0,7.0,6.0,9.0,5.0,6.0,130.0,7.0,31.0,18.0,2.0,10.0,18.0,5.0,3122.0,108.0,456.0,9751.0,154.0,416.0,371.0,64.0,26.0,216.0,5.0,2024,10,1853929,参考第2表(10月),茨城県,139.5800,36.0389
3,2024-09-01,13356.0,146.0,12.0,14.0,123.0,8.0,14.0,245.0,4304.0,366.0,182.0,746.0,945.0,2044.0,644.0,44.0,4.0,26.0,7.0,15.0,43.0,20.0,84.0,114.0,6.0,19.0,52.0,109.0,120.0,23.0,9.0,0.0,11.0,18.0,20.0,10.0,7.0,4.0,6.0,4.0,81.0,2.0,12.0,9.0,5.0,7.0,14.0,30.0,2628.0,146.0,416.0,9246.0,117.0,231.0,332.0,59.0,21.0,130.0,30.0,2024,9,1845514,参考第2表(9月),茨城県,139.6724,36.0848
4,2024-08-01,15709.0,84.0,11.0,65.0,121.0,17.0,46.0,279.0,5295.0,497.0,235.0,1056.0,1181.0,2756.0,854.0,100.0,85.0,20.0,13.0,60.0,67.0,17.0,96.0,108.0,20.0,6.0,31.0,89.0,240.0,9.0,49.0,82.0,2.0,21.0,27.0,74.0,60.0,128.0,8.0,5.0,112.0,13.0,4.0,71.0,16.0,8.0,20.0,30.0,1459.0,84.0,539.0,11934.0,272.0,254.0,424.0,206.0,201.0,244.0,30.0,2024,8,1840259,参考第2表(8月),茨城県,139.4623,35.9958
5,2024-07-01,13543.0,72.0,10.0,20.0,77.0,15.0,36.0,275.0,5000.0,584.0,216.0,837.0,856.0,1839.0,580.0,55.0,1.0,7.0,9.0,67.0,71.0,13.0,85.0,91.0,26.0,9.0,75.0,361.0,65.0,9.0,30.0,3.0,3.0,4.0,49.0,2.0,10.0,7.0,7.0,5.0,67.0,4.0,5.0,4.0,2.0,10.0,19.0,22.0,1789.0,72.0,433.0,9979.0,134.0,224.0,549.0,61.0,29.0,111.0,22.0,2024,7,1765039,参考第2表(7月),茨城県,139.6446,36.0625
6,2024-06-01,12171.0,81.0,3.0,25.0,132.0,15.0,65.0,309.0,4675.0,379.0,133.0,633.0,857.0,1636.0,669.0,25.0,8.0,13.0,4.0,26.0,52.0,12.0,78.0,80.0,21.0,11.0,191.0,131.0,65.0,36.0,4.0,3.0,2.0,26.0,51.0,16.0,16.0,27.0,13.0,3.0,39.0,5.0,3.0,20.0,1.0,5.0,11.0,18.0,1543.0,81.0,549.0,9008.0,98.0,195.0,438.0,98.0,59.0,84.0,18.0,2024,6,1760851,参考第2表(6月),茨城県,139.6807,36.0928
7,2024-05-01,13846.0,64.0,8.0,16.0,88.0,17.0,33.0,238.0,5393.0,368.0,160.0,859.0,1042.0,2323.0,675.0,46.0,25.0,6.0,10.0,24.0,69.0,16.0,71.0,90.0,10.0,14.0,43.0,111.0,70.0,8.0,6.0,4.0,2.0,14.0,26.0,13.0,8.0,8.0,9.0,1.0,57.0,8.0,13.0,26.0,1.0,0.0,21.0,21.0,1711.0,64.0,400.0,10844.0,146.0,197.0,252.0,59.0,26.0,126.0,21.0,2024,5,1757460,参考第2表(5月),茨城県,139.7742,36.0599
8,2024-04-01,14597.0,74.0,10.0,18.0,105.0,20.0,53.0,299.0,5092.0,329.0,147.0,748.0,1033.0,2437.0,648.0,53.0,15.0,9.0,4.0,42.0,71.0,10.0,73.0,181.0,14.0,14.0,21.0,114.0,79.0,6.0,12.0,4.0,11.0,14.0,46.0,9.0,10.0,10.0,11.0,2.0,44.0,11.0,15.0,19.0,1.0,6.0,20.0,26.0,2607.0,74.0,505.0,10476.0,148.0,282.0,246.0,84.0,33.0,116.0,26.0,2024,4,1750677,参考第2表(4月),茨城県,139.7300,36.0612
9,2024-03-01,14870.0,259.0,53.0,128.0,181.0,31.0,190.0,256.0,5729.0,455.0,169.0,855.0,965.0,1955.0,758.0,52.0,34.0,19.0,11.0,37.0,82.0,35.0,77.0,191.0,25.0,22.0,71.0,218.0,99.0,17.0,11.0,9.0,2.0,24.0,44.0,44.0,12.0,11.0,6.0,2.0,53.0,17.0,0.0,28.0,9.0,7.0,89.0,36.0,1490.0,259.0,839.0,10923.0,187.0,339.0,438.0,123.0,31.0,203.0,36.0,2024,3,1745072,参考第2表(3月),茨城県,139.6346,36.2046
