,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,112500.0,187.0,92.0,85.0,261.0,112.0,133.0,151.0,586.0,423.0,925.0,3858.0,2667.0,23909.0,5234.0,1008.0,457.0,385.0,136.0,708.0,11422.0,447.0,1039.0,3237.0,291.0,534.0,585.0,2553.0,1170.0,245.0,103.0,20.0,17.0,153.0,167.0,32.0,42.0,37.0,61.0,48.0,196.0,28.0,41.0,631.0,24.0,49.0,27.0,73.0,29879.0,187.0,834.0,38310.0,13272.0,5150.0,5190.0,389.0,188.0,996.0,73.0,2023,12,1725251,参考第2表(12月),長野県,138.6338,35.7926
1,2023-11-01,98681.0,317.0,70.0,97.0,319.0,69.0,185.0,223.0,785.0,545.0,903.0,4176.0,3537.0,23536.0,5459.0,1326.0,646.0,787.0,245.0,681.0,9968.0,642.0,1295.0,3223.0,344.0,331.0,493.0,2839.0,864.0,637.0,105.0,38.0,12.0,133.0,142.0,55.0,63.0,39.0,60.0,11.0,448.0,18.0,24.0,83.0,54.0,49.0,84.0,68.0,14777.0,317.0,963.0,39622.0,12727.0,5749.0,5269.0,380.0,173.0,760.0,68.0,2023,11,810002999,参考第2表(11月),長野県,138.6858,35.8157
2,2023-10-01,125956.0,527.0,294.0,76.0,434.0,79.0,217.0,257.0,800.0,667.0,816.0,4873.0,3690.0,28087.0,7330.0,1243.0,716.0,488.0,326.0,571.0,12517.0,546.0,2276.0,5076.0,473.0,649.0,1661.0,2128.0,844.0,271.0,183.0,28.0,21.0,245.0,303.0,62.0,45.0,104.0,518.0,20.0,648.0,71.0,47.0,77.0,44.0,36.0,114.0,57.0,15761.0,527.0,1357.0,46834.0,14964.0,8697.0,5736.0,659.0,687.0,1037.0,57.0,2023,10,810003002,参考第2表(10月),長野県,138.6336,35.8099
3,2023-09-01,107028.0,501.0,90.0,86.0,541.0,104.0,245.0,296.0,949.0,682.0,1122.0,5310.0,3774.0,29946.0,6595.0,1528.0,683.0,748.0,225.0,602.0,7427.0,691.0,1476.0,3561.0,532.0,425.0,650.0,3098.0,1204.0,275.0,145.0,15.0,26.0,170.0,204.0,111.0,292.0,93.0,460.0,66.0,749.0,38.0,97.0,76.0,41.0,19.0,41.0,108.0,7582.0,501.0,1362.0,48980.0,10386.0,6485.0,5797.0,526.0,911.0,1061.0,108.0,2023,9,810003005,参考第2表(9月),長野県,138.6997,35.7638
4,2023-08-01,162469.0,223.0,44.0,77.0,264.0,31.0,85.0,183.0,1240.0,976.0,1011.0,7412.0,4823.0,45528.0,11494.0,1014.0,1260.0,719.0,300.0,819.0,7460.0,923.0,3749.0,11521.0,889.0,1163.0,870.0,2980.0,1579.0,731.0,173.0,4.0,28.0,147.0,293.0,72.0,50.0,54.0,93.0,26.0,352.0,37.0,54.0,62.0,31.0,36.0,32.0,36.0,6132.0,223.0,684.0,73303.0,10453.0,17382.0,7496.0,544.0,223.0,604.0,36.0,2023,8,810003007,参考第2表(8月),長野県,138.7729,35.6531
5,2023-07-01,123397.0,260.0,59.0,156.0,400.0,39.0,149.0,213.0,895.0,527.0,1097.0,5904.0,3597.0,33249.0,6830.0,1063.0,647.0,508.0,301.0,840.0,10407.0,665.0,1795.0,8809.0,3005.0,294.0,1334.0,2735.0,1022.0,240.0,75.0,14.0,21.0,169.0,118.0,40.0,37.0,58.0,74.0,25.0,507.0,13.0,29.0,55.0,46.0,39.0,60.0,23.0,11448.0,260.0,1016.0,52939.0,12625.0,14575.0,5700.0,362.0,194.0,749.0,23.0,2023,7,810003009,参考第2表(7月),長野県,138.6453,35.7170
6,2023-06-01,97158.0,236.0,85.0,132.0,280.0,73.0,108.0,274.0,522.0,543.0,1363.0,4547.0,2883.0,21097.0,5629.0,1479.0,815.0,683.0,384.0,1277.0,15516.0,799.0,1699.0,3848.0,1152.0,282.0,576.0,1871.0,806.0,98.0,75.0,27.0,29.0,122.0,175.0,90.0,19.0,47.0,91.0,27.0,567.0,20.0,24.0,23.0,191.0,20.0,104.0,85.0,11689.0,236.0,952.0,37861.0,18493.0,7882.0,3708.0,443.0,184.0,949.0,85.0,2023,6,810003011,参考第2表(6月),長野県,138.5830,35.8773
7,2023-05-01,112005.0,480.0,43.0,81.0,267.0,71.0,107.0,234.0,1175.0,828.0,1491.0,4746.0,3556.0,25168.0,6472.0,1271.0,517.0,547.0,586.0,858.0,8526.0,955.0,1762.0,4472.0,859.0,488.0,2252.0,3714.0,781.0,178.0,67.0,32.0,19.0,258.0,289.0,54.0,57.0,129.0,815.0,30.0,579.0,35.0,71.0,56.0,49.0,78.0,69.0,161.0,16293.0,480.0,803.0,44294.0,10861.0,8634.0,7480.0,652.0,1031.0,937.0,161.0,2023,5,810003013,参考第2表(5月),長野県,138.4859,35.7133
8,2023-04-01,105037.0,308.0,9.0,93.0,407.0,45.0,78.0,165.0,795.0,800.0,973.0,3264.0,2652.0,22318.0,6637.0,842.0,575.0,348.0,110.0,749.0,10275.0,885.0,1749.0,5974.0,862.0,272.0,881.0,1962.0,659.0,106.0,66.0,25.0,19.0,174.0,554.0,14.0,22.0,46.0,211.0,15.0,412.0,27.0,20.0,32.0,50.0,17.0,32.0,189.0,19899.0,308.0,797.0,38188.0,12040.0,9580.0,3946.0,786.0,294.0,590.0,189.0,2023,4,1616669,参考第2表(4月),長野県,138.5814,35.7514
9,2023-03-01,129135.0,298.0,104.0,73.0,306.0,62.0,127.0,184.0,698.0,525.0,1420.0,5374.0,4311.0,29770.0,8377.0,1406.0,833.0,615.0,210.0,814.0,13984.0,795.0,1768.0,5493.0,778.0,372.0,1227.0,3716.0,1750.0,342.0,115.0,16.0,20.0,89.0,154.0,71.0,51.0,66.0,33.0,24.0,286.0,47.0,69.0,79.0,42.0,57.0,57.0,203.0,16083.0,298.0,856.0,51289.0,16838.0,9044.0,7522.0,350.0,174.0,637.0,203.0,2023,3,1611685,参考第2表(3月),長野県,138.6382,35.7674
