,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,172564.0,310.0,92.0,57.0,263.0,36.0,92.0,220.0,1031.0,674.0,851.0,6715.0,5644.0,33322.0,22642.0,300.0,94.0,185.0,190.0,893.0,825.0,1417.0,23962.0,11886.0,1353.0,589.0,817.0,2943.0,1150.0,353.0,123.0,36.0,61.0,256.0,389.0,96.0,137.0,159.0,40.0,41.0,510.0,40.0,37.0,121.0,70.0,45.0,220.0,173.0,12553.0,310.0,760.0,71772.0,1404.0,38808.0,5975.0,838.0,377.0,1043.0,173.0,2024,12,1867106,参考第2表(12月),静岡県,138.7069,35.4164
1,2024-11-01,173729.0,846.0,47.0,83.0,556.0,86.0,107.0,251.0,1139.0,1226.0,814.0,7948.0,4605.0,32446.0,17178.0,249.0,124.0,251.0,227.0,1433.0,1856.0,1917.0,18762.0,12820.0,1678.0,676.0,1611.0,5858.0,2819.0,531.0,179.0,44.0,49.0,538.0,796.0,100.0,79.0,207.0,293.0,46.0,1106.0,43.0,86.0,427.0,45.0,74.0,161.0,118.0,15421.0,846.0,1130.0,66789.0,2480.0,35404.0,11674.0,1527.0,625.0,1942.0,118.0,2024,11,1860296,参考第2表(11月),静岡県,138.4042,35.4391
2,2024-10-01,169693.0,697.0,109.0,132.0,301.0,107.0,112.0,276.0,1470.0,985.0,1174.0,9114.0,5369.0,34421.0,21713.0,324.0,163.0,298.0,229.0,1118.0,2330.0,1831.0,17926.0,11561.0,1568.0,862.0,1187.0,4730.0,1588.0,444.0,232.0,109.0,65.0,499.0,589.0,156.0,101.0,70.0,201.0,63.0,823.0,60.0,239.0,154.0,66.0,307.0,50.0,181.0,15276.0,697.0,1037.0,75364.0,3115.0,33115.0,9043.0,1418.0,435.0,1699.0,181.0,2024,10,1853929,参考第2表(10月),静岡県,138.5927,35.4709
3,2024-09-01,157484.0,549.0,86.0,52.0,221.0,40.0,93.0,285.0,902.0,865.0,866.0,6922.0,4377.0,31246.0,19919.0,325.0,193.0,149.0,157.0,903.0,994.0,1812.0,17090.0,10641.0,1355.0,543.0,3266.0,4202.0,1272.0,523.0,161.0,59.0,66.0,457.0,653.0,91.0,65.0,252.0,147.0,42.0,749.0,49.0,90.0,166.0,101.0,126.0,77.0,138.0,12617.0,549.0,777.0,66000.0,1661.0,31055.0,9967.0,1326.0,506.0,1358.0,138.0,2024,9,1845514,参考第2表(9月),静岡県,138.5313,35.4330
4,2024-08-01,241838.0,433.0,71.0,61.0,195.0,69.0,67.0,173.0,1462.0,1297.0,1142.0,13890.0,7420.0,57177.0,32838.0,240.0,142.0,208.0,184.0,1773.0,1067.0,2496.0,26781.0,16985.0,1852.0,750.0,1274.0,3935.0,1856.0,801.0,192.0,45.0,49.0,379.0,354.0,99.0,426.0,102.0,95.0,62.0,528.0,17.0,53.0,80.0,47.0,63.0,45.0,85.0,13165.0,433.0,636.0,116999.0,1657.0,48298.0,8808.0,926.0,685.0,833.0,85.0,2024,8,1840259,参考第2表(8月),静岡県,138.8299,35.4673
5,2024-07-01,191423.0,332.0,70.0,71.0,241.0,85.0,81.0,215.0,947.0,626.0,1182.0,7341.0,7431.0,34741.0,22490.0,215.0,168.0,208.0,151.0,1024.0,1677.0,2375.0,24265.0,14509.0,1995.0,1246.0,1827.0,4919.0,1410.0,466.0,87.0,45.0,31.0,238.0,1244.0,43.0,56.0,84.0,95.0,31.0,405.0,70.0,189.0,190.0,62.0,120.0,58.0,160.0,17038.0,332.0,763.0,75782.0,2268.0,43295.0,9955.0,1601.0,266.0,1094.0,160.0,2024,7,1765039,参考第2表(7月),静岡県,138.5488,35.4029
6,2024-06-01,144554.0,512.0,190.0,124.0,372.0,46.0,113.0,223.0,876.0,729.0,695.0,5533.0,4351.0,29813.0,18204.0,346.0,178.0,205.0,189.0,663.0,1258.0,1121.0,15706.0,10226.0,1757.0,660.0,1104.0,2381.0,1405.0,399.0,155.0,43.0,258.0,373.0,385.0,60.0,68.0,84.0,108.0,32.0,631.0,34.0,101.0,208.0,65.0,131.0,72.0,88.0,14609.0,512.0,1068.0,60864.0,1987.0,28999.0,6104.0,1119.0,292.0,1242.0,88.0,2024,6,1760851,参考第2表(6月),静岡県,138.6405,35.4720
7,2024-05-01,154535.0,547.0,99.0,122.0,291.0,78.0,93.0,241.0,894.0,744.0,722.0,6383.0,5047.0,32049.0,18998.0,233.0,228.0,254.0,244.0,863.0,1205.0,1470.0,18083.0,12528.0,2138.0,535.0,1049.0,4098.0,1824.0,491.0,189.0,81.0,184.0,429.0,486.0,85.0,78.0,212.0,120.0,57.0,830.0,78.0,73.0,180.0,72.0,28.0,54.0,114.0,13175.0,547.0,924.0,65700.0,1920.0,34463.0,8186.0,1265.0,467.0,1315.0,114.0,2024,5,1757460,参考第2表(5月),静岡県,138.5447,35.4375
8,2024-04-01,151303.0,464.0,96.0,63.0,277.0,39.0,120.0,219.0,925.0,550.0,861.0,7224.0,4870.0,31517.0,20166.0,304.0,104.0,199.0,598.0,823.0,1218.0,2036.0,20204.0,10464.0,1123.0,476.0,775.0,3434.0,1529.0,332.0,107.0,27.0,13.0,396.0,250.0,73.0,58.0,56.0,74.0,40.0,450.0,37.0,48.0,135.0,25.0,29.0,91.0,75.0,15449.0,464.0,814.0,66936.0,1825.0,34425.0,6653.0,759.0,228.0,815.0,75.0,2024,4,1750677,参考第2表(4月),静岡県,138.7004,35.4591
9,2024-03-01,178154.0,1119.0,51.0,79.0,1379.0,102.0,104.0,145.0,892.0,678.0,769.0,6908.0,5235.0,34520.0,22043.0,638.0,162.0,173.0,285.0,1153.0,1139.0,2656.0,21294.0,13051.0,1650.0,931.0,1061.0,3598.0,1276.0,548.0,273.0,38.0,41.0,398.0,284.0,132.0,67.0,123.0,74.0,71.0,380.0,31.0,67.0,75.0,67.0,20.0,53.0,139.0,12879.0,1119.0,1860.0,72198.0,2112.0,38936.0,7687.0,893.0,335.0,693.0,139.0,2024,3,1745072,参考第2表(3月),静岡県,138.6853,35.5099
