,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,46562.0,105.0,24.0,4.0,323.0,4.0,4.0,15.0,175.0,38.0,33.0,338.0,288.0,2094.0,517.0,21.0,131.0,72.0,42.0,44.0,130.0,159.0,124.0,932.0,184.0,273.0,507.0,2393.0,1765.0,319.0,112.0,74.0,89.0,1423.0,1172.0,155.0,592.0,1447.0,871.0,511.0,287.0,31.0,24.0,34.0,68.0,23.0,24.0,53.0,11041.0,105.0,374.0,3527.0,354.0,1441.0,5369.0,2913.0,3421.0,491.0,53.0,2024,12,1867106,参考第2表(12月),香川県,135.7240,34.9001
1,2024-11-01,50844.0,408.0,14.0,24.0,282.0,22.0,35.0,102.0,241.0,94.0,50.0,390.0,376.0,2106.0,613.0,136.0,163.0,92.0,72.0,54.0,251.0,267.0,267.0,1033.0,282.0,326.0,704.0,3231.0,2117.0,456.0,306.0,170.0,217.0,918.0,1326.0,208.0,323.0,1303.0,804.0,371.0,522.0,19.0,53.0,68.0,105.0,52.0,74.0,122.0,13354.0,408.0,479.0,3924.0,642.0,1921.0,7140.0,2839.0,2801.0,893.0,122.0,2024,11,1860296,参考第2表(11月),香川県,135.8488,35.0394
2,2024-10-01,55834.0,220.0,10.0,40.0,328.0,68.0,17.0,65.0,156.0,175.0,91.0,486.0,510.0,2309.0,731.0,99.0,51.0,89.0,81.0,75.0,325.0,234.0,276.0,1309.0,597.0,506.0,945.0,3865.0,2856.0,543.0,309.0,324.0,433.0,1374.0,2389.0,242.0,506.0,2058.0,1435.0,694.0,448.0,24.0,83.0,78.0,44.0,9.0,81.0,77.0,15762.0,220.0,528.0,4533.0,564.0,2497.0,9024.0,4762.0,4693.0,767.0,77.0,2024,10,1853929,参考第2表(10月),香川県,135.5732,34.9080
3,2024-09-01,52720.0,116.0,22.0,38.0,199.0,9.0,35.0,56.0,244.0,80.0,48.0,416.0,396.0,2619.0,760.0,67.0,55.0,55.0,40.0,37.0,75.0,108.0,175.0,931.0,239.0,415.0,948.0,4306.0,3151.0,994.0,286.0,243.0,182.0,1676.0,2656.0,218.0,815.0,2823.0,1586.0,852.0,300.0,35.0,91.0,105.0,76.0,33.0,52.0,60.0,12241.0,116.0,359.0,4600.0,252.0,1493.0,10100.0,4975.0,6076.0,692.0,60.0,2024,9,1845514,参考第2表(9月),香川県,135.3904,34.7790
4,2024-08-01,71193.0,105.0,8.0,15.0,46.0,10.0,8.0,39.0,211.0,123.0,110.0,716.0,802.0,3104.0,1357.0,78.0,48.0,39.0,108.0,46.0,96.0,249.0,259.0,1264.0,347.0,921.0,1599.0,6879.0,6796.0,1017.0,480.0,366.0,460.0,3358.0,5059.0,517.0,1671.0,4412.0,3253.0,1471.0,390.0,39.0,115.0,73.0,149.0,45.0,33.0,19.0,9476.0,105.0,126.0,6469.0,261.0,2227.0,17692.0,9760.0,10807.0,844.0,19.0,2024,8,1840259,参考第2表(8月),香川県,135.1352,34.6994
5,2024-07-01,57168.0,151.0,23.0,22.0,184.0,0.0,15.0,60.0,147.0,61.0,84.0,501.0,425.0,2196.0,806.0,49.0,26.0,54.0,56.0,29.0,120.0,587.0,165.0,914.0,273.0,530.0,1169.0,4854.0,4234.0,671.0,366.0,287.0,303.0,2634.0,3423.0,300.0,875.0,3243.0,1924.0,888.0,445.0,25.0,28.0,54.0,113.0,38.0,38.0,64.0,12931.0,151.0,304.0,4249.0,249.0,1995.0,11824.0,6947.0,6930.0,741.0,64.0,2024,7,1765039,参考第2表(7月),香川県,135.1720,34.7482
6,2024-06-01,46876.0,127.0,4.0,35.0,423.0,28.0,10.0,188.0,113.0,163.0,27.0,229.0,265.0,1134.0,396.0,230.0,65.0,17.0,110.0,25.0,184.0,178.0,404.0,703.0,182.0,360.0,553.0,2873.0,1236.0,207.0,148.0,135.0,152.0,678.0,1032.0,99.0,269.0,2094.0,603.0,297.0,223.0,37.0,45.0,91.0,70.0,25.0,34.0,81.0,13624.0,127.0,688.0,2352.0,496.0,1577.0,5377.0,2096.0,3263.0,525.0,81.0,2024,6,1760851,参考第2表(6月),香川県,135.7380,34.9824
7,2024-05-01,51836.0,258.0,19.0,43.0,334.0,19.0,10.0,45.0,185.0,112.0,75.0,491.0,403.0,1979.0,807.0,75.0,49.0,43.0,118.0,36.0,130.0,233.0,208.0,1381.0,270.0,473.0,1110.0,4624.0,2807.0,764.0,219.0,288.0,247.0,1702.0,2043.0,274.0,737.0,2997.0,1537.0,819.0,501.0,73.0,66.0,116.0,92.0,38.0,87.0,178.0,11539.0,258.0,470.0,4088.0,297.0,2210.0,9997.0,4554.0,6090.0,973.0,178.0,2024,5,1757460,参考第2表(5月),香川県,135.3700,34.7999
8,2024-04-01,41271.0,153.0,17.0,4.0,380.0,19.0,17.0,28.0,108.0,48.0,43.0,239.0,261.0,2576.0,522.0,92.0,15.0,38.0,30.0,22.0,191.0,111.0,167.0,648.0,228.0,349.0,771.0,3378.0,2593.0,456.0,218.0,223.0,280.0,1710.0,1880.0,210.0,606.0,2102.0,1684.0,580.0,298.0,51.0,72.0,88.0,114.0,123.0,28.0,55.0,11178.0,153.0,465.0,3819.0,336.0,1184.0,7765.0,4303.0,4972.0,774.0,55.0,2024,4,1750677,参考第2表(4月),香川県,135.3931,34.8205
9,2024-03-01,62597.0,300.0,124.0,14.0,239.0,80.0,44.0,59.0,174.0,110.0,211.0,607.0,621.0,2157.0,1438.0,107.0,52.0,46.0,97.0,27.0,267.0,322.0,216.0,1543.0,484.0,801.0,1331.0,5299.0,4558.0,851.0,438.0,215.0,333.0,2587.0,3247.0,368.0,893.0,4054.0,1887.0,920.0,504.0,43.0,59.0,124.0,135.0,90.0,73.0,59.0,10957.0,300.0,560.0,5345.0,472.0,2662.0,13278.0,6750.0,7754.0,1028.0,59.0,2024,3,1745072,参考第2表(3月),香川県,135.3695,34.8350
