,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2024-12-01,26772.0,125.0,4.0,0.0,179.0,8.0,16.0,3.0,38.0,29.0,26.0,212.0,210.0,3998.0,929.0,11.0,77.0,8.0,10.0,6.0,13.0,45.0,165.0,789.0,144.0,224.0,217.0,2868.0,1431.0,131.0,48.0,67.0,48.0,1185.0,578.0,49.0,972.0,1234.0,1419.0,2460.0,479.0,7.0,11.0,31.0,37.0,9.0,94.0,52.0,1387.0,125.0,210.0,5448.0,109.0,1153.0,4919.0,1927.0,6085.0,668.0,52.0,2024,12,1867106,参考第2表(12月),高知県,135.8233,34.7562
1,2024-11-01,30430.0,183.0,15.0,10.0,102.0,36.0,10.0,28.0,52.0,102.0,91.0,582.0,635.0,3592.0,1096.0,9.0,55.0,16.0,23.0,21.0,57.0,38.0,161.0,874.0,210.0,105.0,341.0,2946.0,2799.0,305.0,123.0,111.0,115.0,909.0,1141.0,139.0,866.0,1238.0,1077.0,2402.0,421.0,109.0,18.0,31.0,114.0,18.0,27.0,25.0,1197.0,183.0,201.0,6171.0,137.0,1306.0,6619.0,2415.0,5583.0,738.0,25.0,2024,11,1860296,参考第2表(11月),高知県,135.8901,34.8314
2,2024-10-01,24909.0,114.0,34.0,5.0,201.0,8.0,13.0,8.0,48.0,42.0,34.0,563.0,515.0,3500.0,751.0,128.0,157.0,33.0,19.0,17.0,59.0,85.0,171.0,678.0,146.0,215.0,424.0,2281.0,995.0,198.0,135.0,111.0,153.0,746.0,499.0,51.0,573.0,795.0,855.0,1510.0,484.0,35.0,13.0,52.0,26.0,15.0,200.0,12.0,1616.0,114.0,269.0,5470.0,377.0,1099.0,4248.0,1560.0,3733.0,825.0,12.0,2024,10,1853929,参考第2表(10月),高知県,136.2083,34.9387
3,2024-09-01,27195.0,76.0,2.0,4.0,65.0,10.0,16.0,34.0,46.0,35.0,26.0,668.0,358.0,3895.0,936.0,14.0,69.0,13.0,39.0,12.0,37.0,89.0,123.0,720.0,53.0,67.0,222.0,3657.0,1309.0,90.0,40.0,41.0,37.0,672.0,745.0,42.0,507.0,707.0,1848.0,1677.0,371.0,37.0,30.0,28.0,45.0,21.0,112.0,19.0,1931.0,76.0,131.0,5976.0,133.0,1024.0,5385.0,1537.0,4739.0,644.0,19.0,2024,9,1845514,参考第2表(9月),高知県,136.0317,34.8143
4,2024-08-01,32628.0,157.0,12.0,8.0,19.0,5.0,6.0,32.0,88.0,27.0,124.0,684.0,633.0,4202.0,1057.0,24.0,10.0,29.0,19.0,23.0,26.0,96.0,93.0,705.0,110.0,320.0,620.0,4521.0,2725.0,218.0,62.0,39.0,40.0,1163.0,1135.0,64.0,472.0,1341.0,1361.0,2416.0,770.0,28.0,21.0,83.0,59.0,14.0,19.0,4.0,1236.0,157.0,82.0,6838.0,89.0,1023.0,8466.0,2441.0,5590.0,994.0,4.0,2024,8,1840259,参考第2表(8月),高知県,135.8586,34.8111
5,2024-07-01,25474.0,113.0,0.0,34.0,52.0,25.0,2.0,12.0,35.0,63.0,32.0,441.0,553.0,3368.0,751.0,33.0,45.0,11.0,4.0,15.0,58.0,65.0,69.0,819.0,66.0,78.0,649.0,2633.0,1704.0,113.0,43.0,55.0,74.0,747.0,612.0,128.0,770.0,1627.0,1531.0,1744.0,286.0,9.0,22.0,41.0,47.0,25.0,103.0,186.0,1043.0,113.0,125.0,5258.0,147.0,1023.0,5220.0,1616.0,5672.0,533.0,186.0,2024,7,1765039,参考第2表(7月),高知県,135.7949,34.7266
6,2024-06-01,24211.0,205.0,10.0,28.0,62.0,8.0,4.0,43.0,80.0,17.0,34.0,215.0,351.0,3710.0,939.0,49.0,11.0,29.0,24.0,6.0,34.0,58.0,63.0,756.0,52.0,65.0,373.0,1686.0,1021.0,109.0,23.0,47.0,32.0,817.0,398.0,51.0,243.0,1460.0,1129.0,2520.0,257.0,6.0,12.0,23.0,20.0,34.0,48.0,18.0,2015.0,205.0,155.0,5352.0,123.0,953.0,3277.0,1345.0,5352.0,400.0,18.0,2024,6,1760851,参考第2表(6月),高知県,136.0933,34.8697
7,2024-05-01,31000.0,213.0,19.0,15.0,64.0,7.0,15.0,19.0,70.0,47.0,40.0,462.0,451.0,4379.0,1069.0,24.0,64.0,26.0,13.0,28.0,60.0,42.0,202.0,1098.0,98.0,66.0,635.0,3269.0,1771.0,256.0,44.0,60.0,115.0,1125.0,1226.0,82.0,596.0,1131.0,1275.0,2169.0,604.0,40.0,30.0,51.0,29.0,23.0,112.0,128.0,1729.0,213.0,139.0,6546.0,174.0,1453.0,6041.0,2608.0,5171.0,889.0,128.0,2024,5,1757460,参考第2表(5月),高知県,135.9101,34.8186
8,2024-04-01,28355.0,250.0,10.0,9.0,130.0,12.0,12.0,10.0,77.0,42.0,47.0,319.0,290.0,4571.0,904.0,33.0,22.0,19.0,7.0,24.0,38.0,59.0,161.0,921.0,77.0,139.0,261.0,3125.0,1816.0,186.0,57.0,45.0,54.0,884.0,786.0,54.0,220.0,1063.0,1219.0,1262.0,632.0,19.0,14.0,82.0,69.0,24.0,191.0,20.0,2503.0,250.0,183.0,6274.0,112.0,1225.0,5584.0,1823.0,3764.0,1031.0,20.0,2024,4,1750677,参考第2表(4月),高知県,136.1386,34.9319
9,2024-03-01,25278.0,362.0,7.0,8.0,153.0,65.0,0.0,17.0,71.0,34.0,39.0,312.0,719.0,2698.0,454.0,4.0,21.0,9.0,42.0,16.0,89.0,86.0,103.0,916.0,60.0,81.0,501.0,2381.0,910.0,99.0,61.0,65.0,38.0,713.0,627.0,46.0,470.0,1201.0,933.0,1658.0,428.0,31.0,9.0,66.0,64.0,32.0,103.0,48.0,834.0,362.0,250.0,4343.0,123.0,1207.0,4033.0,1489.0,4262.0,733.0,48.0,2024,3,1745072,参考第2表(3月),高知県,135.9660,34.9441
