,Unnamed: 0,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度,known,unknown
0,0,2024-03-01,28690.0,53.0,7.0,5.0,16.0,7.0,11.0,23.0,53.0,63.0,32.0,244.0,273.0,1108.0,387.0,84.0,555.0,721.0,4395.0,54.0,170.0,581.0,160.0,1617.0,314.0,846.0,831.0,1625.0,705.0,270.0,40.0,22.0,1.0,74.0,41.0,9.0,53.0,155.0,7.0,9.0,96.0,3.0,12.0,7.0,2.0,4.0,27.0,57.0,156.0,53.0,69.0,2214.0,1530.0,7067.0,4317.0,147.0,224.0,151.0,57.0,2024,3,1745072,参考第2表(3月),福井県,136.6273,35.5138,15829.0,12861.0
1,1,2024-02-01,18980.0,24.0,4.0,3.0,26.0,1.0,8.0,8.0,31.0,12.0,52.0,127.0,114.0,683.0,271.0,56.0,363.0,623.0,3665.0,23.0,66.0,400.0,90.0,832.0,151.0,587.0,570.0,1697.0,472.0,315.0,78.0,0.0,7.0,52.0,16.0,12.0,42.0,30.0,6.0,4.0,231.0,4.0,1.0,4.0,2.0,0.0,0.0,84.0,319.0,24.0,50.0,1313.0,1108.0,5138.0,3719.0,87.0,82.0,242.0,84.0,2024,2,1740006,参考第2表(2月),福井県,136.3673,35.4495,11847.0,7133.0
2,2,2024-01-01,17856.0,14.0,6.0,4.0,3.0,2.0,2.0,14.0,37.0,23.0,22.0,105.0,87.0,588.0,189.0,29.0,248.0,515.0,2931.0,19.0,59.0,313.0,94.0,826.0,160.0,425.0,507.0,1353.0,410.0,175.0,47.0,1.0,0.0,42.0,15.0,2.0,14.0,14.0,18.0,4.0,43.0,16.0,6.0,5.0,0.0,0.0,2.0,66.0,125.0,14.0,31.0,1070.0,851.0,4324.0,2917.0,60.0,50.0,72.0,66.0,2024,1,1732631,参考第2表(1月),福井県,136.4637,35.4613,9455.0,8401.0
3,3,2023-12-01,18628.0,21.0,2.0,8.0,19.0,6.0,5.0,18.0,47.0,37.0,39.0,257.0,168.0,1046.0,659.0,82.0,518.0,608.0,5902.0,76.0,160.0,536.0,144.0,1757.0,391.0,928.0,932.0,2032.0,792.0,240.0,94.0,2.0,14.0,34.0,78.0,45.0,38.0,58.0,18.0,8.0,343.0,2.0,0.0,132.0,5.0,7.0,13.0,101.0,206.0,21.0,58.0,2329.0,1368.0,8730.0,5018.0,173.0,122.0,502.0,101.0,2023,12,1725251,参考第2表(12月),福井県,136.4125,35.4374,18422.0,206.0
4,4,2023-11-01,20352.0,232.0,34.0,23.0,28.0,10.0,15.0,72.0,83.0,384.0,84.0,510.0,260.0,1779.0,602.0,231.0,448.0,573.0,3004.0,242.0,325.0,623.0,431.0,2775.0,576.0,696.0,796.0,2477.0,879.0,346.0,192.0,19.0,15.0,121.0,123.0,67.0,35.0,131.0,65.0,16.0,245.0,13.0,14.0,133.0,43.0,5.0,8.0,119.0,450.0,232.0,182.0,3944.0,1577.0,7409.0,5386.0,345.0,247.0,461.0,119.0,2023,11,810002999,参考第2表(11月),福井県,136.7941,35.4418,19902.0,450.0
5,5,2023-10-01,18081.0,47.0,19.0,9.0,39.0,116.0,46.0,69.0,70.0,27.0,204.0,326.0,338.0,1147.0,365.0,491.0,483.0,764.0,3481.0,68.0,282.0,593.0,338.0,1944.0,390.0,513.0,690.0,1827.0,996.0,408.0,199.0,32.0,43.0,161.0,122.0,57.0,54.0,96.0,46.0,8.0,108.0,2.0,1.0,40.0,8.0,12.0,1.0,35.0,966.0,47.0,298.0,2545.0,2020.0,6746.0,4633.0,415.0,204.0,172.0,35.0,2023,10,810003002,参考第2表(10月),福井県,136.7465,35.5542,17115.0,966.0
6,6,2023-09-01,9885.0,39.0,7.0,10.0,17.0,6.0,27.0,53.0,38.0,35.0,64.0,200.0,155.0,689.0,493.0,162.0,284.0,460.0,931.0,36.0,190.0,465.0,129.0,1346.0,218.0,429.0,551.0,1377.0,653.0,234.0,65.0,21.0,6.0,72.0,60.0,24.0,35.0,43.0,10.0,23.0,37.0,7.0,3.0,5.0,0.0,2.0,18.0,2.0,154.0,39.0,120.0,1710.0,1096.0,3089.0,3309.0,183.0,111.0,72.0,2.0,2023,9,810003005,参考第2表(9月),福井県,136.8228,35.4284,9731.0,154.0
7,7,2023-08-01,27518.0,44.0,4.0,6.0,20.0,9.0,23.0,12.0,134.0,57.0,117.0,569.0,393.0,1933.0,736.0,330.0,656.0,596.0,2161.0,78.0,359.0,1544.0,435.0,4172.0,843.0,1469.0,1819.0,4415.0,2430.0,892.0,227.0,37.0,25.0,188.0,249.0,35.0,68.0,96.0,33.0,7.0,60.0,8.0,30.0,9.0,0.0,16.0,16.0,24.0,134.0,44.0,74.0,4017.0,1941.0,9155.0,11252.0,534.0,204.0,139.0,24.0,2023,8,810003007,参考第2表(8月),福井県,136.6187,35.259,27384.0,134.0
8,8,2023-07-01,17993.0,26.0,7.0,4.0,26.0,11.0,53.0,63.0,48.0,48.0,128.0,209.0,244.0,884.0,402.0,198.0,495.0,541.0,2727.0,47.0,230.0,973.0,158.0,3017.0,463.0,941.0,911.0,2734.0,1000.0,528.0,138.0,59.0,15.0,155.0,78.0,38.0,47.0,56.0,21.0,12.0,61.0,19.0,10.0,17.0,0.0,6.0,7.0,15.0,123.0,26.0,164.0,2010.0,1464.0,7338.0,6252.0,345.0,136.0,120.0,15.0,2023,7,810003009,参考第2表(7月),福井県,136.5675,35.3687,17870.0,123.0
9,9,2023-06-01,11590.0,24.0,11.0,13.0,30.0,2.0,14.0,56.0,51.0,56.0,35.0,163.0,141.0,531.0,194.0,109.0,442.0,496.0,3561.0,23.0,165.0,345.0,106.0,1152.0,245.0,519.0,416.0,1579.0,425.0,184.0,37.0,4.0,12.0,117.0,53.0,11.0,11.0,30.0,21.0,0.0,81.0,3.0,0.0,3.0,0.0,0.0,1.0,9.0,109.0,24.0,126.0,1194.0,1212.0,5409.0,3160.0,197.0,62.0,88.0,9.0,2023,6,810003011,参考第2表(6月),福井県,136.565,35.5822,11481.0,109.0
