year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,429,985,13754,2213,44602,49369,2239,1059,1330,83
2009,397,559,10268,1424,30939,33345,1507,637,1183,89
2010,177,193,5542,541,15231,15602,434,316,373,21
2011,448,296,11406,1648,28764,26489,1479,1059,965,115
2012,351,903,14299,1551,27589,24474,1576,834,1380,56
2013,511,1064,15259,1935,26020,27105,1417,921,1716,68
2014,533,1364,16958,2206,26347,26379,2057,832,1945,103
2015,437,921,12289,1653,33120,30637,1396,671,1437,100
2016,617,1159,18208,2075,33061,27741,2152,877,1634,105
2017,539,1061,14650,1918,30526,26466,1726,737,1505,89
2018,787,1425,16418,1832,25848,23568,2261,748,1989,143
2019,512,1669,16448,1646,24834,22140,2122,698,2619,171
2020,221,498,7529,628,22567,15781,611,325,639,59
2021,186,209,6302,548,23508,17480,531,347,432,58
2022,496,634,13291,1406,25212,22733,757,604,895,120
2023,649,904,16492,1778,26477,28906,1524,803,1483,132
