year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,7576,8507,136287,11682,34573,132332,18794,10974,24590,2619
2009,7074,7961,125060,11096,31549,134496,18588,11622,23349,2749
2010,7181,8705,125044,10479,35030,133142,18853,10345,23489,2932
2011,8206,8346,134395,12745,35731,127032,20477,12626,24756,3021
2012,7613,9324,129747,12609,36102,130480,21327,12344,27589,3271
2013,7862,9358,137795,13441,37142,135321,22578,12903,27664,3284
2014,8819,12147,130658,13983,37292,129820,22027,12659,28280,3441
2015,10119,15118,122172,12101,34074,95365,20071,12010,27240,3240
2016,10657,15314,146368,14365,41625,106199,23210,13855,29531,3720
2017,10639,14421,140217,13723,37480,97716,22334,13670,30432,4298
2018,9975,13268,136119,12457,36767,110381,20999,13346,28019,3828
2019,11771,15855,151941,14859,44601,115055,25394,15269,33674,4902
2020,3520,2713,61103,3132,15024,76055,6509,3715,9731,1737
2021,3285,2465,67437,2720,16039,97639,5856,3247,8370,1960
2022,7511,6602,111851,7561,29225,113528,12351,7601,18984,3605
2023,7938,8497,105582,9672,30687,104891,15194,8675,22548,3873
