year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,294,280,6347,333,2401,6460,18955,1424,9834,162
2009,280,282,6434,235,1753,5673,18560,1318,9267,126
2010,273,275,6421,313,1478,4945,13787,1253,7902,163
2011,375,331,6678,397,1551,5949,14889,1306,8279,175
2012,282,335,9356,328,1486,5799,17351,1524,9288,182
2013,196,323,9027,259,1076,5594,16706,1068,9087,173
2014,228,272,8537,342,1328,5781,15575,1482,7841,168
2015,281,375,8838,369,1774,5881,15458,1251,8485,170
2016,372,362,7504,406,1554,5417,16365,1273,8957,201
2017,275,276,7194,333,1410,4741,13888,938,7370,219
2018,210,242,6369,235,1131,3958,12731,780,6262,138
2019,226,271,7392,228,1203,4090,12336,771,5960,85
2020,116,140,4439,154,887,3698,13948,585,4914,59
2021,68,108,3199,126,668,2616,13034,361,3280,46
2022,144,145,5515,155,1000,3542,13463,652,4424,79
2023,201,214,8128,248,1223,4546,11930,809,5393,149
