year,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2008,1289,2069,147614,4895,67299,13254,1323,617,1618,109
2009,1152,1825,125307,4103,55536,12423,926,547,1720,130
2010,1108,1507,88154,2852,44891,10179,1031,482,1673,189
2011,1504,1732,101955,4047,61415,9042,1229,588,1595,145
2012,1906,1459,103970,4417,69016,12349,971,520,1466,208
2013,943,1656,113742,4271,65808,12371,1164,515,1572,190
2014,1075,1299,96880,4359,55922,10845,868,494,1461,159
2015,1394,1568,128275,4884,71632,13616,1191,510,1487,211
2016,1240,1348,110767,4256,65355,11018,1103,470,1341,166
2017,1166,1372,101526,4434,57320,12300,1038,456,1416,167
2018,1020,1741,102922,3134,55854,11315,1053,480,1421,194
2019,813,1616,107374,3150,53526,12146,1025,411,1308,224
2020,233,579,64402,1265,34999,5956,395,180,536,45
2021,221,704,56872,1097,33457,5216,299,142,610,106
2022,407,660,63800,1678,35344,6603,612,234,712,69
2023,475,882,67141,1989,36823,8108,1022,352,1451,140
