month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,97,72,2183,72,480,884,778,98,10319,54
2,136,138,2601,158,1397,987,653,146,8171,75
3,158,135,2971,390,847,1886,1163,214,9417,69
4,135,102,2665,188,745,1180,663,209,8776,66
5,120,122,3663,189,1445,1918,951,213,8910,75
6,59,99,2347,124,683,1138,524,119,7680,61
7,45,78,2644,115,440,1721,608,224,10613,82
8,36,77,3102,89,489,2050,853,203,16109,402
9,134,124,2962,164,697,1697,816,209,9049,80
10,267,160,3612,211,1385,1348,964,238,10413,108
11,233,253,4197,247,1286,2614,1322,273,11133,96
12,90,109,3218,134,599,1152,779,111,11592,140
