month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,40337,34474,231375,18998,54932,65166,13463,6655,29331,4271
2,15600,24777,221244,21405,53612,69111,17521,7269,35632,3841
3,19699,34017,238948,28722,75882,95432,21450,8904,36843,6830
4,14351,37083,225326,20506,58106,61954,15334,6922,22808,3182
5,16207,34118,226004,24434,82480,67859,13765,6977,21044,3266
6,11740,23709,224622,21793,76208,55121,14311,6448,18628,3496
7,11558,35394,259539,25799,67239,72646,17966,8165,26464,3456
8,9922,38939,328404,34784,94097,93371,22506,11152,31397,3895
9,17796,36251,246742,27738,65084,78652,17914,8327,28019,4116
10,22656,33830,260347,29556,76191,75263,23417,9304,28364,5550
11,19211,30439,265266,27941,86849,87333,18329,8660,30006,4662
12,12915,31217,289478,23973,77711,81229,21898,10377,43454,6635
