month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,254,243,5136,481,6766,41941,1152,950,651,53
2,292,453,5281,753,7181,37477,1331,892,748,83
3,885,1067,9442,1282,10977,50224,2466,1497,1580,77
4,974,907,7918,864,7854,36215,2074,1450,1765,144
5,651,846,9227,1217,8576,35691,1935,1379,1925,93
6,413,916,6637,1181,5906,30196,1539,1045,1444,99
7,200,517,8736,929,9560,53444,1606,1263,1202,95
8,240,403,14472,944,16970,85789,2322,1899,987,55
9,451,933,9204,928,7360,40196,1847,1261,1767,270
10,710,1056,9851,1624,8801,41176,2272,1579,2489,178
11,1181,1231,10697,1602,10650,45270,2658,1933,2997,266
12,299,462,6369,682,7942,45091,1558,1103,1024,81
