month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,264,361,7606,478,2150,8056,607,383,768,90
2,186,311,7289,567,1952,7262,572,264,740,40
3,493,598,13638,905,2865,7077,921,459,1285,70
4,728,754,13551,1169,2612,6731,819,396,1463,117
5,497,626,13756,966,3449,7752,1057,689,1656,85
6,283,495,10103,723,2539,7512,757,334,971,66
7,239,496,8007,625,2148,8270,743,383,828,68
8,232,593,11436,787,3094,11188,995,570,1148,79
9,442,576,10494,753,2214,8483,1039,545,1043,97
10,1044,872,12248,1591,3366,8454,1204,604,1296,88
11,798,1250,19296,1367,3271,7745,1106,547,1792,163
12,441,977,11614,867,3484,9684,732,560,958,80
