month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,163,19326,7845,1437,438,671,101,45,133,34
2,211,17935,8111,1646,650,973,118,50,184,24
3,291,18923,9133,2220,592,944,149,74,225,27
4,415,16156,9615,1874,730,795,138,74,245,41
5,381,16347,11467,2284,920,1085,239,115,290,25
6,326,18274,14076,3003,1093,1408,193,166,325,39
7,325,18959,12848,2179,1032,1159,258,137,290,20
8,384,20447,17993,2504,1424,1771,233,184,296,29
9,355,18681,12864,2329,1117,1166,272,119,270,31
10,479,22054,16439,3526,1407,1450,415,184,432,42
11,376,21798,13469,4225,1097,1217,206,149,347,43
12,207,26714,8866,2077,586,602,108,92,173,19
