month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,883,894,23113,961,3800,10475,22891,2187,4490,220
2,970,936,25444,1010,3942,10643,22329,2316,5222,241
3,1665,1503,34159,1611,6589,13697,22626,3128,6162,358
4,1432,1177,26528,1663,5319,11119,21688,2213,4726,341
5,1457,1297,30872,3326,8837,12554,20881,3551,5809,272
6,1121,1312,26231,1241,6100,11173,20354,2411,4697,216
7,862,1120,31779,1126,5655,12792,25811,2656,5640,232
8,963,1200,43917,1649,8584,18193,28471,3625,6561,272
9,1635,1637,35305,1606,6760,13894,22619,3144,5722,283
10,3805,2487,35186,1875,8245,13044,22663,2533,5689,242
11,3362,2928,39329,2192,9152,14162,24160,2711,7182,514
12,1067,2349,30425,1426,6321,12520,29175,2821,5549,372
