month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,113,119,2420,115,518,4489,794,2692,254,27
2,121,158,2842,213,613,4200,816,2727,335,47
3,338,409,4444,360,1197,6000,1058,3108,583,92
4,403,294,3381,286,950,4652,769,2999,498,61
5,329,312,3953,287,1155,4636,932,2960,591,37
6,244,299,2948,215,876,3919,747,3249,458,67
7,98,188,3352,140,725,6793,883,3233,450,36
8,132,144,4760,177,1150,9475,1201,3431,434,32
9,180,245,3444,200,677,4180,738,2529,467,43
10,333,280,3907,308,1015,4388,935,3290,619,77
11,499,360,5224,532,1496,4520,1072,3242,726,82
12,141,303,3686,245,971,4888,918,3037,518,46
