month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,285,327,7033,337,1385,7779,5139,9318,1131,60
2,387,490,8223,499,1613,7408,4548,7735,1218,59
3,802,794,11136,853,3212,9789,5453,8779,1753,91
4,745,630,9109,557,2600,7307,4105,7443,1610,83
5,556,670,10418,745,3282,8770,4196,7672,2027,81
6,370,610,7692,541,2002,7239,3902,7437,1468,92
7,227,460,8892,433,2168,7451,4033,8410,1658,72
8,277,476,13170,523,3663,11591,5358,9844,2021,108
9,506,687,9710,510,2635,8133,3826,7347,1892,138
10,825,858,11549,883,3861,9608,4964,9098,2427,140
11,869,901,13309,827,4040,10087,5459,9132,2596,192
12,338,489,9384,415,2083,7469,5437,10039,1422,171
