month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,996,1011,31546,3133,52056,9000,1105,644,1905,295
2,1039,1013,30764,3230,47179,8789,1295,672,2151,374
3,1650,1269,36817,3982,53192,11183,1911,834,2692,341
4,1462,1022,30474,2718,46390,9025,1437,646,2142,495
5,1227,1186,33266,3675,46694,10814,1606,747,2355,291
6,1106,1032,29243,2907,43846,8821,1374,615,2238,237
7,970,1161,34952,3680,49799,11224,1707,796,2411,249
8,904,1154,40588,5022,63094,16717,1930,896,2446,222
9,1275,1220,33313,3382,46506,10761,1742,730,2627,269
10,1523,1369,33234,3364,47731,9398,1546,747,2690,360
11,1630,1540,38142,4641,53257,10957,1809,936,2836,417
12,1050,1029,31508,3231,64824,9179,1435,708,1878,260
