month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,22757,33773,327801,25371,45993,66882,20174,11265,39412,5909
2,20888,31240,309450,27043,45303,68272,22526,12602,43017,5784
3,25123,36076,324011,29196,50502,78954,24823,12133,44638,6758
4,21120,41526,323275,21503,41393,66763,18828,9788,33839,5544
5,23640,46651,327820,27884,63508,76179,22294,12123,39284,5593
6,20007,31441,316275,23845,56308,68998,21213,11576,38524,5237
7,19932,33843,342921,25917,48841,71918,23891,12057,41486,5715
8,19317,39667,416521,35008,72338,92578,29058,15382,44128,6347
9,23137,39011,327394,27163,48751,76701,23231,12181,41231,6074
10,27079,31896,338375,27745,49699,73728,27794,14477,41607,6318
11,27809,40551,351046,29353,55603,79501,25796,14295,46262,7226
12,20804,38204,423454,28692,57796,79175,27227,12600,46584,7058
