month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,11237,6675,122704,4770,25864,43857,5938,2911,14717,18935
2,12644,7390,121990,5085,30508,43954,8083,2737,15274,16575
3,14331,7919,150844,8276,36907,57667,9686,4066,21276,21856
4,9823,5741,138238,5306,29689,51585,8775,4749,18192,18010
5,6640,4714,112266,4389,24756,50262,7409,4973,14879,21471
6,7275,4564,123057,4135,29169,44105,5974,3654,15216,24080
7,5231,6117,190653,5115,32888,60989,8372,3788,19573,22130
8,3899,6205,227686,5659,38626,72166,9377,4764,22423,21774
9,7798,6647,165491,5912,25889,56957,7074,3456,18843,20467
10,10214,6958,165236,7881,31769,48773,8206,3605,17689,21976
11,10198,7285,141710,7266,28915,44907,6422,3206,16413,24749
12,5575,5724,128551,9273,28223,44137,6073,3130,14440,31186
