month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,285,256,8002,1037,9605,37107,1770,939,913,203
2,206,306,6522,1225,8101,33328,1757,1131,1082,121
3,873,780,14267,2242,12074,39157,2703,1406,2102,113
4,1173,1004,13986,2477,11311,43070,2447,1463,2005,215
5,545,715,18792,2594,15060,35588,2830,2977,2699,120
6,298,734,13549,2404,10774,32511,2505,1199,1431,143
7,283,1235,14554,1779,10916,41740,2219,1141,1290,118
8,355,708,17729,2062,18007,71304,2188,1150,1062,84
9,668,1352,16174,2325,12065,37551,2663,1486,1615,123
10,1420,2402,18237,3239,13911,41712,3683,2496,2332,157
11,1630,3767,26852,4236,16240,39991,4013,2416,3895,421
12,735,3956,13352,1884,13785,47298,2123,1135,1945,544
