month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,1149,1066,32377,901,5308,12148,6830,1353,52464,1262
2,1123,1315,36409,1209,5833,12726,6371,1327,50483,1405
3,1746,1742,42475,1726,7600,15897,7407,1901,58033,1468
4,1288,1170,32465,1009,5713,12051,5640,2261,52303,1189
5,1322,1315,37231,1286,6382,14034,7846,3325,53754,1193
6,1074,1147,33406,1109,5074,11015,5392,1619,44581,1281
7,993,1444,36261,1326,5857,13241,6614,1453,59081,1380
8,974,1328,41311,1204,7906,16765,10024,2357,76950,1838
9,1356,1413,36249,1416,5873,13273,6675,1966,54214,1404
10,1487,1615,39973,1741,7287,13406,6727,1765,53381,1709
11,2314,1800,43077,1918,8658,15960,7837,1908,58903,1544
12,1519,1201,38773,1692,6771,13052,7850,1623,63477,1573
