month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,185,28496,38044,1486,606,877,64,49,801,29
2,269,25372,34745,1726,890,672,140,135,1095,29
3,493,28660,35874,2366,1083,1000,210,93,577,31
4,550,23824,36463,2525,2364,1859,480,142,709,106
5,549,24300,35315,3252,1761,1520,520,124,454,50
6,297,28106,33399,3914,1523,1732,570,145,356,78
7,242,27513,43776,2699,1381,1668,316,96,270,30
8,255,30451,69050,2947,1799,1720,280,127,261,27
9,332,25487,40964,2816,1654,1502,357,149,588,34
10,515,29744,49289,4205,3299,3097,788,509,830,94
11,426,32428,48184,4527,2179,2297,786,189,771,88
12,214,40166,36838,2288,880,962,268,139,757,36
