month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,472,681,55968,22138,14465,9713,325,550,1539,156
2,218,413,54221,20090,12324,8861,563,218,1118,116
3,253,781,55560,23883,13345,7958,513,206,478,103
4,355,1104,43450,18226,10783,6082,617,284,628,107
5,394,1126,53112,19538,14075,7582,657,415,944,121
6,283,1378,42409,20259,11075,5689,551,327,719,149
7,293,1389,64423,19157,17579,8781,824,449,798,156
8,430,1334,106157,20619,27886,13619,872,548,1025,93
9,393,1510,61113,18132,15375,8573,853,476,1060,97
10,461,1550,60083,22409,15721,9722,1108,519,1209,130
11,293,1347,49006,21336,13030,6956,647,309,780,83
12,439,595,48956,23949,11419,6720,361,280,889,68
