month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,297,146,5226,620,812,4530,2065,5188,431,44
2,422,300,6856,928,1066,6615,2262,5057,534,49
3,875,465,9147,525,1944,7178,2851,5930,877,86
4,643,332,7293,316,1753,6070,2277,5474,936,51
5,479,334,9361,458,2206,8169,2773,5663,1020,64
6,286,302,6957,342,1575,6245,2566,5138,785,80
7,202,211,7454,254,1522,6413,2456,6062,867,64
8,239,232,10186,334,2147,9577,2997,7818,952,50
9,392,312,7590,271,1555,6512,2727,5596,1020,60
10,552,319,8193,573,1914,6621,2897,6571,917,78
11,617,404,8429,451,2203,9021,2996,6185,1112,136
12,314,286,6416,230,1362,5749,2521,6280,747,68
