month,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,1121,764,17967,758,4715,10054,3177,723,39334,478
2,1326,1283,19857,1390,6374,11002,3528,821,32925,567
3,2693,1611,23332,1750,6948,16780,5096,1312,39937,727
4,1812,1001,18323,1036,5313,12002,3434,1028,31755,624
5,1216,1087,20897,1183,6013,13671,4692,1266,38926,660
6,701,873,14953,818,4332,9416,2790,788,29742,609
7,453,639,18294,675,4377,10158,2743,810,38887,615
8,450,755,24165,770,5755,14007,3936,981,57689,759
9,907,869,19395,810,5113,11890,3503,899,39717,636
10,1311,1374,21507,1438,6445,13588,4432,1245,39853,855
11,1934,1490,24643,1557,7179,15131,4983,1346,46653,923
12,1014,1035,20664,1167,5391,10857,3881,886,43075,560
