,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.0,-0.004,-0.03,-0.007,-0.118,-0.138,-0.006,-0.004,-0.001,0.0
2010,-0.003,-0.005,-0.059,-0.011,-0.195,-0.221,-0.013,-0.004,-0.01,-0.001
2011,0.007,0.003,0.153,0.029,0.352,0.283,0.027,0.019,0.015,0.002
2012,-0.001,0.008,0.04,-0.001,-0.016,-0.028,0.001,-0.003,0.006,-0.001
2013,0.002,0.002,0.013,0.005,-0.021,0.036,-0.002,0.001,0.005,0.0
2014,0.0,0.004,0.022,0.004,0.004,-0.01,0.008,-0.001,0.003,0.0
2015,-0.001,-0.006,-0.059,-0.007,0.086,0.054,-0.008,-0.002,-0.006,-0.0
2016,0.002,0.003,0.072,0.005,-0.001,-0.035,0.009,0.002,0.002,0.0
2017,-0.001,-0.001,-0.041,-0.002,-0.029,-0.015,-0.005,-0.002,-0.001,-0.0
2018,0.003,0.005,0.022,-0.001,-0.059,-0.037,0.007,0.0,0.006,0.001
2019,-0.004,0.003,0.0,-0.002,-0.014,-0.019,-0.002,-0.001,0.008,0.0
2020,-0.004,-0.016,-0.122,-0.014,-0.031,-0.087,-0.021,-0.005,-0.027,-0.002
2021,-0.001,-0.006,-0.025,-0.002,0.019,0.035,-0.002,0.0,-0.004,-0.0
2022,0.006,0.009,0.141,0.017,0.034,0.106,0.005,0.005,0.009,0.001
2023,0.002,0.004,0.048,0.006,0.019,0.093,0.012,0.003,0.009,0.0
