,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.001,-0.002,0.001,-0.008,0.015,0.018,0.005,-0.002,-0.108,0.002
2010,0.003,-0.002,0.0,-0.002,-0.008,-0.019,-0.014,-0.001,-0.069,-0.001
2011,-0.003,0.003,0.024,-0.0,0.031,0.018,0.024,0.001,0.027,0.001
2012,0.001,0.002,-0.046,0.002,-0.004,-0.002,-0.011,-0.002,-0.019,-0.001
2013,-0.001,-0.003,0.002,0.004,-0.011,0.01,-0.006,-0.002,-0.031,-0.003
2014,0.004,0.002,-0.027,-0.003,-0.046,-0.066,-0.017,-0.002,-0.158,-0.002
2015,-0.003,-0.001,0.241,0.009,0.036,0.093,0.036,0.012,0.236,0.006
2016,0.002,0.003,-0.005,0.002,0.013,-0.002,0.002,-0.002,0.015,0.004
2017,0.0,-0.001,0.025,-0.001,0.022,-0.025,0.009,0.005,-0.076,-0.003
2018,-0.004,-0.002,-0.089,0.0,-0.03,-0.003,0.005,-0.008,-0.048,0.0
2019,0.003,0.006,0.029,-0.005,0.016,0.016,-0.016,0.004,0.084,0.004
2020,-0.007,-0.01,-0.108,-0.007,-0.039,-0.046,-0.039,-0.008,-0.144,-0.009
2021,0.003,0.002,-0.049,-0.003,-0.014,-0.028,-0.005,0.002,-0.101,-0.001
2022,-0.0,0.0,0.127,0.004,0.017,0.083,0.016,0.003,0.232,0.002
2023,0.004,0.002,0.057,0.003,0.003,-0.027,0.02,0.012,-0.057,0.001
