,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.022,-0.002,-0.002,-0.001,-0.004,-0.017,0.0,-0.001,-0.003,0.0
2010,-0.095,-0.009,-0.089,-0.003,-0.014,-0.016,-0.005,-0.002,-0.007,-0.001
2011,0.012,0.002,-0.004,-0.0,-0.006,-0.011,-0.004,-0.0,-0.002,-0.001
2012,-0.013,0.002,0.022,0.001,0.004,-0.001,0.003,-0.0,0.003,0.001
2013,0.05,0.001,0.008,0.001,0.002,0.005,0.001,0.001,0.002,0.001
2014,0.012,-0.006,-0.02,-0.001,-0.001,-0.005,-0.0,0.0,-0.004,0.0
2015,-0.072,0.001,-0.02,-0.001,-0.002,-0.006,0.004,-0.0,0.0,-0.0
2016,-0.014,0.0,-0.024,0.001,0.001,-0.004,-0.001,-0.001,-0.003,-0.0
2017,-0.032,-0.002,-0.002,-0.0,-0.002,0.013,0.001,0.003,0.003,0.0
2018,-0.021,0.003,-0.012,-0.0,-0.001,-0.018,-0.005,-0.002,0.002,-0.0
2019,0.041,0.001,0.011,0.0,0.001,-0.001,0.001,0.0,0.001,0.0
2020,-0.116,-0.019,-0.186,-0.009,-0.036,-0.043,-0.015,-0.008,-0.02,-0.002
2021,0.021,0.0,-0.027,-0.0,-0.006,-0.011,-0.002,-0.003,-0.007,-0.001
2022,0.226,0.023,0.28,0.012,0.058,0.1,0.02,0.009,0.027,0.003
2023,-0.071,0.003,0.024,0.005,0.012,0.014,0.004,0.004,0.01,0.001
