,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,0.001,0.002,0.018,0.0,0.002,-0.001,0.002,0.002,0.002,0.0
2010,0.002,-0.001,-0.084,-0.002,-0.002,0.004,0.001,-0.0,0.003,0.001
2011,-0.008,-0.008,-0.009,-0.011,-0.039,-0.042,-0.014,-0.005,-0.016,-0.003
2012,0.011,0.028,0.089,0.018,0.057,0.057,0.014,0.005,0.019,0.002
2013,0.001,-0.005,0.013,-0.002,-0.009,-0.007,0.003,0.002,0.006,0.001
2014,-0.004,-0.009,-0.008,-0.005,-0.012,-0.015,-0.004,-0.001,-0.008,-0.001
2015,0.002,-0.001,-0.027,0.001,0.005,0.008,-0.0,-0.002,0.003,0.0
2016,-0.002,0.001,-0.033,-0.001,-0.002,-0.001,0.005,0.003,0.002,0.001
2017,0.004,0.009,0.051,0.008,0.018,0.025,0.006,0.005,0.012,0.002
2018,0.004,0.004,-0.002,0.002,0.006,0.0,0.001,0.0,0.004,0.001
2019,0.001,-0.001,0.04,-0.0,0.003,0.001,0.0,0.001,0.002,0.0
2020,-0.024,-0.048,-0.123,-0.037,-0.098,-0.091,-0.029,-0.014,-0.044,-0.007
2021,-0.012,-0.008,0.144,-0.004,0.01,0.003,-0.003,-0.002,-0.013,-0.001
2022,0.027,0.043,0.253,0.033,0.108,0.113,0.024,0.017,0.043,0.011
2023,0.013,0.021,-0.038,0.018,0.029,0.03,0.012,0.001,0.018,0.0
