,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.001,-0.001,-0.029,-0.002,-0.008,0.006,-0.001,0.002,-0.003,0.0
2010,0.0,0.002,-0.0,-0.002,0.009,-0.004,0.001,-0.003,0.0,0.0
2011,0.003,-0.001,0.025,0.006,0.002,-0.016,0.004,0.006,0.003,0.0
2012,-0.002,0.003,-0.012,-0.0,0.001,0.009,0.002,-0.001,0.007,0.001
2013,0.001,0.0,0.021,0.002,0.003,0.012,0.003,0.001,0.0,0.0
2014,0.002,0.007,-0.018,0.001,0.0,-0.014,-0.001,-0.001,0.002,0.0
2015,0.003,0.007,-0.021,-0.005,-0.008,-0.086,-0.005,-0.002,-0.003,-0.001
2016,0.002,0.001,0.069,0.006,0.021,0.031,0.009,0.005,0.007,0.001
2017,-0.0,-0.002,-0.015,-0.002,-0.01,-0.021,-0.002,-0.0,0.002,0.001
2018,-0.002,-0.003,-0.011,-0.003,-0.002,0.033,-0.003,-0.001,-0.006,-0.001
2019,0.005,0.007,0.041,0.006,0.02,0.012,0.011,0.005,0.015,0.003
2020,-0.019,-0.03,-0.21,-0.027,-0.068,-0.09,-0.044,-0.027,-0.055,-0.007
2021,-0.001,-0.001,0.035,-0.002,0.006,0.118,-0.004,-0.003,-0.007,0.001
2022,0.02,0.02,0.212,0.023,0.063,0.076,0.031,0.021,0.051,0.008
2023,0.001,0.006,-0.02,0.007,0.005,-0.027,0.009,0.003,0.011,0.001
