,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.0,-0.109,-0.048,0.001,0.001,0.001,0.0,0.0,0.002,-0.0
2010,-0.007,-0.007,-0.006,0.0,-0.001,-0.001,0.001,0.0,-0.003,0.0
2011,-0.017,0.073,-0.033,-0.0,-0.011,-0.025,-0.004,-0.0,-0.002,0.001
2012,0.007,-0.05,0.022,0.008,0.005,0.005,0.004,-0.001,0.005,-0.001
2013,0.007,-0.129,-0.062,-0.01,-0.003,-0.003,-0.004,0.001,-0.001,0.001
2014,0.003,0.04,0.048,0.0,0.012,0.008,0.002,0.0,0.0,0.008
2015,-0.004,-0.031,-0.051,-0.003,-0.003,-0.005,-0.002,-0.001,-0.002,-0.008
2016,-0.004,-0.12,-0.059,0.0,-0.008,-0.013,0.002,0.002,0.001,0.001
2017,-0.002,0.033,0.038,-0.003,-0.004,-0.009,-0.002,-0.003,-0.005,-0.001
2018,-0.002,-0.033,-0.021,0.002,-0.001,-0.006,-0.001,-0.0,0.001,-0.0
2019,-0.001,-0.06,-0.041,0.0,0.003,0.007,0.001,0.0,0.0,0.001
2020,-0.015,-0.011,-0.067,-0.005,-0.014,-0.009,-0.008,-0.001,-0.006,-0.001
2021,0.001,-0.134,-0.053,-0.003,-0.008,-0.017,-0.001,-0.002,-0.001,0.001
2022,0.005,0.03,0.098,0.003,0.017,0.027,0.003,0.001,0.006,0.0
2023,-0.001,-0.12,0.064,0.004,0.0,-0.002,0.002,0.001,-0.001,0.001
