,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,0.0,0.002,0.0,0.0,0.005,0.007,0.001,0.001,0.002,0.0
2010,0.002,0.002,-0.002,0.003,0.0,-0.0,0.002,0.001,0.004,0.001
2011,-0.002,-0.0,0.055,-0.004,-0.008,-0.014,-0.005,-0.002,-0.009,0.001
2012,0.002,0.009,0.02,0.006,0.019,0.017,0.007,0.004,0.01,-0.0
2013,-0.001,-0.002,-0.01,0.001,0.005,0.004,0.004,0.001,0.002,0.0
2014,-0.003,-0.005,-0.063,-0.005,-0.01,-0.012,-0.003,-0.002,-0.003,-0.001
2015,-0.001,-0.008,-0.023,-0.002,-0.007,-0.013,-0.002,-0.0,-0.002,0.0
2016,-0.003,-0.005,-0.048,-0.005,-0.006,-0.0,-0.002,-0.002,-0.01,0.0
2017,0.001,-0.001,0.023,-0.0,0.002,0.007,0.0,0.001,0.004,0.001
2018,0.005,0.001,0.008,0.002,0.0,0.001,0.002,0.0,0.002,0.001
2019,-0.002,-0.003,0.002,-0.001,0.001,-0.002,-0.001,0.0,-0.002,-0.0
2020,-0.026,-0.042,-0.19,-0.03,-0.058,-0.07,-0.03,-0.015,-0.044,-0.007
2021,0.005,0.003,0.262,0.002,0.019,0.031,0.002,0.0,0.008,0.004
2022,0.014,0.02,0.055,0.018,0.036,0.043,0.015,0.009,0.027,0.004
2023,0.002,0.006,-0.12,0.004,-0.001,-0.011,0.007,0.003,0.004,-0.001
