,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,0.0,-0.001,-0.003,0.002,-0.009,0.004,-0.001,-0.0,-0.039,-0.002
2010,-0.002,0.001,-0.034,-0.003,-0.011,-0.024,-0.028,-0.005,-0.145,-0.0
2011,-0.003,-0.001,-0.014,0.001,-0.001,0.052,0.014,-0.0,-0.107,-0.002
2012,-0.001,0.0,0.018,-0.002,-0.001,-0.038,-0.009,-0.003,-0.026,-0.002
2013,-0.002,-0.002,-0.052,-0.001,-0.009,-0.03,0.002,-0.002,-0.023,-0.015
2014,0.002,0.002,0.009,-0.003,-0.002,-0.005,-0.014,-0.002,-0.065,0.002
2015,-0.003,-0.002,-0.028,0.0,-0.002,-0.008,-0.014,-0.005,-0.041,-0.005
2016,-0.0,0.004,-0.002,0.0,-0.012,-0.005,-0.014,-0.004,0.031,-0.013
2017,-0.0,-0.004,0.011,-0.002,0.001,0.011,0.001,0.001,0.042,0.006
2018,-0.0,-0.001,-0.011,0.002,-0.001,-0.032,-0.01,-0.001,-0.162,-0.003
2019,0.002,0.002,0.014,0.0,0.005,0.01,0.007,-0.001,0.116,0.005
2020,-0.005,-0.005,-0.113,-0.006,-0.023,-0.04,-0.019,-0.004,-0.204,-0.013
2021,0.001,-0.003,0.044,0.0,0.006,0.029,0.008,0.002,0.19,0.003
2022,0.0,0.003,0.06,0.005,0.018,0.025,0.017,0.004,0.272,0.009
2023,0.002,0.002,0.007,-0.001,-0.0,-0.008,-0.003,0.0,-0.119,-0.001
