,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,0.001,0.001,0.056,0.003,0.011,0.01,0.0,0.001,0.001,0.0
2010,0.001,-0.0,-0.139,-0.002,-0.007,-0.004,0.001,-0.0,0.001,-0.0
2011,-0.005,-0.004,0.002,-0.002,-0.007,-0.014,-0.003,-0.002,-0.007,-0.0
2012,0.004,0.006,0.057,0.005,0.009,0.009,0.004,0.001,0.003,0.0
2013,0.003,0.002,-0.022,0.002,0.004,0.007,0.001,-0.0,0.005,0.0
2014,-0.001,-0.002,-0.081,-0.004,-0.009,-0.011,-0.004,-0.001,-0.004,-0.0
2015,0.002,0.001,0.051,0.002,0.007,0.005,0.004,0.002,0.005,0.001
2016,0.001,-0.002,-0.012,-0.001,0.001,0.002,-0.001,-0.001,-0.001,0.0
2017,0.0,-0.002,-0.033,-0.0,-0.001,-0.0,0.0,0.0,-0.0,0.0
2018,0.003,-0.001,0.001,-0.002,-0.002,-0.002,-0.001,0.0,-0.001,0.001
2019,-0.004,-0.005,-0.083,-0.005,-0.006,-0.008,-0.003,-0.001,-0.006,-0.001
2020,-0.019,-0.019,-0.196,-0.022,-0.054,-0.044,-0.015,-0.008,-0.019,-0.003
2021,-0.002,-0.017,0.113,-0.004,-0.003,-0.009,-0.004,-0.001,-0.01,0.001
2022,0.006,0.008,0.103,0.009,0.028,0.024,0.006,0.002,0.007,0.001
2023,0.004,0.007,-0.089,0.008,0.011,0.009,0.005,0.002,0.007,0.0
