,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.002,-0.002,-0.033,-0.002,-0.003,-0.017,-0.007,-0.001,-0.051,-0.002
2010,-0.001,-0.0,-0.015,-0.001,-0.01,-0.011,-0.01,-0.006,-0.07,-0.0
2011,0.003,0.0,0.047,0.002,0.012,0.038,0.015,0.004,0.099,0.001
2012,-0.002,0.002,-0.017,0.0,0.002,-0.011,-0.001,0.004,-0.042,-0.002
2013,0.001,0.001,0.016,0.003,0.005,-0.01,-0.005,-0.002,0.003,0.001
2014,-0.001,-0.002,-0.024,-0.002,-0.009,-0.013,-0.012,-0.002,-0.048,-0.001
2015,0.002,0.002,0.023,-0.001,0.006,-0.007,-0.0,-0.001,0.002,0.001
2016,-0.001,-0.002,-0.021,0.001,-0.012,-0.006,-0.005,-0.003,-0.015,0.0
2017,-0.001,-0.0,0.005,-0.001,-0.003,-0.002,-0.0,0.002,-0.024,0.0
2018,0.002,0.0,-0.035,-0.001,-0.004,-0.009,-0.005,-0.003,-0.096,0.0
2019,0.0,-0.0,-0.009,0.001,0.004,0.0,-0.001,-0.001,0.003,-0.001
2020,-0.005,-0.005,-0.105,-0.006,-0.023,-0.02,-0.02,-0.005,-0.13,-0.004
2021,0.002,-0.002,-0.006,-0.002,-0.011,-0.018,-0.005,-0.003,0.001,-0.003
2022,0.008,0.008,0.126,0.006,0.022,0.041,0.025,0.011,0.155,0.006
2023,-0.002,-0.0,-0.071,0.001,-0.004,-0.025,-0.007,-0.004,-0.117,-0.002
