,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.0,0.006,-0.032,0.004,0.021,0.027,0.004,0.0,0.005,-0.0
2010,-0.0,-0.007,-0.058,-0.045,-0.051,-0.035,-0.007,-0.002,-0.008,0.0
2011,0.002,0.003,0.144,0.02,0.044,-0.005,0.0,0.0,-0.0,-0.0
2012,-0.001,0.003,0.072,0.051,0.03,0.015,0.002,0.001,0.016,0.002
2013,0.001,0.0,0.083,0.106,0.043,0.019,0.001,0.0,-0.007,-0.001
2014,-0.001,-0.002,-0.094,-0.082,-0.045,-0.006,-0.002,-0.001,-0.002,0.0
2015,0.001,0.0,-0.035,0.003,0.004,-0.021,0.001,0.001,-0.0,0.0
2016,-0.001,0.0,0.026,0.031,0.032,-0.001,0.0,0.001,0.002,0.0
2017,-0.0,-0.002,0.006,-0.024,-0.013,-0.004,-0.001,-0.001,-0.001,0.0
2018,0.001,0.0,0.017,-0.036,-0.027,-0.012,-0.001,-0.0,-0.001,-0.0
2019,-0.001,0.0,-0.046,-0.005,-0.036,-0.0,-0.0,-0.0,0.001,0.0
2020,-0.002,-0.006,-0.204,-0.055,-0.022,-0.016,-0.003,-0.002,-0.006,-0.001
2021,0.007,0.001,0.052,0.021,0.001,0.007,0.0,-0.001,-0.001,0.0
2022,-0.001,0.003,0.145,0.002,0.051,0.022,0.002,0.001,0.008,0.0
2023,-0.002,0.001,-0.06,-0.027,-0.036,-0.013,0.001,0.003,-0.001,0.0
