,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.006,-0.0,-0.029,0.0,-0.007,-0.015,0.001,-0.015,0.005,-0.002
2010,-0.0,0.004,0.019,0.011,0.023,0.034,-0.014,-0.015,0.009,-0.002
2011,-0.001,-0.011,-0.001,-0.006,0.001,0.01,0.003,0.008,-0.01,0.001
2012,0.006,0.0,0.002,0.005,-0.016,-0.045,-0.003,0.023,-0.005,-0.0
2013,-0.01,-0.001,0.0,-0.01,0.001,-0.042,-0.016,-0.022,-0.003,-0.0
2014,0.001,0.002,-0.034,0.001,-0.01,-0.0,0.017,0.005,-0.004,0.001
2015,0.009,-0.003,0.005,-0.003,-0.016,-0.045,-0.029,-0.017,-0.002,0.0
2016,-0.004,0.007,-0.012,0.0,0.003,0.019,0.001,0.011,0.01,0.0
2017,-0.0,0.002,0.021,0.001,0.0,-0.027,-0.001,-0.009,0.004,0.0
2018,-0.008,-0.005,-0.015,-0.0,-0.006,-0.015,-0.005,-0.011,-0.011,-0.0
2019,0.0,0.0,0.019,0.002,-0.003,0.027,0.004,0.046,-0.003,0.001
2020,-0.006,-0.008,-0.187,-0.008,-0.012,-0.056,-0.019,-0.067,-0.001,-0.003
2021,-0.006,-0.001,-0.002,-0.001,-0.012,-0.052,-0.016,0.021,-0.003,0.0
2022,0.014,0.012,0.195,0.014,0.047,0.124,0.055,0.057,0.035,0.001
2023,0.0,0.004,-0.016,-0.004,-0.001,0.002,-0.014,-0.072,-0.008,0.0
