,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.002,-0.004,-0.019,-0.006,0.012,-0.056,0.002,0.0,-0.005,-0.0
2,-0.001,0.007,-0.018,-0.003,-0.059,-0.107,0.001,0.001,0.005,-0.001
3,0.003,0.003,0.044,0.005,0.055,0.055,0.01,0.003,0.001,-0.0
4,0.004,-0.001,-0.026,-0.004,-0.067,-0.062,-0.001,-0.002,0.0,0.0
5,0.001,-0.001,0.001,-0.002,-0.042,-0.014,-0.003,-0.001,0.001,-0.0
6,-0.002,-0.001,-0.056,0.003,-0.087,-0.103,-0.004,-0.003,-0.003,-0.0
7,-0.004,-0.003,-0.028,-0.003,-0.001,0.056,-0.006,-0.002,-0.005,-0.0
8,-0.003,-0.005,0.09,0.002,0.2,0.338,-0.001,0.002,-0.005,-0.001
9,-0.001,-0.0,-0.024,-0.004,-0.093,-0.053,-0.002,-0.002,-0.001,-0.0
10,0.003,0.001,0.009,0.005,-0.028,-0.018,0.002,-0.001,0.005,0.0
11,0.006,0.007,0.046,0.01,0.035,0.006,0.007,0.004,0.014,0.002
12,-0.003,-0.003,-0.018,-0.002,0.076,-0.042,-0.004,0.001,-0.007,0.001
