,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.002,-0.003,-0.032,-0.005,-0.021,-0.033,-0.007,-0.001,-0.007,-0.0
2,-0.002,-0.003,-0.04,-0.005,-0.02,-0.098,-0.01,-0.006,-0.007,-0.001
3,0.002,-0.0,0.015,0.001,0.013,0.06,0.007,0.002,0.004,0.0
4,0.001,-0.002,-0.01,-0.0,-0.013,-0.062,-0.006,-0.004,-0.0,0.001
5,0.0,-0.0,-0.004,0.004,0.003,-0.059,0.003,0.001,0.006,-0.0
6,-0.002,-0.001,-0.03,-0.002,-0.01,-0.124,-0.01,-0.008,-0.003,-0.0
7,-0.002,-0.001,-0.01,-0.003,-0.012,-0.001,-0.003,-0.002,-0.003,-0.001
8,-0.003,-0.0,0.054,0.002,0.021,0.282,0.014,0.012,-0.001,-0.0
9,-0.0,-0.0,-0.004,-0.001,-0.0,-0.053,-0.001,-0.002,0.001,-0.0
10,0.003,0.001,0.013,0.003,0.01,-0.029,0.002,0.0,0.002,0.0
11,0.004,0.004,0.038,0.004,0.019,0.032,0.006,0.002,0.008,0.001
12,-0.0,0.005,0.011,0.002,0.011,0.085,0.005,0.005,0.0,0.0
