,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,0.08,-0.01,-0.033,-0.006,-0.021,0.016,-0.006,0.003,0.009,0.001
2,-0.041,-0.006,0.004,-0.003,-0.008,-0.0,0.001,0.002,0.009,0.003
3,0.054,-0.003,-0.004,-0.003,-0.005,0.007,-0.004,-0.004,0.0,0.001
4,-0.071,-0.01,-0.144,-0.006,-0.024,-0.049,-0.005,-0.006,-0.016,-0.002
5,-0.008,-0.001,-0.053,-0.001,0.001,-0.017,-0.0,0.004,-0.007,-0.0
6,-0.06,0.005,-0.005,0.009,0.015,0.01,0.005,0.004,0.0,-0.0
7,-0.021,0.012,0.062,0.007,0.015,0.015,0.001,-0.002,-0.001,-0.0
8,0.082,0.014,0.209,0.006,0.033,0.037,0.002,-0.001,-0.003,-0.001
9,0.015,0.01,0.097,0.005,0.013,0.025,0.001,-0.001,0.004,-0.0
10,0.027,0.001,0.019,0.001,0.012,0.016,0.009,0.002,0.005,-0.0
11,-0.027,-0.004,-0.089,-0.003,-0.014,-0.038,-0.002,-0.005,-0.005,-0.001
12,-0.03,-0.006,-0.062,-0.005,-0.018,-0.02,-0.002,0.004,0.004,-0.0
