,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.002,-0.002,-0.019,-0.003,-0.01,-0.018,-0.021,-0.006,-0.129,-0.001
2,-0.001,-0.0,0.002,0.0,-0.003,-0.01,-0.023,-0.009,-0.156,-0.002
3,0.008,0.002,0.023,0.004,0.012,0.03,0.017,0.001,0.027,0.0
4,0.002,-0.001,-0.025,0.0,-0.005,-0.017,-0.015,-0.006,-0.109,-0.002
5,-0.0,0.0,-0.012,0.001,0.001,-0.008,-0.015,-0.005,-0.115,-0.001
6,-0.003,-0.002,-0.036,-0.002,-0.011,-0.024,-0.029,-0.012,-0.129,-0.0
7,-0.004,-0.002,-0.019,-0.002,-0.007,-0.009,0.008,0.003,0.08,-0.002
8,-0.004,-0.002,0.034,-0.001,0.012,0.03,0.068,0.029,0.27,-0.0
9,-0.001,0.001,-0.005,-0.001,-0.003,0.002,0.003,0.001,0.057,-0.001
10,0.001,0.002,0.004,0.003,0.002,0.0,-0.003,0.001,0.068,0.002
11,0.007,0.004,0.042,0.003,0.013,0.021,0.006,0.004,0.072,0.006
12,-0.001,-0.001,0.012,-0.002,-0.001,0.003,0.003,-0.002,0.063,0.001
