,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,0.005,-0.009,-0.051,-0.009,-0.014,-0.004,-0.008,-0.004,-0.014,-0.0
2,-0.006,-0.01,-0.025,-0.009,-0.024,-0.041,-0.008,-0.007,-0.005,-0.002
3,0.004,-0.001,0.073,0.006,0.011,0.005,0.009,-0.001,0.024,0.002
4,-0.004,-0.005,-0.048,0.003,-0.018,-0.024,-0.01,-0.004,-0.009,-0.001
5,-0.005,-0.011,-0.049,0.013,-0.001,-0.026,-0.0,0.008,-0.009,-0.003
6,-0.01,-0.012,-0.068,-0.01,-0.019,-0.032,-0.013,-0.007,-0.018,-0.003
7,-0.009,-0.009,-0.015,-0.005,-0.009,-0.008,-0.003,-0.003,-0.005,-0.001
8,-0.008,-0.003,0.098,0.009,0.032,0.045,0.013,0.009,0.011,0.001
9,-0.001,-0.004,0.007,-0.0,-0.001,-0.005,0.006,0.0,0.001,-0.001
10,0.021,0.005,0.013,0.001,0.017,0.015,0.006,0.005,0.003,0.001
11,0.014,0.026,0.051,0.002,0.01,0.008,0.002,0.0,0.014,0.003
12,-0.003,0.035,0.013,-0.001,0.016,0.068,0.007,0.003,0.006,0.004
