,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.005,0.066,-0.132,-0.018,-0.014,-0.016,-0.004,-0.001,-0.003,-0.0
2,-0.004,-0.006,-0.121,-0.016,-0.011,-0.012,-0.003,-0.001,-0.007,-0.0
3,-0.001,0.055,-0.063,-0.005,-0.006,-0.007,-0.002,-0.001,-0.006,-0.0
4,0.004,-0.105,-0.06,-0.001,-0.005,-0.007,-0.0,-0.0,-0.0,-0.0
5,0.006,-0.112,-0.004,0.004,0.005,0.002,0.003,0.0,0.003,0.0
6,-0.001,-0.068,-0.017,0.005,0.005,0.006,0.003,0.0,-0.002,-0.0
7,-0.002,-0.077,0.011,0.006,0.001,0.004,-0.0,0.0,-0.001,0.0
8,-0.0,-0.011,0.228,0.007,0.014,0.013,0.002,0.0,0.001,0.0
9,0.003,-0.087,0.033,0.002,0.005,0.007,0.001,0.001,0.004,0.0
10,0.004,-0.013,0.104,0.015,0.01,0.013,0.005,0.001,0.01,0.001
11,0.002,0.087,0.085,0.013,0.005,0.009,0.001,0.001,0.006,0.0
12,-0.006,0.271,-0.063,-0.011,-0.01,-0.011,-0.003,-0.001,-0.005,-0.0
