,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.004,-0.014,-0.138,-0.005,-0.071,-0.044,-0.005,-0.001,-0.01,-0.001
2,-0.003,-0.013,-0.124,-0.003,-0.044,-0.035,-0.007,-0.0,-0.005,-0.001
3,-0.0,-0.008,-0.078,0.026,-0.032,0.004,-0.004,-0.001,-0.001,-0.001
4,-0.001,-0.008,-0.031,-0.063,-0.028,-0.016,-0.002,-0.002,-0.001,-0.001
5,0.001,0.001,-0.025,-0.096,0.004,-0.002,0.004,0.001,0.004,-0.0
6,0.001,-0.003,-0.058,-0.041,-0.006,-0.015,-0.003,-0.001,-0.002,0.0
7,-0.002,0.009,-0.0,-0.046,0.003,-0.008,-0.0,0.0,-0.002,-0.0
8,-0.002,0.006,0.21,0.055,0.065,0.076,0.002,0.002,0.001,0.0
9,0.004,0.018,0.077,-0.056,0.016,0.023,-0.0,-0.001,-0.001,0.001
10,0.006,0.017,0.119,0.02,0.061,0.021,0.015,0.003,0.01,0.003
11,0.003,0.004,0.102,0.087,0.045,0.029,0.003,0.001,0.011,0.001
12,-0.003,-0.01,-0.054,0.121,-0.013,-0.034,-0.005,-0.001,-0.004,-0.0
