,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.0,-0.006,-0.097,-0.009,-0.047,-0.016,-0.003,-0.001,-0.004,-0.001
2,-0.002,-0.006,-0.137,-0.002,-0.036,-0.015,-0.003,-0.002,-0.002,-0.0
3,-0.0,0.0,-0.009,0.011,-0.001,0.013,0.001,-0.001,0.001,-0.0
4,0.003,0.001,-0.074,-0.002,-0.015,-0.0,0.001,-0.001,0.002,0.0
5,0.001,-0.002,-0.064,-0.005,0.007,-0.001,0.001,-0.001,-0.0,-0.0
6,-0.0,-0.0,-0.125,-0.002,0.004,-0.015,-0.002,-0.001,-0.001,0.0
7,-0.001,-0.002,-0.006,-0.009,0.005,-0.004,0.0,0.001,0.001,0.0
8,-0.001,-0.0,0.33,-0.001,0.036,0.021,0.001,0.002,0.0,-0.0
9,0.001,0.004,0.02,-0.002,0.007,0.006,0.001,0.001,0.0,-0.0
10,0.002,0.008,0.05,0.014,0.015,0.008,0.003,-0.0,0.003,0.0
11,0.0,0.007,0.092,0.016,0.039,0.015,0.002,0.003,0.003,0.001
12,-0.001,-0.004,0.02,-0.008,-0.015,-0.013,-0.003,-0.002,-0.002,0.0
